ID	English	Italian	English-Italian Alignment
d003.s013	These case studies analysed the background of the initiatives, their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative.	Hanno anche avuto luogo visite e interviste con esponenti chiave del personale .	0-0 3-2 3-4 4-6 5-8 6-7 8-8 9-12 13-11 18-1 19-6 22-5 27-12
d003.s014	Visits and interviews with key personnel were also undertaken.	Gli studi nazionali sfoceranno in un rapporto europeo che sintetizzerà le prassi più comuni .	0-11 1-0 2-1 5-6 6-3 9-14
d003.s015	These national studies will form the basis of a European report which synthesises overall practices.	Questo rapporto e una raccolta di iniziative saranno pubblicati nel 1996 e costituiranno la base di una conferenza prevista per l' autunno dello stesso anno .	0-0 1-8 2-6 3-7 4-12 5-13 6-14 7-15 8-16 10-1 11-11 12-12 14-2 14-17 15-25
d003.s016	The report and a case book of initiatives will be published in 1996 and provide the backdrop for a conference to be staged in Autumn, 1996.	La Fondazione intende documentare le caratteristiche delle barriere inerenti all' età a livello di assunzione e formazione e analizzarne le cause .	0-0 1-3 2-15 6-6 7-5 7-7 8-2 9-3 11-8 13-17 14-18 15-4 18-11 19-16 25-14 27-21
d003.s017	The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes.	Vengono esaminati anche i punti di vista delle parti sociali , dedicando un' attenzione particolare alle proposte volte ad eliminare le barriere inerenti all' età .	0-0 2-13 3-18 4-1 5-3 6-1 6-4 6-6 7-7 8-24 9-21 10-22 14-9 15-10 16-15 17-19 19-16 20-25
d003.s018	The perspectives of the social partners is also being examined, with particular attention paid to proposals for removing age barriers.	In terzo luogo , il progetto documenta e valuta iniziative , pubbliche e private , volte a lottare contro le barriere legate all' età , specialmente a favore dei lavoratori anziani .	0-4 2-28 4-29 5-5 9-6 9-8 10-24 12-25 15-16 16-9 16-14 18-17 18-18 19-23 20-20 21-31
d003.s019	Thirdly, the project documents and assesses initiatives, in both the public and private sectors which combat age barriers, especially for older workers.	Ricercando alternative al prepensionamento e al licenziamento , il progetto si interessa principalmente al mantenimento , alla reintegrazione e alla riqualificazione dei lavoratori anziani .	0-0 1-7 2-8 3-9 5-4 6-10 8-7 11-21 13-18 14-6 15-14 17-11 19-17 19-23 20-15 21-12 22-20 23-23 24-22 25-24
d003.s020	Seeking alternatives to early retirement and redundancy, the project is primarily concerned with the retention, reintegration and retraining of older workers.	Sono presi in considerazione il sesso e l' appartenenza etnica dei lavoratori , e la loro correlazione con la discriminazione in base all' età .	2-22 5-6 6-8 7-12 8-4 10-0 12-3 13-17 14-18 17-19 18-13 20-10 21-23 22-11 23-24
d003.s021	The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined.	Il progetto esamina anche iniziative volte a lottare contro la discriminazione basata sull' età nelle zone rurali e nelle piccole e medie imprese .	0-0 2-17 4-4 10-11 11-6 12-13 13-10 15-2 16-23
d003.s022	The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises.	La ricerca ha per oggetto sette Stati membri : Belgio , Francia , Germania , Grecia , Italia , Paesi Bassi e Regno Unito .	0-0 1-1 3-2 3-4 4-5 4-7 9-8 10-17 11-6 12-21 18-9 19-24
d004.s001	This document is a summary of the European Public Assessment Report.	Sintesi destinata al pubblico	0-0 1-1 2-0 3-1 8-3
d004.s002	It explains how the Committee for Medicinal Products for Veterinary Use (CVMP) assessed the studies performed, to reach their recommendations on how to use the medicine.	Il presente documento è la sintesi di una relazione di valutazione pubblica europea ( EPAR ) .	1-3 1-5 9-12 11-13 12-14 13-15 14-10 15-0 16-8 18-16 28-2 29-16
d004.s003	What is Cerenia?	Che cos è Cerenia ?	0-0 1-2 2-3 3-4
d004.s004	Cerenia contains the active substance maropitant and is available as tablet or as solution for injection.	Cerenia contiene il principio attivo maropitant ed è disponibile sotto forma di compressa o di soluzione iniettabile .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-12 11-13 12-10 13-15 15-16 16-17
d004.s005	The tablets are pale-orange and have a score line on both sides so that they can be halved.	Le compresse sono di color arancione chiaro e hanno una tacca su entrambi i lati , per facilitarne la divisione in due metà .	0-0 1-1 2-2 3-5 3-6 4-7 5-8 6-9 8-10 9-11 10-12 11-14 12-16 14-15 17-19 18-15 18-23
d004.s006	Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side.	Ciascuna compressa è marcata da un lato con il logo Pfizer e dall altro lato con le lettere MPT e con numeri che indicano la quantità di maropitant .	0-0 1-1 2-2 3-3 4-15 5-16 6-10 7-9 8-4 9-5 10-6 11-11 12-7 13-8 14-17 15-18 16-19 17-24 18-21 18-25 19-26 20-27 23-13 24-14 25-28
d004.s007	What is Cerenia used for?	Per che cosa si usa Cerenia ?	0-2 2-5 3-4 4-0 5-6
d004.s008	Cerenia is an anti-emetic, this means that it stops vomiting.	Cerenia è un antiemetico , ossia un medicinale che arresta il vomito .	0-0 1-1 2-2 3-3 4-4 5-5 6-5 7-8 9-9 10-10 10-11 11-12
d004.s009	It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy (medicines used for the treatment of cancer, some of which are known to cause vomiting).	È usato nei cani per prevenire il vomito causato , per esempio , dalla chemioterapia ( medicinali usati per la cura del cancro , alcuni dei quali noti per provocare il vomito ) .	1-0 2-1 3-2 4-3 5-4 6-5 7-7 8-9 9-11 10-7 10-8 11-8 12-13 13-14 14-15 15-16 16-17 17-18 18-19 19-20 20-21 21-22 22-23 23-24 24-25 25-26 26-29 27-27 28-28 29-29 30-31 31-32 32-33
d004.s010	In combination with supportive measures such as other veterinary treatment or a special diet, Cerenia can also be used in the treatment of vomiting (either as injection or as injection followed by tablets).	In combinazione con altre misure di supporto , per esempio altre terapie veterinarie o una dieta speciale , Cerenia può anche essere usato nel trattamento del vomito ( sia come iniezione che come iniezione seguita da compresse ) .	0-0 1-1 2-2 3-3 3-6 4-4 4-11 5-7 6-9 7-10 8-12 9-11 10-13 11-14 12-16 13-15 14-7 14-17 15-18 16-19 17-20 18-21 19-22 20-23 22-24 23-25 24-26 24-30 25-27 26-28 27-29 28-30 29-31 30-32 31-33 32-34 33-35 34-36 35-37 36-38
d004.s011	For these purposes, Cerenia can be given for up to five days	Per tali scopi Cerenia può essere somministrato fino a un massimo di cinque giorni .	0-0 1-1 2-2 3-14 4-3 5-4 6-5 7-6 8-10 9-7 9-8 10-12 11-13
d004.s012	How does Cerenia work?	Come agisce Cerenia ?	0-0 2-2 4-3
d004.s013	Cerenia blocks a neurokinin 1 (NK1) receptor, which acts in the central nervous system.	Cerenia blocca un recettore della neurochinina ( NK1 ) che agisce a livello del sistema nervoso centrale .	0-0 1-1 1-3 2-2 3-5 5-6 6-7 7-8 9-17 10-9 11-10 12-11 13-13 14-16 15-15 16-14 17-17
d004.s014	How has Cerenia been studied?	Come è stata studiata l efficacia di Cerenia ?	0-0 1-1 2-7 3-2 4-3 5-8
d004.s015	A large number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA.	Sono stati condotti numerosi studi con Cerenia , sia su cani da laboratorio sia su animali in cura presso studi veterinari di diversi paesi europei e negli Stati Uniti d America .	0-7 1-3 4-4 5-5 6-6 7-0 8-2 9-2 10-8 11-9 12-12 13-10 14-13 15-14 16-15 17-17 18-18 19-20 20-19 21-16 22-22 23-24 24-23 25-25 26-26 28-30 29-31
d004.s016	What benefit has Cerenia shown during the studies?	Quali benefici ha mostrato Cerenia nel corso degli studi ?	0-0 1-1 2-2 3-4 4-3 5-6 6-5 7-8 8-9
d004.s017	The results of the studies showed that Cerenia was more effective than the placebo: less vomiting was seen in dogs that received the medicine than in dogs that received a placebo, both in the treatment or in the prevention of vomiting.	Dai risultati degli studi è emerso che Cerenia è più efficace del placebo : nei cani trattati con il medicinale gli attacchi di vomito sono stati meno frequenti rispetto agli animali trattati con il placebo , sia nel trattamento che nella prevenzione del vomito .	0-0 1-1 2-2 4-3 5-5 6-6 7-7 8-8 9-9 10-10 11-11 13-12 14-13 15-26 16-23 17-24 19-14 20-15 22-16 23-18 24-19 25-28 27-27 27-30 29-31 31-34 32-35 33-36 34-37 36-38 37-39 38-40 39-33 40-41 41-42 42-43 43-44
d004.s018	The treatment of a vomiting dog should be started with the injection, since vomiting animals might not be able to keep a tablet down (as they might throw the intact tablet up again).	Il trattamento di un cane con vomito deve iniziare con l iniezione , perché gli animali con attacchi di vomito possono non essere in grado di trattenere la compressa nell organismo ( che può essere vomitata intatta ) .	0-0 1-1 2-2 3-3 4-4 4-6 5-4 6-7 7-34 8-8 9-9 11-11 11-28 12-12 13-13 14-16 14-19 15-15 16-20 17-21 18-22 19-24 20-25 21-26 25-31 27-14 28-33 29-26 30-27 31-30 32-28 35-37 36-38
d004.s019	For follow-up treatment, the animal owner can administer the tablets to the dog.	Per il trattamento di follow-up , le compresse possono essere somministrate dal padrone del cane .	0-0 1-4 2-2 3-5 4-6 5-14 6-12 7-8 8-10 10-7 12-11 13-14 14-15
d004.s020	Also, the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting.	Inoltre , la cura del vomito deve essere associata ad altre misure di supporto o ad altre terapie veterinarie che intervengano sulle cause del vomito .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 8-7 9-8 10-9 11-10 12-13 12-15 13-11 14-14 15-16 16-18 17-17 19-20 19-21 22-22 23-23 25-24 26-25
d004.s021	What is the risk associated with Cerenia?	Quali sono i rischi associati a Cerenia ?	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7
d004.s022	Cerenia was generally well tolerated when administered daily at dosages up to 5 times the recommended doses for an extended period of time (up to 3 times the recommended maximum duration of treatment).	Cerenia è generalmente ben tollerato se somministrato giornalmente con dosi fino a 5 volte la dose raccomandata per un lungo periodo di tempo ( fino a 3 volte la durata di trattamento raccomandata ) .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-16 16-15 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 26-26 27-27 28-28 29-32 31-29 32-30 33-31 34-33 35-34
d004.s023	What are the precautions for the person who gives the medicine or comes into contact with the animal?	Quali sono le precauzioni che deve prendere la persona che somministra il medicinale o entra in contatto con l animale ?	0-0 1-1 2-2 3-3 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-12 17-19 18-20
d004.s024	Cerenia does not represent a particular risk for people.	Cerenia non presenta particolari rischi per l uomo .	0-0 1-2 2-1 3-2 4-6 5-3 6-4 7-5 8-7 9-8
