d001.s001.t001	document%1:10:00::	wn:06470073n	bn:00028015n
d001.s044.t005	hard%3:00:06::	wn:00744916a	bn:00101358a
d001.s045.t001	look%2:39:00::	wn:02130524v	bn:00090448v
d001.s045.t002	closely%4:02:02::	wn:00505226r	bn:00114748r
d001.s045.t003	look%2:42:02::	wn:02658447v	bn:00090452v
d001.s045.t004	very%4:02:00::	wn:00031899r	bn:00116789r
d001.s045.t005	similar%3:00:02::	wn:01409581a	bn:00105977a
d001.s045.t006	addition%1:04:01::	wn:00872107n	bn:00001296n
d001.s045.t007	subtraction%1:04:01::	wn:00871862n	bn:00055233n
d001.s045.t008	multiplication%1:04:00::	wn:00871576n	bn:00056300n
d001.s045.t009	division%1:04:01::	wn:00870912n	bn:00027919n
d001.s045.t010	power%1:10:00::	wn:06812417n	bn:00032355n
d001.s045.t011	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s046.t001	also%4:02:00::	wn:00047534r	bn:00114246r
d001.s046.t002	possible%3:00:00::	wn:01821266a	bn:00108829a
d001.s046.t003	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s047.t001	power%1:10:00::	wn:06812417n	bn:00032355n
d001.s047.t002	way%1:04:01::	wn:00172710n	bn:00001965n
d001.s047.t003	make%2:36:12::	wn:01755816v	bn:00090557v
d001.s047.t004	root%1:23:00::	wn:13731669n	bn:00068247n
d001.s047.t005	too%4:02:01::	wn:00047534r	bn:00114246r
d001.s047.t006	way%1:07:01::	wn:04928903n	bn:00033729n
d001.s047.t007	specify%2:32:02::	wn:00947077v	bn:00086468v
d001.s047.t008	bounded%5:00:00:finite:00	wn:01006788a	bn:00098761a
d001.s047.t009	variable%1:10:00::	wn:07271280n	bn:00079583n
d001.s047.t010	function%1:24:00::	wn:13783816n	bn:00036821n
d001.s047.t011	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s047.t012	specify%2:31:02::	wn:00715541v	bn:00091005v
d001.s047.t013	high%3:00:02::	wn:01210854a	bn:00104162a
d001.s047.t014	priority%1:07:00::	wn:05047279n	bn:00004489n
d001.s047.t015	parser%1:10:00::	wn:06577369n	bn:00060753n
d001.s047.t016	find%2:39:02::	wn:02154508v	bn:00086708v
d001.s047.t017	function%1:24:00::	wn:13783816n	bn:00036821n
d001.s047.t018	check%2:32:10::	wn:00920336v	bn:00082813v
d001.s047.t019	operator%1:24:00::	wn:13786413n	bn:00059141n
d001.s048.t001	treat%2:31:00::	wn:00651145v	bn:00095141v
d001.s048.t002	operator%1:24:00::	wn:13786413n	bn:00059141n
d001.s048.t003	not%4:02:00::	wn:00024073r	bn:00116360r
d001.s048.t004	treat%2:31:00::	wn:00651145v	bn:00095141v
d001.s048.t005	user%1:18:00::	wn:10741590n	bn:00079373n
d001.s048.t006	function%1:24:00::	wn:13783816n	bn:00036821n
d001.s048.t007	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s048.t008	define%2:32:01::	wn:00947077v	bn:00086468v
d001.s048.t009	value%1:09:00::	wn:05856388n	bn:00079508n
d001.s048.t010	condition%1:10:01::	wn:06755568n	bn:00021645n
d001.s048.t011	definition%1:10:00::	wn:06744396n	bn:00025928n
d001.s049.t001	way%1:07:01::	wn:04928903n	bn:00033729n
d001.s049.t002	define%2:32:01::	wn:00947077v	bn:00086468v
d001.s049.t003	conditional%3:00:00::	wn:00555325a	bn:00100214a
d001.s049.t004	operation%1:04:01::	wn:00869583n	bn:00053826n
d001.s050.t001	introduce%2:35:00::	wn:01421622v	bn:00087681v
d001.s050.t002	condition%1:10:01::	wn:06755568n	bn:00021645n
d001.s050.t003	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s050.t004	condition%1:10:01::	wn:06755568n	bn:00021645n
d001.s050.t005	only_if%4:02:00::	wn:00505114r	bn:00116450r
d001.s050.t006	true%3:00:04::	wn:01225398a	bn:00112148a
d001.s050.t007	find%2:39:02::	wn:02154508v	bn:00086708v
d001.s050.t008	condition%1:10:01::	wn:06755568n	bn:00021645n
d001.s050.t009	enter%2:38:00::	wn:02016523v	bn:00085363v
d001.s050.t010	last%3:00:00::	wn:01013279a	bn:00105740a
d001.s050.t011	instance%1:11:00::	wn:07308889n	bn:00016401n
d001.s050.t012	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s050.t013	define%2:32:01::	wn:00947077v	bn:00086468v
d001.s051.t001	mainly%4:02:00::	wn:00073897r	bn:00114714r
d001.s051.t002	useful%5:00:00:functional:00	wn:01090820a	bn:00113456a
d001.s051.t003	work%2:41:02::	wn:02413480v	bn:00095812v
d001.s052.t001	now%4:02:04::	wn:00049220r	bn:00114424r
d001.s052.t002	ask%2:32:04::	wn:00897746v	bn:00082821v
d001.s052.t003	user%1:18:00::	wn:10741590n	bn:00079373n
d001.s052.t004	easy%3:00:01::	wn:00749230a	bn:00101973a
d001.s052.t005	operate%2:35:00::	wn:01224744v	bn:00085744v
d001.s052.t006	function%1:24:00::	wn:13783816n	bn:00036821n
d001.s052.t007	cos%1:24:00::	wn:13787723n	bn:00022956n
d001.s052.t008	sin%1:24:00::	wn:13787379n	bn:00071709n
d001.s052.t009	other%3:00:00::	wn:02069355a	bn:00108011a
d001.s052.t010	trigonometric%3:01:00::	wn:02912518a	bn:00112111a
d001.s052.t011	function%1:24:00::	wn:13783816n	bn:00036821n
d001.s052.t012	sum%1:09:01::	wn:05861067n	bn:00003604n
d001.s052.t013	product%1:09:00::	wn:05859630n	bn:00053827n
d001.s053.t001	not%4:02:00::	wn:00024073r	bn:00116360r
d001.s053.t002	matter%2:42:00::	wn:02645839v	bn:00085860v
d001.s053.t003	kind%1:09:00::	wn:05839024n	bn:00035907n
d001.s054.t001	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s054.t002	plus%1:04:00::	wn:00872107n	bn:00001296n
d001.s054.t003	times%1:04:00::	wn:00871576n	bn:00056300n
d001.s054.t004	have%2:40:00::	wn:02203362v	bn:00089240v
d001.s054.t005	operator%1:24:00::	wn:13786413n	bn:00059141n
d001.s054.t006	useful%5:00:00:functional:00	wn:01090820a	bn:00113456a
d001.s055.t001	there%4:02:00::	wn:00109151r	bn:00114427r
d001.s055.t002	have%2:40:00::	wn:02203362v	bn:00089240v
d001.s055.t003	list%1:10:00::	wn:06481320n	bn:00051508n
d001.s055.t004	variable%1:10:00::	wn:07271280n	bn:00079583n
d001.s056.t001	see%2:39:03::	wn:02150948v	bn:00084662v
d001.s056.t002	let%2:41:00::	wn:02423183v	bn:00082536v
d001.s056.t003	change%2:30:01::	wn:00126264v	bn:00082553v
d001.s056.t004	value%1:09:00::	wn:05856388n	bn:00079508n
d001.s056.t005	just%4:02:00::	wn:00004722r	bn:00114626r
d001.s056.t006	way%1:04:01::	wn:00172710n	bn:00001965n
d001.s056.t007	trick%2:41:00::	wn:02575723v	bn:00088310v
d001.s056.t008	log%1:10:02::	wn:06504155n	bn:00051831n
d001.s057.t001	time%1:11:00::	wn:07309599n	bn:00019848n
d001.s057.t002	enter%2:35:03::	wn:01421622v	bn:00087681v
d001.s057.t003	expression%1:10:03::	wn:06731802n	bn:00032395n
d001.s057.t004	variable%1:10:00::	wn:07271280n	bn:00079583n
d001.s057.t005	value%1:09:00::	wn:05856388n	bn:00079508n
d001.s057.t006	change%2:30:01::	wn:00126264v	bn:00082553v
d001.s057.t007	last%3:00:00::	wn:01013279a	bn:00105740a
d001.s057.t008	result%1:11:00::	wn:07292694n	bn:00034520n
d001.s058.t001	new%5:00:00:other:00	wn:02070491a	bn:00107270a
d001.s058.t002	window%1:06:03::	wn:04588739n	bn:00081292n
d001.s059.t001	log%1:10:02::	wn:06504155n	bn:00051831n
d001.s060.t001	load%2:40:12::	wn:02231910v	bn:00090416v
d001.s061.t001	execute%2:36:01::	wn:01712704v	bn:00087107v
d001.s061.t002	instruction%1:10:02::	wn:06584891n	bn:00020945n
d001.s061.t003	file%1:10:00::	wn:06508816n	bn:00025320n
d001.s061.t004	sequentially%4:02:00::	wn:00292349r	bn:00114819r
d001.s062.t001	nice%3:00:00::	wn:01586342a	bn:00107292a
d001.s062.t002	want%2:37:00::	wn:01825237v	bn:00086682v
d001.s062.t003	define%2:32:01::	wn:00947077v	bn:00086468v
d001.s062.t004	library%1:14:01::	wn:07977592n	bn:00050969n
d001.s062.t005	resume%2:30:00::	wn:00350104v	bn:00092413v
d001.s062.t006	previous%5:00:00:preceding:00	wn:00127137a	bn:00107791a
d001.s062.t007	work%1:04:00::	wn:00575741n	bn:00081568n
d001.s063.t001	save%2:32:04::	wn:00998886v	bn:00093281v
d001.s064.t001	save%2:32:04::	wn:00998886v	bn:00093281v
d001.s064.t002	instruction%1:10:02::	wn:06584891n	bn:00020945n
d001.s064.t003	type%2:32:00::	wn:01004692v	bn:00095295v
d001.s064.t004	begin%2:42:02::	wn:02679227v	bn:00083344v
d001.s064.t005	able%5:00:00:competent:00	wn:00510348a	bn:00096152a
d001.s064.t006	reuse%2:34:00::	wn:01162425v	bn:00092558v
d001.s065.t001	generate%2:36:00::	wn:01627355v	bn:00084080v
d001.s065.t002	text_file%1:10:00::	wn:06510977n	bn:00028018n
d001.s065.t003	easy%3:00:01::	wn:00749230a	bn:00101973a
d001.s065.t004	fix%2:30:01::	wn:00260648v	bn:00084308v
d001.s065.t005	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s065.t006	text_editor%1:10:00::	wn:06576727n	bn:00076736n
d001.s066.t001	save%2:32:04::	wn:00998886v	bn:00093281v
d001.s066.t002	log%1:10:02::	wn:06504155n	bn:00051831n
d001.s067.t001	save%2:32:04::	wn:00998886v	bn:00093281v
d001.s067.t002	log%1:10:02::	wn:06504155n	bn:00051831n
d001.s067.t003	result%1:11:00::	wn:07292694n	bn:00034520n
d001.s067.t004	html%1:10:00::	wn:06788262n	bn:00045087n
d001.s067.t005	able%5:00:00:competent:00	wn:00510348a	bn:00096152a
d001.s067.t006	print%2:36:00::	wn:01747945v	bn:00089639v
d001.s067.t007	publish%2:32:00::	wn:00967625v	bn:00084099v
d001.s068.t001	quit%2:42:04::	wn:02680814v	bn:00084710v
d001.s069.t001	program%1:10:02::	wn:06568978n	bn:00021492n
d001.s069.t002	down%4:02:04::	wn:00095946r	bn:00115114r
d001.s070.t001	add%2:30:00::	wn:00182406v	bn:00082317v
d001.s070.t002	new%5:00:00:other:00	wn:02070491a	bn:00107270a
d001.s070.t003	graph%1:10:00::	wn:07000195n	bn:00041412n
d001.s070.t004	do%2:41:04::	wn:02561995v	bn:00087108v
d001.s070.t005	go%2:38:00::	wn:01835496v	bn:00088912v
d001.s070.t006	graph%1:10:00::	wn:07000195n	bn:00041412n
d001.s070.t007	add%2:30:00::	wn:00182406v	bn:00082317v
d001.s070.t008	add%2:30:00::	wn:00182406v	bn:00082317v
d001.s070.t009	new%5:00:00:other:00	wn:02070491a	bn:00107270a
d001.s070.t010	function%1:24:00::	wn:13783816n	bn:00036821n
d001.s071.t001	then%4:02:00::	wn:00117620r	bn:00114281r
d001.s071.t002	focus%1:09:00::	wn:05704694n	bn:00017153n
d001.s071.t003	input%1:06:00::	wn:03573154n	bn:00046850n
d001.s071.t004	text%1:10:00::	wn:06387980n	bn:00076732n
d001.s071.t005	box%1:25:00::	wn:13883494n	bn:00012528n
d001.s071.t006	type%2:32:00::	wn:01004692v	bn:00095295v
d001.s071.t007	function%1:24:00::	wn:13783816n	bn:00036821n
d001.s072.t001	want%2:37:00::	wn:01825237v	bn:00086682v
d001.s072.t002	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s072.t003	typical%5:00:00:normal:01	wn:01595440a	bn:00112217a
d001.s072.t004	not%4:02:00::	wn:00024073r	bn:00116360r
d001.s072.t005	necessary%3:00:00::	wn:01580050a	bn:00107182a
d001.s072.t006	specify%2:31:02::	wn:00715541v	bn:00091005v
d001.s073.t001	enter%2:35:03::	wn:01421622v	bn:00087681v
d001.s073.t002	function%1:24:00::	wn:13783816n	bn:00036821n
d001.s073.t003	ok%5:00:00:satisfactory:00	wn:02081114a	bn:00096817a
d001.s073.t004	display%2:39:00::	wn:02140033v	bn:00087013v
d001.s073.t005	graph%1:10:00::	wn:07000195n	bn:00041412n
d001.s073.t006	main%5:00:00:important:00	wn:01277426a	bn:00099598a
d001.s073.t007	window%1:06:03::	wn:04588739n	bn:00081292n
d001.s074.t001	set%2:35:00::	wn:01494310v	bn:00090224v
d001.s074.t002	several%5:00:00:some:00	wn:02268268a	bn:00110469a
d001.s074.t003	graph%1:10:00::	wn:07000195n	bn:00041412n
d001.s074.t004	same%3:00:02::	wn:02068476a	bn:00110075a
d001.s074.t005	view%1:07:01::	wn:04674861n	bn:00079985n
d001.s075.t001	just%4:02:00::	wn:00004722r	bn:00114626r
d001.s075.t002	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s075.t003	add%2:30:00::	wn:00182406v	bn:00082317v
d001.s075.t004	list%1:10:00::	wn:06481320n	bn:00051508n
d001.s075.t005	mode%1:26:00::	wn:13923929n	bn:00055444n
d001.s076.t001	set%2:35:00::	wn:01494310v	bn:00090224v
d001.s076.t002	graph%1:10:00::	wn:07000195n	bn:00041412n
d001.s076.t003	color%1:07:01::	wn:04674968n	bn:00020733n
d001.s077.t001	foundation%1:14:00::	wn:08406486n	bn:00036064n
d001.s077.t002	recently%4:02:00::	wn:00107416r	bn:00116085r
d001.s077.t003	involve%2:42:04::	wn:02677567v	bn:00089893v
d001.s077.t004	organise%2:41:00::	wn:02432530v	bn:00091196v
d001.s077.t005	conference%1:14:00::	wn:08308497n	bn:00021721n
d001.s077.t006	deal%2:41:13::	wn:02436349v	bn:00084527v
d001.s077.t007	critical%5:00:00:crucial:00	wn:00656132a	bn:00100676a
d001.s077.t008	challenge%1:26:00::	wn:13932948n	bn:00017557n
d001.s078.t001	participant%1:18:00::	wn:10401829n	bn:00060798n
d001.s078.t002	main%5:00:00:important:00	wn:01277426a	bn:00099598a
d001.s078.t003	interest_group%1:14:00::	wn:07968702n	bn:00047082n
d001.s078.t004	attend%2:42:00::	wn:02612762v	bn:00082907v
d001.s078.t005	debate%2:31:00::	wn:00714884v	bn:00086341v
d001.s078.t006	issue%1:09:01::	wn:05814650n	bn:00047688n
d001.s078.t007	role%1:04:01::	wn:00722061n	bn:00068130n
d001.s078.t008	key%5:00:00:important:00	wn:01277097a	bn:00099258a
d001.s078.t009	actor%1:18:01::	wn:09767197n	bn:00001177n
d001.s078.t010	include%2:31:00::	wn:00684838v	bn:00089661v
d001.s078.t011	public%5:00:00:common:02	wn:00493297a	bn:00109212a
d001.s078.t012	authority%1:18:01::	wn:09824609n	bn:00007300n
d001.s078.t013	social%3:01:00::	wn:02798370a	bn:00110842a
d001.s078.t014	voluntary%3:00:01::	wn:02520219a	bn:00113672a
d001.s078.t015	community%1:14:00::	wn:08223802n	bn:00021248n
d001.s078.t016	organisation%1:14:00::	wn:08008335n	bn:00059480n
d001.s078.t017	as_well%4:02:01::	wn:00047534r	bn:00114246r
d001.s078.t018	service%1:04:08::	wn:00577525n	bn:00070651n
d001.s078.t019	user%1:18:00::	wn:10741590n	bn:00079373n
d001.s079.t001	relatively%4:02:00::	wn:00160834r	bn:00114784r
d001.s079.t002	few%3:00:00::	wn:01552885a	bn:00102920a
d001.s079.t003	case%1:10:02::	wn:06784966n	bn:00016408n
d001.s079.t004	report%2:32:01::	wn:00965390v	bn:00092825v
d001.s079.t005	attempt%1:04:00::	wn:00786195n	bn:00007011n
d001.s079.t006	involve%2:42:04::	wn:02677567v	bn:00089893v
d001.s079.t007	user%1:18:00::	wn:10741590n	bn:00079373n
d001.s079.t008	service%1:04:08::	wn:00577525n	bn:00070651n
d001.s079.t009	planning%1:04:02::	wn:00928371n	bn:00062795n
d001.s079.t010	involvement%1:04:00::	wn:01239064n	bn:00030844n
d001.s079.t011	service%1:04:08::	wn:00577525n	bn:00070651n
d001.s079.t012	provision%1:04:01::	wn:01057200n	bn:00064922n
d001.s079.t013	find%2:39:02::	wn:02154508v	bn:00086708v
d001.s079.t014	more%4:02:00::	wn:00099341r	bn:00116284r
d001.s079.t015	common%5:00:00:familiar:02	wn:00970610a	bn:00100093a
d001.s080.t001	note%1:10:00::	wn:06504462n	bn:00058145n
d001.s080.t002	also%4:02:00::	wn:00047534r	bn:00114246r
d001.s080.t003	variety%1:07:00::	wn:04751305n	bn:00027862n
d001.s080.t004	different%3:00:02::	wn:01410363a	bn:00101350a
d001.s080.t005	role%1:04:01::	wn:00722061n	bn:00068130n
d001.s080.t006	play%2:41:12::	wn:02370650v	bn:00091709v
d001.s080.t007	public%5:00:00:common:02	wn:00493297a	bn:00109212a
d001.s080.t008	welfare%1:04:00::	wn:01086945n	bn:00065083n
d001.s081.t001	foundation%1:14:00::	wn:08406486n	bn:00036064n
d001.s081.t002	european%3:01:00::	wn:02968325a	bn:00102440a
d001.s081.t003	commission%1:14:00::	wn:08324514n	bn:00021015n
d001.s081.t004	spanish%3:01:00::	wn:02958576a	bn:00110978a
d001.s081.t005	ministry%1:14:00::	wn:08114004n	bn:00055180n
d001.s081.t006	social%3:01:00::	wn:02798370a	bn:00110842a
d001.s081.t007	affairs%1:04:00::	wn:01107359n	bn:00001739n
d001.s081.t008	regional%5:00:00:territorial:00	wn:02408977a	bn:00109624a
d001.s081.t009	government%1:14:00::	wn:08050678n	bn:00007299n
d001.s081.t010	european%3:01:00::	wn:02968325a	bn:00102440a
d001.s081.t011	conference%1:14:00::	wn:08308497n	bn:00021721n
d001.s081.t012	social%3:01:00::	wn:02798370a	bn:00110842a
d001.s081.t013	exclusion%1:26:00::	wn:13935227n	bn:00032152n
d001.s081.t014	major%3:00:02::	wn:01471538a	bn:00106333a
d001.s081.t015	challenge%1:26:00::	wn:13932948n	bn:00017557n
d001.s081.t016	public%5:00:00:common:02	wn:00493297a	bn:00109212a
d001.s081.t017	welfare%1:04:00::	wn:01086945n	bn:00065083n
d001.s081.t018	service%1:04:08::	wn:00577525n	bn:00070651n
d001.s082.t001	foundation%1:14:00::	wn:08406486n	bn:00036064n
d001.s082.t002	recently%4:02:00::	wn:00107416r	bn:00116085r
d001.s082.t003	publish%2:36:01::	wn:01745722v	bn:00092023v
d001.s082.t004	comparative%3:01:00::	wn:02990954a	bn:00100121a
d001.s082.t005	study%1:10:00::	wn:07218470n	bn:00067181n
d001.s082.t006	part%1:09:00::	wn:05867413n	bn:00027912n
d001.s082.t007	project%1:09:00::	wn:05910453n	bn:00064665n
d001.s082.t008	assess%2:31:00::	wn:00681429v	bn:00082720v
d001.s082.t009	extent%1:26:00::	wn:13941125n	bn:00032425n
d001.s082.t010	direct%5:00:00:immediate:00	wn:00770480a	bn:00101412a
d001.s082.t011	participation%1:04:00::	wn:01239064n	bn:00030844n
d001.s082.t012	humanise%2:37:00::	wn:01801498v	bn:00089511v
d001.s082.t013	work%1:04:01::	wn:00584367n	bn:00030625n
d001.s082.t014	increase%2:30:02::	wn:00153263v	bn:00089667v
d001.s082.t015	profitability%1:07:00::	wn:05157866n	bn:00037027n
d001.s083.t001	study%1:04:00::	wn:00644503n	bn:00074790n
d001.s083.t002	base%2:31:00::	wn:00636888v	bn:00083141v
d001.s083.t003	personal%5:00:00:subjective:00	wn:01616157a	bn:00108489a
d001.s083.t004	interview%1:10:01::	wn:07196075n	bn:00047238n
d001.s083.t005	senior%3:00:00::	wn:02099774a	bn:00110401a
d001.s083.t006	official%1:18:01::	wn:10372373n	bn:00036837n
d001.s083.t007	social%3:01:00::	wn:02798370a	bn:00110842a
d001.s083.t008	representative%1:18:00::	wn:10522035n	bn:00067199n
d001.s083.t009	national%3:00:00::	wn:01567862a	bn:00107137a
d001.s083.t010	level%1:26:01::	wn:14428160n	bn:00041239n
d001.s083.t011	organisation%1:14:00::	wn:08008335n	bn:00059480n
d001.s083.t012	fifteen%5:00:00:cardinal:00	wn:02187793a	bn:00095923a
d001.s083.t013	european%3:01:00::	wn:02968325a	bn:00102440a
d001.s083.t014	country%1:15:00::	wn:08544813n	bn:00023235n
d001.s084.t001	important%3:00:00::	wn:01275562a	bn:00104680a
d001.s084.t002	industrial%3:01:00::	wn:02748635a	bn:00104995a
d001.s084.t003	sector%1:14:00::	wn:07966719n	bn:00070206n
d001.s084.t004	metal%1:27:00::	wn:14625458n	bn:00054550n
d001.s084.t005	industry%1:04:00::	wn:00923444n	bn:00046576n
d001.s084.t006	banking%1:04:01::	wn:01100658n	bn:00008412n
d001.s084.t007	sector%1:14:00::	wn:07966719n	bn:00070206n
d001.s084.t008	also%4:02:00::	wn:00047534r	bn:00114246r
d001.s084.t009	include%2:31:00::	wn:00684838v	bn:00089661v
d001.s085.t001	speaker%1:18:00::	wn:10630188n	bn:00073170n
d001.s085.t002	social%3:01:00::	wn:02798370a	bn:00110842a
d001.s085.t003	exclusion%1:26:00::	wn:13935227n	bn:00032152n
d001.s085.t004	conference%1:14:00::	wn:08308497n	bn:00021721n
d001.s085.t005	left%1:15:00::	wn:08625462n	bn:00050521n
d001.s085.t006	right%1:15:00::	wn:08625073n	bn:00067808n
d001.s085.t007	employment%1:04:02::	wn:01217859n	bn:00030626n
d001.s085.t008	industrial%3:01:00::	wn:02748635a	bn:00104995a
d001.s085.t009	relations%1:24:00::	wn:13780449n	bn:00025569n
d001.s085.t010	social_affair%1:14:00::	wn:08252211n	bn:00072527n
d001.s085.t011	directorate%1:14:00::	wn:08380768n	bn:00011651n
d001.s085.t012	european%3:01:00::	wn:02968325a	bn:00102440a
d001.s085.t013	commission%1:14:00::	wn:08324514n	bn:00021015n
d001.s085.t014	high%5:00:00:superior:01	wn:02339120a	bn:00102158a
d001.s085.t015	committee%1:14:00::	wn:08324514n	bn:00021015n
d001.s085.t016	member%1:18:00::	wn:10307234n	bn:00034004n
d001.s085.t017	european%3:01:00::	wn:02968325a	bn:00102440a
d001.s085.t018	parliament%1:14:00::	wn:08319198n	bn:00060708n
d001.s085.t019	vice_president%1:18:00::	wn:10751265n	bn:00079435n
d001.s085.t020	european%3:01:00::	wn:02968325a	bn:00102440a
d001.s085.t021	parliament%1:14:00::	wn:08319198n	bn:00060708n
d001.s085.t022	economic%3:01:01::	wn:02716739a	bn:00102001a
d001.s085.t023	social%3:01:00::	wn:02798370a	bn:00110842a
d001.s085.t024	committee%1:14:00::	wn:08324514n	bn:00021015n
d001.s086.t001	case_study%1:10:00::	wn:07219297n	bn:00016433n
d001.s086.t002	national%3:00:00::	wn:01567862a	bn:00107137a
d001.s086.t003	report%1:10:03::	wn:07218470n	bn:00067181n
d001.s086.t004	contain%2:42:00::	wn:02629535v	bn:00085499v
d001.s086.t005	portfolio%1:14:00::	wn:08242428n	bn:00063673n
d001.s086.t006	initiative%1:04:00::	wn:00239230n	bn:00034797n
d001.s086.t007	present%2:32:00::	wn:00772967v	bn:00090234v
d001.s086.t008	policy%1:09:00::	wn:05901508n	bn:00063329n
d001.s086.t009	practice%1:04:00::	wn:00410247n	bn:00061054n
d001.s086.t010	improve%2:30:01::	wn:00205885v	bn:00082573v
d001.s086.t011	recruitment%1:04:00::	wn:01263711n	bn:00030933n
d001.s086.t012	training%1:04:00::	wn:00893955n	bn:00041853n
d001.s086.t013	development%1:04:01::	wn:00250259n	bn:00026695n
d001.s086.t014	age%2:30:01::	wn:00248512v	bn:00082449v
d001.s086.t015	worker%1:18:00::	wn:09632518n	bn:00081593n
d001.s086.t016	work%1:04:01::	wn:00584367n	bn:00030625n
d001.s086.t017	place%1:15:04::	wn:08513718n	bn:00062700n
d001.s086.t018	community%1:14:00::	wn:08223802n	bn:00021248n
d001.s087.t001	country%1:15:00::	wn:08544813n	bn:00023235n
d001.s087.t002	initiative%1:04:00::	wn:00239230n	bn:00034797n
d001.s087.t003	select%2:31:00::	wn:00674607v	bn:00084931v
d001.s087.t004	further%5:00:00:far:00	wn:00443988a	bn:00102794a
d001.s087.t005	depth%1:07:01::	wn:05094725n	bn:00026418n
d001.s087.t006	case_study%1:10:00::	wn:07219297n	bn:00016433n
d001.s088.t001	case_study%1:10:00::	wn:07219297n	bn:00016433n
d001.s088.t002	analyse%2:31:04::	wn:00736216v	bn:00082597v
d001.s088.t003	background%1:26:00::	wn:14513259n	bn:00007786n
d001.s088.t004	initiative%1:04:00::	wn:00239230n	bn:00034797n
d001.s088.t005	impact%1:19:00::	wn:11414411n	bn:00046065n
d001.s088.t006	employment%1:04:02::	wn:01217859n	bn:00030626n
d001.s088.t007	pattern%1:09:01::	wn:05938795n	bn:00061055n
d001.s088.t008	work%1:04:00::	wn:00575741n	bn:00081568n
d001.s088.t009	organisation%1:14:01::	wn:08164585n	bn:00001423n
d001.s088.t010	assess%2:31:00::	wn:00681429v	bn:00082720v
d001.s088.t011	benefit%1:07:00::	wn:05142641n	bn:00009905n
d001.s088.t012	problem%1:26:00::	wn:14410605n	bn:00048242n
d001.s088.t013	initiative%1:04:00::	wn:00239230n	bn:00034797n
d001.s089.t001	visit%1:04:01::	wn:01232842n	bn:00080113n
d001.s089.t002	interview%1:10:01::	wn:07196075n	bn:00047238n
d001.s089.t003	key%5:00:00:important:00	wn:01277097a	bn:00099258a
d001.s089.t004	personnel%1:14:00::	wn:08208016n	bn:00035770n
d001.s089.t005	also%4:02:00::	wn:00047534r	bn:00114246r
d001.s089.t006	undertake%2:41:01::	wn:02569630v	bn:00094722v
d001.s090.t001	national%3:00:00::	wn:01567862a	bn:00107137a
d001.s090.t002	study%1:04:00::	wn:00644503n	bn:00074790n
d001.s090.t003	form%2:42:00::	wn:02621395v	bn:00085670v
d001.s090.t004	basis%1:24:01::	wn:13809769n	bn:00008790n
d001.s090.t005	european%3:01:00::	wn:02968325a	bn:00102440a
d001.s090.t006	report%1:10:03::	wn:07218470n	bn:00067181n
d001.s090.t007	synthesise%2:31:00::	wn:00644066v	bn:00094713v
d001.s090.t008	overall%5:00:00:general:00	wn:01102451a	bn:00108083a
d001.s090.t009	practice%1:04:00::	wn:00410247n	bn:00061054n
d001.s091.t001	report%1:10:03::	wn:07218470n	bn:00067181n
d001.s091.t002	casebook%1:10:00::	wn:06503034n	bn:00016435n
d001.s091.t003	initiative%1:04:00::	wn:00239230n	bn:00034797n
d001.s091.t004	publish%2:36:01::	wn:01745722v	bn:00092023v
d001.s091.t005	provide%2:34:00::	wn:01182709v	bn:00084692v
d001.s091.t006	conference%1:14:00::	wn:08308497n	bn:00021721n
d001.s091.t007	stage%2:36:01::	wn:01648126v	bn:00082779v
d001.s091.t008	autumn%1:28:00::	wn:15236859n	bn:00007406n
d001.s092.t001	foundation%1:14:00::	wn:08406486n	bn:00036064n
d001.s092.t002	aim%2:31:01::	wn:00708980v	bn:00082486v
d001.s092.t003	document%2:32:00::	wn:01002297v	bn:00087137v
d001.s092.t004	characteristic%1:07:00::	wn:04731497n	bn:00017762n
d001.s092.t005	age%1:07:00::	wn:04924103n	bn:00001936n
d001.s092.t006	barrier%1:09:00::	wn:05690916n	bn:00008714n
d001.s092.t007	job%1:04:00::	wn:00582388n	bn:00014138n
d001.s092.t008	recruitment%1:04:00::	wn:01263711n	bn:00030933n
d001.s092.t009	training%1:04:00::	wn:00893955n	bn:00041853n
d001.s092.t010	analyse%2:31:04::	wn:00736216v	bn:00082597v
d001.s092.t011	cause%1:11:00::	wn:07326557n	bn:00016850n
d001.s093.t001	perspective%1:09:00::	wn:06208751n	bn:00061746n
d001.s093.t002	social%3:01:00::	wn:02798370a	bn:00110842a
d001.s093.t003	also%4:02:00::	wn:00047534r	bn:00114246r
d001.s093.t004	examine%2:31:00::	wn:00644583v	bn:00082596v
d001.s093.t005	particular%5:00:00:uncommon:00	wn:00488187a	bn:00102398a
d001.s093.t006	attention%1:09:00::	wn:05702275n	bn:00007020n
d001.s093.t007	pay%2:32:00::	wn:01060494v	bn:00088817v
