d001.s001.t002 bn:00028015n
d001.s091.t017 bn:00007771n
d001.s091.t020 bn:00021721n
d001.s091.t023 bn:00091979v
d001.s091.t025 bn:00007406n
d001.s092.t002 bn:00036064n
d001.s092.t003 bn:00082486v
d001.s092.t005 bn:00087137v
d001.s092.t007 bn:00017761n
d001.s092.t009 bn:00001938n
d001.s092.t010 bn:00008714n
d001.s092.t012 bn:00014138n
d001.s092.t013 bn:00030933n
d001.s092.t015 bn:00041853n
d001.s092.t018 bn:00082596v
d001.s092.t020 bn:00016850n
d001.s093.t002 bn:00061746n
d001.s093.t005 bn:00110842a
d001.s093.t006 bn:00020592n
d001.s093.t008 bn:00114246r
d001.s093.t010 bn:00087788v
d001.s093.t013 bn:00102398a
d001.s093.t014 bn:00007020n
d001.s093.t015 bn:00088817v
d001.s093.t017 bn:00064776n
d001.s093.t019 bn:00092783v
d001.s093.t020 bn:00001936n
d001.s093.t021 bn:00008714n
d001.s094.t001 bn:00117283r
d001.s094.t004 bn:00049573n
d001.s094.t005 bn:00028016n
d001.s094.t007 bn:00082720v
d001.s094.t008 bn:00031009n
d001.s094.t013 bn:00109211a
d001.s094.t015 bn:00109026a
d001.s094.t016 bn:00070206n
d001.s094.t018 bn:00005731n
d001.s094.t019 bn:00001936n
d001.s094.t020 bn:00008714n
d001.s094.t022 bn:00115235r
d001.s094.t024 bn:00107786a
d001.s094.t025 bn:00081593n
d001.s095.t001 bn:00093452v
d001.s095.t002 bn:00003132n
d001.s095.t004 bn:00101935a
d001.s095.t005 bn:00067456n
d001.s095.t007 bn:00066743n
d001.s095.t010 bn:00049573n
d001.s095.t012 bn:00114714r
d001.s095.t013 bn:00100196a
d001.s095.t016 bn:00044396n
d001.s095.t018 bn:00001460n
d001.s095.t020 bn:00067463n
d001.s095.t022 bn:00107786a
d001.s095.t023 bn:00081593n
d001.s096.t002 bn:00037634n
d001.s096.t004 bn:00100762a
d001.s096.t005 bn:00007781n
d001.s096.t007 bn:00081593n
d001.s096.t011 bn:00083240v
d001.s096.t013 bn:00001936n
d001.s096.t014 bn:00027538n
d001.s096.t016 bn:00082596v
d001.s097.t002 bn:00049573n
d001.s097.t003 bn:00114246r
d001.s097.t004 bn:00085648v
d001.s097.t005 bn:00031009n
d001.s097.t007 bn:00083173v
d001.s097.t008 bn:00001938n
d001.s097.t009 bn:00027538n
d001.s097.t011 bn:00109997a
d001.s097.t012 bn:00005513n
d001.s097.t015 bn:00106058a
d001.s097.t017 bn:00097857a
d001.s097.t018 bn:00110704a
d001.s097.t019 bn:00030751n
d001.s098.t002 bn:00054277n
d001.s098.t003 bn:00023236n
d001.s098.t005 bn:00085720v
d001.s098.t008 bn:00049573n
d001.s099.t002 bn:00028015n
d001.s099.t005 bn:00075142n
d001.s099.t008 bn:00102440a
d001.s099.t009 bn:00109212a
d001.s099.t010 bn:00005120n
d001.s099.t011 bn:00067181n
d001.s099.t014 bn:00087869v
d001.s099.t017 bn:00021015n
d001.s099.t019 bn:00106556a
d001.s099.t020 bn:00064584n
d001.s099.t022 bn:00113583a
d001.s099.t023 bn:00082705v
d001.s099.t027 bn:00082720v
d001.s099.t029 bn:00074790n
d001.s099.t030 bn:00091550v
d001.s099.t033 bn:00082790v
d001.s099.t035 bn:00066562n
d001.s099.t041 bn:00054128n
d001.s101.t002 bn:00085499v
d001.s101.t004 bn:00096387a
d001.s101.t005 bn:00074985n
d001.s101.t006 bn:00006975n
d001.s101.t009 bn:00097846a
d001.s101.t011 bn:00052222n
d001.s101.t014 bn:00072760n
d001.s101.t016 bn:00046787n
d001.s102.t002 bn:00052222n
d001.s102.t008 bn:00069754n
d001.s102.t009 bn:00051289n
d001.s102.t012 bn:00071434n
d001.s102.t018 bn:00089157v
d001.s103.t002 bn:00075830n
d001.s103.t004 bn:00090660v
d001.s103.t007 bn:00046516n
d001.s103.t008 bn:00051872n
d001.s103.t011 bn:00032604n
d001.s103.t015 bn:00003057n
d001.s103.t016 bn:00100892a
d001.s103.t019 bn:00003603n
d001.s103.t021 bn:00064746n
d001.s103.t024 bn:00108011a
d001.s104.t004 bn:00082705v
d001.s105.t007 bn:00087672v
d001.s105.t010 bn:00083623v
d001.s105.t011 bn:00083115v
d001.s106.t003 bn:00082705v
d001.s106.t005 bn:00015267n
d001.s106.t007 bn:00088454v
d001.s106.t008 bn:00027565n
d001.s106.t009 bn:00111411a
d001.s106.t012 bn:00084699v
d001.s106.t014 bn:00018141n
d001.s106.t016 bn:00054128n
d001.s106.t020 bn:00047235n
d001.s106.t022 bn:00015180n
d001.s106.t028 bn:00085261v
d001.s106.t030 bn:00084699v
d001.s107.t002 bn:00020872n
d001.s107.t004 bn:00111492a
d001.s107.t005 bn:00054018n
d001.s107.t006 bn:00111411a
d001.s107.t008 bn:00108011a
d001.s107.t009 bn:00113583a
d001.s107.t010 bn:00047235n
d001.s107.t013 bn:00110996a
d001.s107.t014 bn:00027011n
d001.s107.t018 bn:00114246r
d001.s107.t020 bn:00082705v
d001.s107.t025 bn:00027565n
d001.s107.t029 bn:00046787n
d001.s107.t033 bn:00088422v
d001.s107.t035 bn:00052222n
d001.s108.t003 bn:00002178n
d001.s108.t008 bn:00088826v
d001.s108.t012 bn:00000086n
d001.s109.t003 bn:00019458n
d001.s109.t004 bn:00088629v
d001.s110.t002 bn:00083623v
d001.s110.t004 bn:00096502a
d001.s110.t007 bn:00023425n
d001.s110.t009 bn:00066514n
d001.s110.t012 bn:00082285v
d001.s110.t015 bn:00099441a
d001.s110.t016 bn:00107232a
d001.s110.t017 bn:00075762n
d001.s111.t003 bn:00017283n
d001.s111.t005 bn:00082596v
d001.s112.t002 bn:00098342a
d001.s112.t003 bn:00034394n
d001.s112.t005 bn:00074790n
d001.s112.t009 bn:00084559v
d001.s112.t013 bn:00049551n
d001.s112.t014 bn:00015267n
d001.s112.t017 bn:00004222n
d001.s112.t018 bn:00061017n
d001.s112.t020 bn:00113583a
d001.s112.t021 bn:00063994n
d001.s112.t023 bn:00110469a
d001.s112.t024 bn:00102440a
d001.s112.t025 bn:00023235n
d001.s113.t002 bn:00009905n
d001.s113.t004 bn:00017379n
d001.s113.t005 bn:00093682v
d001.s113.t008 bn:00074790n
d001.s114.t002 bn:00034520n
d001.s114.t005 bn:00074790n
d001.s114.t006 bn:00083245v
d001.s114.t010 bn:00116284r
d001.s114.t011 bn:00102040a
d001.s114.t014 bn:00062717n
d001.s114.t016 bn:00105886a
d001.s114.t017 bn:00027565n
d001.s114.t019 bn:00093430v
d001.s114.t021 bn:00015267n
d001.s114.t023 bn:00089246v
d001.s114.t025 bn:00054128n
d001.s114.t037 bn:00047235n
d001.s114.t041 bn:00008467n
d001.s115.t002 bn:00047235n
d001.s115.t005 bn:00083115v
d001.s115.t006 bn:00015267n
d001.s115.t009 bn:00083340v
d001.s115.t012 bn:00046787n
d001.s115.t016 bn:00004222n
d001.s115.t020 bn:00096151a
d001.s115.t022 bn:00089384v
d001.s115.t024 bn:00052222n
d001.s115.t030 bn:00094934v
d001.s115.t032 bn:00102278a
d001.s115.t035 bn:00114171r
d001.s116.t003 bn:00047235n
d001.s116.t006 bn:00004222n
d001.s116.t007 bn:00059954n
d001.s116.t009 bn:00082365v
d001.s116.t011 bn:00052222n
d001.s116.t014 bn:00015267n
d001.s117.t001 bn:00114246r
d001.s117.t004 bn:00047235n
d001.s117.t006 bn:00027565n
d001.s117.t008 bn:00114234r
d001.s117.t010 bn:00117320r
d001.s117.t012 bn:00108011a
d001.s117.t013 bn:00111492a
d001.s117.t014 bn:00054018n
d001.s117.t017 bn:00113583a
d001.s117.t018 bn:00076843n
d001.s117.t020 bn:00082336v
d001.s117.t022 bn:00104676a
d001.s117.t023 bn:00016850n
d001.s118.t004 bn:00067930n
d001.s118.t005 bn:00082868v
d001.s119.t003 bn:00114634r
d001.s119.t004 bn:00115530r
d001.s119.t005 bn:00095008v
d001.s119.t007 bn:00082365v
d001.s119.t008 bn:00114917r
d001.s119.t010 bn:00028320n
d001.s119.t014 bn:00019848n
d001.s119.t016 bn:00082418v
d001.s119.t017 bn:00028320n
d001.s119.t020 bn:00101795a
d001.s119.t021 bn:00061605n
d001.s119.t023 bn:00077267n
d001.s119.t031 bn:00106517a
d001.s119.t032 bn:00029170n
d001.s119.t034 bn:00047235n
d001.s120.t004 bn:00042049n
d001.s120.t007 bn:00046516n
d001.s120.t009 bn:00088826v
d001.s120.t011 bn:00054128n
d001.s120.t013 bn:00085319v
d001.s120.t015 bn:00022112n
d001.s120.t018 bn:00004222n
d001.s121.t004 bn:00087825v
d001.s121.t006 bn:00108296a
d001.s121.t007 bn:00030747n
d001.s121.t009 bn:00061450n
