Token ID	Token	Lemma	POS	Sense
d001.s029.t012	,		X	n/a
d001.s029.t013	both		X	n/a
d001.s029.t014	in		X	n/a
d001.s029.t015	combination	combination	N	bn:00020872n
d001.s029.t016	with		X	n/a
d001.s029.t017	cisplatin	cisplatin	N	bn:00577781n
d001.s029.t018	,		X	n/a
d001.s029.t019	in		X	n/a
d001.s029.t020	a		X	n/a
d001.s029.t021	study	study	N	bn:00074790n
d001.s029.t022	involving	involve	V	bn:00089893v
d001.s029.t023	1,725		X	n/a
d001.s029.t024	patients	patient	N	bn:00061017n
d001.s029.t025	who		X	n/a
d001.s029.t026	had	have	V	n/a
d001.s029.t027	not	not	R	bn:00116360r
d001.s029.t028	received	receive	V	bn:00087863v
d001.s029.t029	chemotherapy	chemotherapy	N	bn:00018141n
d001.s029.t030	for		X	n/a
d001.s029.t031	lung	lung	N	bn:00052341n
d001.s029.t032	cancer	cancer	N	bn:00015180n
d001.s029.t033	in		X	n/a
d001.s029.t034	the		X	n/a
d001.s029.t035	past	past	N	bn:00060927n
d001.s029.t036	.		X	n/a
d001.s030.t001	In		X	n/a
d001.s030.t002	all		X	n/a
d001.s030.t003	three		X	n/a
d001.s030.t004	studies	study	N	bn:00067181n
d001.s030.t005	,		X	n/a
d001.s030.t006	the		X	n/a
d001.s030.t007	main	main	J	bn:00099598a
d001.s030.t008	measure	measure	N	bn:00054019n
d001.s030.t009	of		X	n/a
d001.s030.t010	effectiveness	effectiveness	N	bn:00029876n
d001.s030.t011	was	be	V	n/a
d001.s030.t012	how		X	n/a
d001.s030.t013	long	long	R	bn:00116153r
d001.s030.t014	the		X	n/a
d001.s030.t015	patients	patient	N	bn:00061017n
d001.s030.t016	survived	survive	V	bn:00085382v
d001.s030.t017	.		X	n/a
d001.s031.t001	What		X	n/a
d001.s031.t002	benefit	benefit	N	bn:00037022n
d001.s031.t003	has	have	V	n/a
d001.s031.t004	Alimta	alimta	N	bn:00602447n
d001.s031.t005	shown	show	V	bn:00086567v
d001.s031.t006	during		X	n/a
d001.s031.t007	the		X	n/a
d001.s031.t008	studies	study	N	bn:00074790n
d001.s031.t009	?		X	n/a
d001.s032.t001	Alimta	alimta	N	bn:00602447n
d001.s032.t002	increased	increase	V	bn:00089667v
d001.s032.t003	the		X	n/a
d001.s032.t004	survival	survival	N	bn:00030811n
d001.s032.t005	time	time	N	bn:00077268n
d001.s032.t006	of		X	n/a
d001.s032.t007	patients	patient	N	bn:00061017n
d001.s032.t008	with		X	n/a
d001.s032.t009	malignant	malignant	J	bn:00106363a
d001.s032.t010	pleural	pleural	J	bn:00108692a
d001.s032.t011	mesothelioma	mesothelioma	N	bn:00054512n
d001.s032.t012	.		X	n/a
d001.s033.t001	Patients	patient	N	bn:00061017n
d001.s033.t002	receiving	receive	V	bn:00087863v
d001.s033.t003	Alimta	alimta	N	bn:00602447n
d001.s033.t004	and		X	n/a
d001.s033.t005	cisplatin	cisplatin	N	bn:00577781n
d001.s033.t006	survived	survive	V	bn:00085382v
d001.s033.t007	for		X	n/a
d001.s033.t008	an		X	n/a
d001.s033.t009	average	average	N	bn:00054001n
d001.s033.t010	of		X	n/a
d001.s033.t011	12.1		X	n/a
d001.s033.t012	months	month	N	bn:00055794n
d001.s033.t013	,		X	n/a
d001.s033.t014	compared	compare	V	bn:00085450v
d001.s033.t015	with		X	n/a
d001.s033.t016	9.3		X	n/a
d001.s033.t017	months	month	N	bn:00055794n
d001.s033.t018	in		X	n/a
d001.s033.t019	those		X	n/a
d001.s033.t020	receiving	receive	V	n/a
d001.s033.t021	cisplatin	cisplatin	N	bn:00577781n
d001.s033.t022	alone	alone	R	bn:00114235r
d001.s033.t023	.		X	n/a
d001.s034.t001	In		X	n/a
d001.s034.t002	the		X	n/a
d001.s034.t003	treatment	treatment	N	bn:00047235n
d001.s034.t004	of		X	n/a
d001.s034.t005	patients	patient	N	bn:00061017n
d001.s034.t006	with		X	n/a
d001.s034.t007	non-small	non-small	J	n/a
d001.s034.t008	cell	cell	N	bn:00017027n
d001.s034.t009	lung	lung	N	bn:00052341n
d001.s034.t010	cancer	cancer	N	bn:00015180n
d001.s034.t011	,		X	n/a
d001.s034.t012	Alimta	alimta	N	bn:00602447n
d001.s034.t013	was	be	V	n/a
d001.s034.t014	as	as	R	bn:00114354r
d001.s034.t015	effective	effective	J	bn:00102038a
d001.s034.t016	as	as	R	bn:00114354r
d001.s034.t017	the		X	n/a
d001.s034.t018	comparators	comparator	N	n/a
d001.s034.t019	.		X	n/a
d001.s035.t001	In		X	n/a
d001.s035.t002	patients	patient	N	bn:00061017n
d001.s035.t003	who		X	n/a
d001.s035.t004	had	have	V	n/a
d001.s035.t005	received	receive	V	bn:00087863v
d001.s035.t006	chemotherapy	chemotherapy	N	bn:00018141n
d001.s035.t007	in		X	n/a
d001.s035.t008	the		X	n/a
d001.s035.t009	past	past	N	bn:00060927n
d001.s035.t010	,		X	n/a
d001.s035.t011	the		X	n/a
d001.s035.t012	average	average	J	bn:00097854a
d001.s035.t013	survival	survival	N	bn:00030811n
d001.s035.t014	time	time	N	bn:00077268n
d001.s035.t015	was	be	V	n/a
d001.s035.t016	8.3		X	n/a
d001.s035.t017	months	month	N	bn:00055794n
d001.s035.t018	with		X	n/a
d001.s035.t019	Alimta	alimta	N	bn:00602447n
d001.s035.t020	,		X	n/a
d001.s035.t021	compared	compare	V	bn:00085450v
d001.s035.t022	with		X	n/a
d001.s035.t023	7.9		X	n/a
d001.s035.t024	months	month	N	bn:00055794n
d001.s035.t025	with		X	n/a
d001.s035.t026	docetaxel	docetaxel	N	bn:01537207n
d001.s035.t027	.		X	n/a
d001.s036.t001	In		X	n/a
d001.s036.t002	patients	patient	N	bn:00061017n
d001.s036.t003	who		X	n/a
d001.s036.t004	had	have	V	n/a
d001.s036.t005	not	not	R	bn:00116360r
d001.s036.t006	received	receive	V	bn:00087863v
d001.s036.t007	chemotherapy	chemotherapy	N	bn:00018141n
d001.s036.t008	in		X	n/a
d001.s036.t009	the		X	n/a
d001.s036.t010	past	past	N	bn:00060927n
d001.s036.t011	,		X	n/a
d001.s036.t012	the		X	n/a
d001.s036.t013	average	average	J	bn:00097854a
d001.s036.t014	survival	survival	N	bn:00030811n
d001.s036.t015	time	time	N	bn:00077268n
d001.s036.t016	was	be	V	n/a
d001.s036.t017	10.3		X	n/a
d001.s036.t018	months	month	N	bn:00055794n
d001.s036.t019	in		X	n/a
d001.s036.t020	both		X	n/a
d001.s036.t021	groups	group	N	bn:00041942n
d001.s036.t022	.		X	n/a
d001.s037.t001	However	however	R	bn:00114627r
d001.s037.t002	,		X	n/a
d001.s037.t003	in		X	n/a
d001.s037.t004	both		X	n/a
d001.s037.t005	studies	study	N	bn:00074790n
d001.s037.t006	,		X	n/a
d001.s037.t007	patients	patient	N	bn:00061017n
d001.s037.t008	whose		X	n/a
d001.s037.t009	cancer	cancer	N	bn:00015180n
d001.s037.t010	was	be	V	n/a
d001.s037.t011	not	not	R	bn:00116360r
d001.s037.t012	affecting	affect	V	bn:00082427v
d001.s037.t013	squamous	squamous	J	n/a
d001.s037.t014	cells	cell	N	bn:00017027n
d001.s037.t015	had	have	V	bn:00088078v
d001.s037.t016	longer	long	J	bn:00106124a
d001.s037.t017	survival	survival	N	bn:00030811n
d001.s037.t018	times	time	N	bn:00077268n
d001.s037.t019	if		X	n/a
d001.s037.t020	they		X	n/a
d001.s037.t021	received	receive	V	n/a
d001.s037.t022	Alimta	alimta	N	bn:00602447n
d001.s037.t023	than		X	n/a
d001.s037.t024	if		X	n/a
d001.s037.t025	they		X	n/a
d001.s037.t026	received	receive	V	n/a
d001.s037.t027	the		X	n/a
d001.s037.t028	comparator	comparator	N	n/a
d001.s037.t029	.		X	n/a
d002.s001.t001	kalgebra	kalgebra	N	bn:08534138n
d002.s001.t002	is	be	V	n/a
d002.s001.t003	a		X	n/a
d002.s001.t004	mathematical	mathematical	J	bn:00106488a
d002.s001.t005	calculator	calculator	N	bn:00946167n
d002.s001.t006	based	base	V	bn:00083141v
d002.s001.t007	on		X	n/a
d002.s001.t008	content	content	J	n/a
d002.s001.t009	markup	markup	N	bn:00053491n
d002.s001.t010	MathML	mathml	N	bn:03313895n
d002.s001.t011	language	language	N	bn:00213650n
d002.s001.t012	.		X	n/a
d002.s002.t001	Nowadays	nowadays	R	bn:00116382r
d002.s002.t002	it		X	n/a
d002.s002.t003	is	be	V	n/a
d002.s002.t004	capable	capable	J	bn:00099215a
d002.s002.t005	to		X	n/a
d002.s002.t006	make	make	V	bn:00090557v
d002.s002.t007	simple	simple	J	bn:00102111a
d002.s002.t008	MathML	mathml	N	bn:03313895n
d002.s002.t009	operations	operation	N	bn:00053826n
d002.s002.t010	(		X	n/a
d002.s002.t011	arithmetic	arithmetic	J	bn:00097495a
d002.s002.t012	and		X	n/a
d002.s002.t013	logical	logical	J	n/a
d002.s002.t014	)		X	n/a
d002.s002.t015	and		X	n/a
d002.s002.t016	to		X	n/a
d002.s002.t017	representate	representate	N	n/a
d002.s002.t018	2D	2d	N	n/a
d002.s002.t019	and		X	n/a
d002.s002.t020	3D	3d	N	bn:00000102n
d002.s002.t021	graphs	graph	N	bn:00041412n
d002.s002.t022	.		X	n/a
d002.s003.t001	It		X	n/a
d002.s003.t002	is	be	V	n/a
d002.s003.t003	actually	actually	R	bn:00114118r
d002.s003.t004	not	not	R	bn:00116360r
d002.s003.t005	necessary	necessary	J	bn:00107182a
d002.s003.t006	to		X	n/a
d002.s003.t007	know	know	V	bn:00085261v
d002.s003.t008	MathML	mathml	N	bn:03313895n
d002.s003.t009	to		X	n/a
d002.s003.t010	use	use	V	bn:00082705v
d002.s003.t011	kalgebra	kalgebra	N	bn:08534138n
d002.s003.t012	.		X	n/a
d002.s004.t001	kalgebra	kalgebra	N	bn:08534138n
d002.s004.t002	is	be	V	n/a
d002.s004.t003	a		X	n/a
d002.s004.t004	MathML	mathml	N	bn:03313895n
d002.s004.t005	based	base	V	bn:00083141v
d002.s004.t006	graph	graph	N	bn:00041412n
d002.s004.t007	calculator	calculator	N	bn:00946167n
d002.s004.t008	.		X	n/a
d002.s005.t001	Although		X	n/a
d002.s005.t002	it		X	n/a
d002.s005.t003	was	be	V	n/a
d002.s005.t004	initially	initially	R	bn:00114055r
d002.s005.t005	MathML	mathml	N	bn:03313895n
d002.s005.t006	oriented	orient	V	bn:00091201v
d002.s005.t007	it		X	n/a
d002.s005.t008	can		X	n/a
d002.s005.t009	now	now	R	bn:00114424r
d002.s005.t010	be	be	V	n/a
d002.s005.t011	used	use	V	bn:00082705v
d002.s005.t012	by		X	n/a
d002.s005.t013	everyone	everyone	N	n/a
d002.s005.t014	with		X	n/a
d002.s005.t015	little	little	J	bn:00106058a
d002.s005.t016	mathematical	mathematical	J	bn:00106488a
d002.s005.t017	knowledge	knowledge	N	bn:00020452n
d002.s005.t018	.		X	n/a
d002.s006.t001	Here	here	R	bn:00115639r
d002.s006.t002	s	be	V	n/a
d002.s006.t003	a		X	n/a
d002.s006.t004	screenshot	screenshot	N	bn:01157212n
d002.s006.t005	of		X	n/a
d002.s006.t006	kalgebra	kalgebra	N	bn:08534138n
d002.s006.t007	main	main	J	bn:00099598a
d002.s006.t008	window	window	N	bn:00081292n
d002.s007.t001	kalgebra	kalgebra	N	bn:08534138n
d002.s007.t002	main	main	J	bn:00099598a
d002.s007.t003	window	window	N	bn:00081292n
d002.s008.t001	kalgebra	kalgebra	N	bn:08534138n
d002.s008.t002	main	main	J	bn:00099598a
d002.s008.t003	window	window	N	bn:00081292n
d002.s008.t004	consists	consist	V	bn:00085498v
d002.s008.t005	in		X	n/a
d002.s008.t006	a		X	n/a
d002.s008.t007	Console	console	N	bn:00020949n
d002.s008.t008	tab	tab	N	bn:00120018n
d002.s008.t009	,		X	n/a
d002.s008.t010	a		X	n/a
d002.s008.t011	2D	2d	N	n/a
d002.s008.t012	Graph	graph	N	bn:00041412n
d002.s008.t013	tab	tab	N	bn:00120018n
d002.s008.t014	,		X	n/a
d002.s008.t015	a		X	n/a
d002.s008.t016	3D	3d	N	bn:00000102n
d002.s008.t017	Graph	graph	N	bn:00041412n
d002.s008.t018	tab	tab	N	bn:00120018n
d002.s008.t019	and		X	n/a
d002.s008.t020	a		X	n/a
d002.s008.t021	Dictionary	dictionary	N	bn:00026967n
d002.s008.t022	tab	tab	N	bn:00120018n
d002.s008.t023	.		X	n/a
d002.s009.t001	Below	below	R	bn:00114401r
d002.s009.t002	these		X	n/a
d002.s009.t003	tabs	tab	N	bn:00120018n
d002.s009.t004	you		X	n/a
d002.s009.t005	will		X	n/a
d002.s009.t006	find	find	V	bn:00086708v
d002.s009.t007	an		X	n/a
d002.s009.t008	input	input	N	bn:00046850n
d002.s009.t009	field	field	N	bn:00034274n
d002.s009.t010	to		X	n/a
d002.s009.t011	type	type	V	bn:00095295v
d002.s009.t012	your		X	n/a
d002.s009.t013	functions	function	N	bn:00036821n
d002.s009.t014	or		X	n/a
d002.s009.t015	do	do	V	bn:00087107v
d002.s009.t016	your		X	n/a
d002.s009.t017	calculations	calculation	N	bn:00014688n
d002.s009.t018	.		X	n/a
d002.s010.t001	If		X	n/a
d002.s010.t002	we		X	n/a
d002.s010.t003	want	want	V	bn:00086682v
d002.s010.t004	to		X	n/a
d002.s010.t005	understand	understand	V	bn:00092443v
d002.s010.t006	how		X	n/a
d002.s010.t007	it		X	n/a
d002.s010.t008	works	work	V	bn:00088629v
d002.s010.t009	,		X	n/a
d002.s010.t010	the		X	n/a
d002.s010.t011	best	good	J	bn:00098274a
d002.s010.t012	thing	thing	N	bn:00076919n
d002.s010.t013	we		X	n/a
d002.s010.t014	can		X	n/a
d002.s010.t015	do	do	V	bn:00087107v
d002.s010.t016	is	be	V	n/a
d002.s010.t017	to		X	n/a
d002.s010.t018	realize	realize	V	bn:00082472v
d002.s010.t019	that		X	n/a
d002.s010.t020	our		X	n/a
d002.s010.t021	input	input	N	bn:00046850n
d002.s010.t022	is	be	V	n/a
d002.s010.t023	being	be	V	n/a
d002.s010.t024	converted	convert	V	bn:00084772v
d002.s010.t025	into		X	n/a
d002.s010.t026	MathML	mathml	N	bn:03313895n
d002.s010.t027	although		X	n/a
d002.s010.t028	it		X	n/a
d002.s010.t029	is	be	V	n/a
d002.s010.t030	not	not	R	bn:00116360r
d002.s010.t031	necessary	necessary	J	bn:00107182a
d002.s010.t032	to		X	n/a
d002.s010.t033	know	know	V	bn:00085261v
d002.s010.t034	MathML	mathml	N	bn:03313895n
d002.s010.t035	.		X	n/a
d002.s011.t001	I		X	n/a
d002.s011.t002	have	have	V	n/a
d002.s011.t003	based	base	V	bn:00083141v
d002.s011.t004	the		X	n/a
d002.s011.t005	syntax	syntax	N	bn:02561609n
d002.s011.t006	basically	basically	R	bn:00114508r
d002.s011.t007	on		X	n/a
d002.s011.t008	common	common	J	bn:00100090a
d002.s011.t009	sense	sense	N	bn:00021164n
d002.s011.t010	,		X	n/a
d002.s011.t011	it		X	n/a
d002.s011.t012	should		X	n/a
d002.s011.t013	not	not	R	bn:00116360r
d002.s011.t014	be	be	V	n/a
d002.s011.t015	hard	hard	J	bn:00101358a
d002.s011.t016	for		X	n/a
d002.s011.t017	anyone	anyone	N	bn:02268723n
d002.s011.t018	.		X	n/a
d002.s012.t001	I		X	n/a
d002.s012.t002	ve	have	V	n/a
d002.s012.t003	looked	look	V	bn:00090448v
d002.s012.t004	closely	closely	R	bn:00114748r
d002.s012.t005	to		X	n/a
d002.s012.t006	maxima	maxima	N	bn:03857246n
d002.s012.t007	and		X	n/a
d002.s012.t008	maple	maple	N	bn:03668936n
d002.s012.t009	s		X	n/a
d002.s012.t010	syntax	syntax	N	bn:02561609n
d002.s012.t011	so		X	n/a
d002.s012.t012	they		X	n/a
d002.s012.t013	look	look	V	bn:00090452v
d002.s012.t014	very	very	R	bn:00116789r
d002.s012.t015	similar	similar	J	bn:00096782a
d002.s012.t016	.		X	n/a
d002.s013.t001	+		X	n/a
d002.s013.t002	-		X	n/a
d002.s013.t003	*		X	n/a
d002.s013.t004	/		X	n/a
d002.s013.t005	:		X	n/a
d002.s013.t006	Addition	addition	N	bn:00001296n
d002.s013.t007	,		X	n/a
d002.s013.t008	subtraction	subtraction	N	bn:00055233n
d002.s013.t009	,		X	n/a
d002.s013.t010	multiplication	multiplication	N	bn:00056300n
d002.s013.t011	and		X	n/a
d002.s013.t012	division	division	N	bn:00027919n
d002.s013.t013	.		X	n/a
d002.s014.t001	^		X	n/a
d002.s014.t002	,		X	n/a
d002.s014.t003	**		X	n/a
d002.s014.t004	:		X	n/a
d002.s014.t005	Power	power	N	bn:00032355n
d002.s014.t006	,		X	n/a
d002.s014.t007	you		X	n/a
d002.s014.t008	can		X	n/a
d002.s014.t009	use	use	V	bn:00082705v
d002.s014.t010	them		X	n/a
d002.s014.t011	both		X	n/a
d002.s014.t012	.		X	n/a
d002.s015.t001	Also	also	R	bn:00114246r
d002.s015.t002	it		X	n/a
d002.s015.t003	is	be	V	n/a
d002.s015.t004	possible	possible	J	bn:00108829a
d002.s015.t005	to		X	n/a
d002.s015.t006	use	use	V	bn:00082705v
d002.s015.t007	the		X	n/a
d002.s015.t008	unicode	unicode	N	bn:02529895n
d002.s015.t009	²		X	n/a
d002.s015.t010	characters	character	N	bn:09438926n
d002.s015.t011	.		X	n/a
d002.s016.t001	Powers	power	N	bn:00032355n
d002.s016.t002	are	be	V	n/a
d002.s016.t003	one		X	n/a
d002.s016.t004	way	way	N	bn:00001965n
d002.s016.t005	to		X	n/a
d002.s016.t006	make	make	V	bn:00090557v
d002.s016.t007	roots	root	N	bn:00068247n
d002.s016.t008	too	too	R	bn:00114246r
d002.s016.t009	.		X	n/a
d002.s017.t001	-gt	-gt	N	n/a
d002.s017.t002	:		X	n/a
d002.s017.t003	It		X	n/a
d002.s017.t004	s	be	V	n/a
d002.s017.t005	the		X	n/a
d002.s017.t006	way	way	N	bn:00001965n
d002.s017.t007	to		X	n/a
d002.s017.t008	specify	specify	V	bn:00086468v
d002.s017.t009	the		X	n/a
d002.s017.t010	bounded	bound	V	n/a
d002.s017.t011	variable	variable	N	bn:00079583n
d002.s017.t012	in		X	n/a
d002.s017.t013	a		X	n/a
d002.s017.t014	function	function	N	bn:00036821n
d002.s017.t015	.		X	n/a
d002.s018.t001	(		X	n/a
d002.s018.t002	)		X	n/a
d002.s018.t003	:		X	n/a
d002.s018.t004	It		X	n/a
d002.s018.t005	is	be	V	n/a
d002.s018.t006	used	use	V	bn:00082705v
d002.s018.t007	to		X	n/a
d002.s018.t008	specify	specify	V	bn:00086468v
d002.s018.t009	a		X	n/a
d002.s018.t010	higher	high	J	bn:00104162a
d002.s018.t011	priority	priority	N	bn:00004489n
d002.s018.t012	.		X	n/a
d002.s019.t001	abc(params)		X	n/a
d002.s019.t002	:		X	n/a
d002.s019.t003	When		X	n/a
d002.s019.t004	the		X	n/a
d002.s019.t005	parser	parser	N	bn:00060753n
d002.s019.t006	finds	find	V	bn:00082811v
d002.s019.t007	a		X	n/a
d002.s019.t008	function	function	N	bn:00036821n
d002.s019.t009	,		X	n/a
d002.s019.t010	it		X	n/a
d002.s019.t011	checks	check	V	bn:00082813v
d002.s019.t012	if		X	n/a
d002.s019.t013	abc	abc	N	n/a
d002.s019.t014	is	be	V	n/a
d002.s019.t015	an		X	n/a
d002.s019.t016	operator	operator	N	bn:00059141n
d002.s019.t017	.		X	n/a
d002.s020.t001	If		X	n/a
d002.s020.t002	it		X	n/a
d002.s020.t003	is	be	V	n/a
d002.s020.t004	,		X	n/a
d002.s020.t005	it		X	n/a
d002.s020.t006	will		X	n/a
d002.s020.t007	be	be	V	n/a
d002.s020.t008	treated	treat	V	bn:00095141v
d002.s020.t009	as		X	n/a
d002.s020.t010	an		X	n/a
d002.s020.t011	operator	operator	N	bn:00059141n
d002.s020.t012	,		X	n/a
d002.s020.t013	if		X	n/a
d002.s020.t014	it		X	n/a
d002.s020.t015	is	be	V	n/a
d002.s020.t016	not	not	R	bn:00116360r
d002.s020.t017	,		X	n/a
d002.s020.t018	it		X	n/a
d002.s020.t019	will		X	n/a
d002.s020.t020	be	be	V	n/a
d002.s020.t021	treated	treat	V	bn:00095141v
d002.s020.t022	as		X	n/a
d002.s020.t023	a		X	n/a
d002.s020.t024	user	user	N	bn:00079373n
d002.s020.t025	function	function	N	bn:00036821n
d002.s020.t026	.		X	n/a
d002.s021.t001	:		X	n/a
d002.s021.t002	#ERROR!		X	n/a
d002.s021.t003	:		X	n/a
d002.s021.t004	It		X	n/a
d002.s021.t005	is	be	V	n/a
d002.s021.t006	used	use	V	bn:00082705v
d002.s021.t007	to		X	n/a
d002.s021.t008	define	define	V	bn:00086468v
d002.s021.t009	a		X	n/a
d002.s021.t010	variable	variable	J	n/a
d002.s021.t011	value	value	N	bn:00079508n
d002.s021.t012	.		X	n/a
d002.s022.t001	?		X	n/a
d002.s022.t002	:		X	n/a
d002.s022.t003	Piecewise	piecewise	N	bn:03132721n
d002.s022.t004	condition	condition	N	bn:00021645n
d002.s022.t005	definition	definition	N	bn:00025928n
d002.s022.t006	.		X	n/a
d002.s023.t001	Piecewise	piecewise	N	bn:03132721n
d002.s023.t002	is	be	V	n/a
d002.s023.t003	the		X	n/a
d002.s023.t004	way	way	N	bn:00001965n
d002.s023.t005	we		X	n/a
d002.s023.t006	can		X	n/a
d002.s023.t007	define	define	V	bn:00086468v
d002.s023.t008	conditional	conditional	J	bn:00100214a
d002.s023.t009	operations	operation	N	bn:00053826n
d002.s023.t010	in		X	n/a
d002.s023.t011	kalgebra	kalgebra	N	bn:08534138n
d002.s023.t012	.		X	n/a
d002.s024.t001	If		X	n/a
d002.s024.t002	we		X	n/a
d002.s024.t003	introduce	introduce	V	bn:00087681v
d002.s024.t004	the		X	n/a
d002.s024.t005	condition	condition	N	bn:00021645n
d002.s024.t006	before		X	n/a
d002.s024.t007	the		X	n/a
d002.s024.t008	?	?	N	bn:00047210n
d002.s024.t009	it		X	n/a
d002.s024.t010	will		X	n/a
d002.s024.t011	use	use	V	bn:00082705v
d002.s024.t012	this		X	n/a
d002.s024.t013	condition	condition	N	bn:00021645n
d002.s024.t014	only	only	R	bn:00114626r
d002.s024.t015	if		X	n/a
d002.s024.t016	it		X	n/a
d002.s024.t017	is	be	V	n/a
d002.s024.t018	TRUE	TRUE	J	bn:00112146a
d002.s024.t019	,		X	n/a
d002.s024.t020	if		X	n/a
d002.s024.t021	it		X	n/a
d002.s024.t022	finds	find	V	bn:00086708v
d002.s024.t023	a		X	n/a
d002.s024.t024	?	?	N	bn:00047210n
d002.s024.t025	without		X	n/a
d002.s024.t026	any		X	n/a
d002.s024.t027	condition	condition	N	bn:00021645n
d002.s024.t028	,		X	n/a
d002.s024.t029	it		X	n/a
d002.s024.t030	will		X	n/a
d002.s024.t031	enter	enter	V	bn:00085363v
d002.s024.t032	in		X	n/a
d002.s024.t033	the		X	n/a
d002.s024.t034	last	last	J	bn:00102969a
d002.s024.t035	instance	instance	N	bn:00016401n
d002.s024.t036	.		X	n/a
d002.s025.t001	{		X	n/a
d002.s025.t002	}		X	n/a
d002.s025.t003	:		X	n/a
d002.s025.t004	MathML	mathml	N	bn:03313895n
d002.s025.t005	container	container	N	bn:03305154n
d002.s025.t006	.		X	n/a
d002.s026.t001	It		X	n/a
d002.s026.t002	can		X	n/a
d002.s026.t003	be	be	V	n/a
d002.s026.t004	used	use	V	bn:00082705v
d002.s026.t005	to		X	n/a
d002.s026.t006	define	define	V	bn:00086466v
d002.s026.t007	a		X	n/a
d002.s026.t008	container	container	N	bn:03305154n
d002.s026.t009	.		X	n/a
d002.s027.t001	Mainly	mainly	R	bn:00114714r
d002.s027.t002	useful	useful	J	bn:00113455a
d002.s027.t003	for		X	n/a
d002.s027.t004	working	work	V	bn:00095812v
d002.s027.t005	with		X	n/a
d002.s027.t006	piecewise	piecewise	N	bn:03132721n
d002.s027.t007	.		X	n/a
d002.s028.t001	Now	now	R	bn:00114424r
d002.s028.t002	you		X	n/a
d002.s028.t003	could		X	n/a
d002.s028.t004	ask	ask	V	bn:00082821v
d002.s028.t005	me	me	N	n/a
d002.s028.t006	,		X	n/a
d002.s028.t007	why		X	n/a
d002.s028.t008	should		X	n/a
d002.s028.t009	the		X	n/a
d002.s028.t010	user	user	N	bn:00079373n
d002.s028.t011	mind	mind	N	n/a
d002.s028.t012	about		X	n/a
d002.s028.t013	MathML	mathml	N	bn:03313895n
d002.s028.t014	?		X	n/a
d002.s029.t001	That		X	n/a
d002.s029.t002	s	be	V	n/a
d002.s029.t003	easy	easy	J	bn:00101973a
d002.s029.t004	.		X	n/a
d002.s029.t005	With		X	n/a
d002.s029.t006	this		X	n/a
d002.s029.t007	,		X	n/a
d002.s029.t008	we		X	n/a
d002.s029.t009	can		X	n/a
d002.s029.t010	operate	operate	V	bn:00085744v
d002.s029.t011	with		X	n/a
d002.s029.t012	functions	function	N	bn:00036821n
d002.s029.t013	like		X	n/a
d002.s029.t014	cos()	cos	N	bn:00022956n
d002.s029.t015	,		X	n/a
d002.s029.t016	sin()	sin	N	bn:00071709n
d002.s029.t017	,		X	n/a
d002.s029.t018	any		X	n/a
d002.s029.t019	other	other	J	bn:00108011a
d002.s029.t020	trigonometric	trigonometric	J	bn:00112111a
d002.s029.t021	functions	function	N	bn:00036821n
d002.s029.t022	,		X	n/a
d002.s029.t023	sum()	sum	N	bn:00001296n
d002.s029.t024	or		X	n/a
d002.s029.t025	product()	product	N	bn:00053827n
d002.s029.t026	.		X	n/a
d002.s030.t001	It		X	n/a
d002.s030.t002	does	do	V	n/a
d002.s030.t003	not	not	R	bn:00116360r
d002.s030.t004	matter	matter	V	bn:00085860v
d002.s030.t005	what		X	n/a
d002.s030.t006	kind	kind	N	bn:00035907n
d002.s030.t007	it		X	n/a
d002.s030.t008	is	be	V	n/a
d002.s030.t009	.		X	n/a
d002.s031.t001	We		X	n/a
d002.s031.t002	can		X	n/a
d002.s031.t003	use	use	V	bn:00082705v
d002.s031.t004	plus()	plus	N	bn:00001296n
d002.s031.t005	,		X	n/a
d002.s031.t006	times()	times	N	bn:00056300n
d002.s031.t007	and		X	n/a
d002.s031.t008	everything	everything	N	n/a
d002.s031.t009	which		X	n/a
d002.s031.t010	has	have	V	bn:00088078v
d002.s031.t011	its		X	n/a
d002.s031.t012	operator	operator	N	bn:00059141n
d002.s031.t013	.		X	n/a
d002.s032.t001	kalgebra	kalgebra	N	bn:08534138n
d002.s032.t002	s	be	V	n/a
d002.s032.t003	console	console	V	n/a
d002.s032.t004	is	be	V	n/a
d002.s032.t005	useful	useful	J	bn:00113455a
d002.s032.t006	as		X	n/a
d002.s032.t007	a		X	n/a
d002.s032.t008	calculator	calculator	N	bn:00946167n
d002.s032.t009	.		X	n/a
d002.s033.t001	There	there	R	bn:00114427r
d002.s033.t002	you		X	n/a
d002.s033.t003	have	have	V	bn:00088078v
d002.s033.t004	a		X	n/a
d002.s033.t005	list	list	N	bn:00051508n
d002.s033.t006	of		X	n/a
d002.s033.t007	the		X	n/a
d002.s033.t008	declared	declare	V	n/a
d002.s033.t009	variables	variable	N	bn:00079583n
d002.s033.t010	.		X	n/a
d002.s034.t001	By		X	n/a
d002.s034.t002	double	double	R	n/a
d002.s034.t003	clicking	click	V	n/a
d002.s034.t004	on		X	n/a
d002.s034.t005	them		X	n/a
d002.s034.t006	you		X	n/a
d002.s034.t007	will		X	n/a
d002.s034.t008	see	see	V	bn:00084662v
d002.s034.t009	a		X	n/a
d002.s034.t010	dialog	dialog	N	n/a
d002.s034.t011	that		X	n/a
d002.s034.t012	lets	let	V	bn:00082536v
d002.s034.t013	you		X	n/a
d002.s034.t014	change	change	V	bn:00082553v
