Token ID	Token	Lemma	POS	Gold Senses	Silver Senses	Filtered Senses	Gold Gloss	Silver Gloss	Filtered Sense
d001.s018.t005	suspender	suspender	V	bn:00083908v	bn:00083908v	bn:00083908v			bn:00083908v
d001.s018.t006	el		X						
d001.s018.t007	tratamiento	tratamiento	N	bn:00047235n	bn:00047235n	bn:00047235n			bn:00047235n
d001.s018.t008	,		X						
d001.s018.t009	o		X						
d001.s018.t010	reducir	reducir	V	bn:00084079v	bn:00084079v	bn:00084079v			bn:00084079v
d001.s018.t011	la		X						
d001.s018.t012	dosis	dosis	N	bn:00028320n	bn:00028320n	bn:00028320n			bn:00028320n
d001.s018.t013	,		X						
d001.s018.t014	en		X						
d001.s018.t015	pacientes	paciente	N	bn:00061017n	bn:00061017n	bn:00061017n			bn:00061017n
d001.s018.t016	que		X						
d001.s018.t017	presenten	presentar	V	bn:00087013v	bn:00088745v	bn:00088745v	To show, make visible or apparent	Undergo (as of injuries and illnesses)	bn:00088745v
d001.s018.t018	alteraciones	alteración	N	bn:00003125n	bn:00096158a				
d001.s018.t019	en		X						
d001.s018.t020	los		X						
d001.s018.t021	recuentos	recuento	N						
d001.s018.t022	sanguíneos	sanguíneo	J		bn:00023139n				
d001.s018.t023	o		X						
d001.s018.t024	determinados	determinado	J	bn:00103595a	bn:00099474a	bn:00099474a	Acknowledged as a supposition	Definite but not specified or identified	bn:00099474a
d001.s018.t025	efectos	efecto	N	bn:00071445n	bn:00029874n	bn:00029874n	A secondary and usually adverse effect of a drug or therapy	A symptom caused by an illness or a drug	bn:00029874n
d001.s018.t026	secundarios	secundario	J	bn:00110247a	bn:00071445n	bn:00071445n	Being of second rank or importance or value; not direct or immediate	A secondary and usually adverse effect of a drug or therapy	bn:00071445n
d001.s018.t027	.		X						
d001.s019.t001	No	no	R	bn:00116360r	bn:00116360r	bn:00116360r			bn:00116360r
d001.s019.t002	se		X						
d001.s019.t003	recomienda	recomendar	V	bn:00082418v	bn:00082418v	bn:00082418v			bn:00082418v
d001.s019.t004	administrar	administrar	V	bn:00082365v	bn:00030627n				
d001.s019.t005	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s019.t006	a		X						
d001.s019.t007	pacientes	paciente	N	bn:00061017n	bn:00061017n	bn:00061017n			bn:00061017n
d001.s019.t008	con		X						
d001.s019.t009	problemas	problema	N	bn:00002171n	bn:00048242n	bn:00048242n	An often persistent bodily disorder or disease; a cause for complaining	A state of difficulty that needs to be resolved	bn:00048242n
d001.s019.t010	renales	renal	J	bn:00107226a					
d001.s019.t011	moderados	moderado	J	bn:00106826a					
d001.s019.t012	o		X						
d001.s019.t013	graves	grave	J	bn:00100896a	bn:00110473a	bn:00110473a	Causing fear or anxiety by threatening great harm	Very bad in degree or extent	bn:00110473a
d001.s019.t014	.		X						
d001.s020.t001	Si		X						
d001.s020.t002	desea	desear	V	bn:00086682v					
d001.s020.t003	más	más	R	bn:00116285r	bn:00106935a	bn:00106935a	Comparative of much; to a greater degree or extent	(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree	bn:00106935a
d001.s020.t004	información	información	N	bn:00046705n	bn:00025314n	bn:00025314n	Knowledge acquired through study or experience or instruction	A collection of facts from which conclusions may be drawn	bn:00025314n
d001.s020.t005	,		X						
d001.s020.t006	consulte	consultar	V	bn:00085686v	bn:00087787v				
d001.s020.t007	el		X						
d001.s020.t008	Resumen	resumen	N	bn:00031259n	bn:02075673n	bn:02075673n	A brief abstract (as of an article or book)	the defining information document for medicinal products used in the European Union	bn:02075673n
d001.s020.t009	de		X						
d001.s020.t010	las		X						
d001.s020.t011	Características	característica	N	bn:00017747n					
d001.s020.t012	del		X						
d001.s020.t013	Producto	producto	N	bn:00064584n	bn:00064584n	bn:00064584n			bn:00064584n
d001.s020.t014	,		X						
d001.s020.t015	que		X						
d001.s020.t016	también	también	R	bn:00114246r	bn:00114246r	bn:00114246r			bn:00114246r
d001.s020.t017	forma	formar	V	bn:00085670v					
d001.s020.t018	parte	parte	N	bn:00027912n	bn:00021395n	bn:00021395n	One of the portions into which something is regarded as divided and which together constitute a whole	Something determined in relation to something that includes it	bn:00021395n
d001.s020.t019	del		X						
d001.s020.t020	EPAR	epar	N						
d001.s020.t021	.		X						
d001.s021.t001	¿Cómo	cómo	R						
d001.s021.t002	actúa	actuar	V	bn:00082286v					
d001.s021.t003	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s021.t004	?		X						
d001.s022.t001	El		X						
d001.s022.t002	principio	principio	N	bn:00377649n	bn:00074986n				
d001.s022.t003	activo	activo	J	bn:00096382a	bn:00377649n	bn:00377649n	Tending to become more severe or wider in scope	An active ingredient is the ingredient in a pharmaceutical drug or pesticide that is biologically active.	bn:00377649n
d001.s022.t004	de		X						
d001.s022.t005	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s022.t006	,		X						
d001.s022.t007	el		X						
d001.s022.t008	pemetrexed	pemetrexed	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s022.t009	,		X						
d001.s022.t010	es	ser	V						
d001.s022.t011	un		X						
d001.s022.t012	medicamento	medicamento	N	bn:00031708n	bn:00054128n	bn:00054128n	A drug that is available only with written instructions from a doctor or dentist to a pharmacist	(medicine) something that treats or prevents or alleviates the symptoms of disease	bn:00054128n
d001.s022.t013	citotóxico	citotóxico	N	bn:00024920n	bn:00100866a	bn:00100866a	The degree to which something is toxic to living cells	Of or relating to substances that are toxic to cells	bn:00100866a
d001.s022.t014	(		X						
d001.s022.t015	un		X						
d001.s022.t016	medicamento	medicamento	N	bn:00031708n	bn:00017027n				
d001.s022.t017	que		X						
d001.s022.t018	destruye	destruir	V	bn:00086698v	bn:00090098v	bn:00090098v	Do away with, cause the destruction or undoing of	Cause to die; put to death, usually intentionally or knowingly	bn:00090098v
d001.s022.t019	las		X						
d001.s022.t020	células	célula	N	bn:00017027n					
d001.s022.t021	que		X						
d001.s022.t022	están	estar	V						
d001.s022.t023	en		X						
d001.s022.t024	fase	fase	N	bn:00025966n					
d001.s022.t025	de		X						
d001.s022.t026	división	división	N	bn:00027913n	bn:00087100v				
d001.s022.t027	,		X						
d001.s022.t028	como		X						
d001.s022.t029	las		X						
d001.s022.t030	cancerosas	canceroso	J	bn:00099180a	bn:00015187n				
d001.s022.t031	)		X						
d001.s022.t032	que		X						
d001.s022.t033	pertenece	pertenecer	V	bn:00083389v	bn:00083389v	bn:00083389v			bn:00083389v
d001.s022.t034	al		X						
d001.s022.t035	grupo	grupo	N	bn:00041942n	bn:00018111n	bn:00018111n	Any number of entities (members) considered as a unit	(chemistry) two or more atoms bound together as a single unit and forming part of a molecule	bn:00018111n
d001.s022.t036	de		X						
d001.s022.t037	los		X						
d001.s022.t038	«		X						
d001.s022.t039	antimetabolitos	antimetabolitos	N	bn:00004691n	bn:00004691n	bn:00004691n			bn:00004691n
d001.s022.t040	»		X						
d001.s022.t041	.		X						
d001.s023.t001	En		X						
d001.s023.t002	el		X						
d001.s023.t003	organismo	organismo	N	bn:00004257n	bn:00011744n	bn:00011744n	A living (or once living) entity	The entire structure of an organism (an animal, plant, or human being)	bn:00011744n
d001.s023.t004	,		X						
d001.s023.t005	el		X						
d001.s023.t006	pemetrexed	pemetrexed	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s023.t007	se		X						
d001.s023.t008	convierte	convertir	V	bn:00085761v					
d001.s023.t009	en		X						
d001.s023.t010	una		X						
d001.s023.t011	forma	forma	N	bn:00035908n	bn:00035913n	bn:00035913n	A perceptual structure	A particular mode in which something is manifested	bn:00035913n
d001.s023.t012	activa	activo	J	bn:00096382a	bn:00096382a	bn:00096382a			bn:00096382a
d001.s023.t013	que		X						
d001.s023.t014	bloquea	bloquear	V	bn:00083629v	bn:00083623v	bn:00083623v	Obstruct	Stop from happening or developing	bn:00083623v
d001.s023.t015	la		X						
d001.s023.t016	actividad	actividad	N	bn:00001173n	bn:00001130n	bn:00001130n	An organic process that takes place in the body	A process existing in or produced by nature (rather than by the intent of human beings)	bn:00001130n
d001.s023.t017	de		X						
d001.s023.t018	las		X						
d001.s023.t019	enzimas	enzima	N	bn:00031085n	bn:00031085n	bn:00031085n			bn:00031085n
d001.s023.t020	que		X						
d001.s023.t021	participan	participar	V	bn:00087628v	bn:00089893v				
d001.s023.t022	en		X						
d001.s023.t023	la		X						
d001.s023.t024	producción	producción	N	bn:00064590n					
d001.s023.t025	de		X						
d001.s023.t026	«		X						
d001.s023.t027	nucleótidos	nucleótido	N	bn:00008788n	bn:00008788n	bn:00008788n			bn:00008788n
d001.s023.t028	»		X						
d001.s023.t029	(		X						
d001.s023.t030	elementos	elemento	N	bn:00021396n					
d001.s023.t031	esenciales	esencial	J	bn:00099258a					
d001.s023.t032	del		X						
d001.s023.t033	ADN	adn	N	bn:00026301n	bn:01432393n				
d001.s023.t034	y		X						
d001.s023.t035	el		X						
d001.s023.t036	ARN	arn	N	bn:00067714n	bn:00067714n				
d001.s023.t037	,		X						
d001.s023.t038	el		X						
d001.s023.t039	material	material	N	bn:00037738n	bn:00053801n	bn:00053801n	The ordering of genes in a haploid set of chromosomes of a particular organism; the full DNA sequence of an organism	The tangible substance that goes into the makeup of a physical object	bn:00053801n
d001.s023.t040	genético	genético	J	bn:00103522a	bn:00037738n	bn:00037738n	Of or relating to or produced by or being a gene	The ordering of genes in a haploid set of chromosomes of a particular organism; the full DNA sequence of an organism	bn:00037738n
d001.s023.t041	de		X						
d001.s023.t042	las		X						
d001.s023.t043	células	célula	N	bn:00017027n					
d001.s023.t044	)		X						
d001.s023.t045	.		X						
d001.s024.t001	¿Qué	qué	J						
d001.s024.t002	tipo	tipo	N	bn:00035907n					
d001.s024.t003	de		X						
d001.s024.t004	estudios	estudio	N	bn:00030952n					
d001.s024.t005	se		X						
d001.s024.t006	han	haber	V						
d001.s024.t007	realizado	realizar	V	bn:00082225v					
d001.s024.t008	con		X						
d001.s024.t009	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s024.t010	?		X						
d001.s025.t001	Por		X						
d001.s025.t002	lo		X						
d001.s025.t003	que		X						
d001.s025.t004	se		X						
d001.s025.t005	refiere	referir	V	bn:00083240v					
d001.s025.t006	al		X						
d001.s025.t007	tratamiento	tratamiento	N	bn:00047235n	bn:00047235n	bn:00047235n			bn:00047235n
d001.s025.t008	del		X						
d001.s025.t009	mesotelioma	mesotelioma	N	bn:00054512n	bn:00054512n	bn:00054512n			bn:00054512n
d001.s025.t010	pleural	pleural	J	bn:00108692a	bn:00108692a	bn:00108692a			bn:00108692a
d001.s025.t011	maligno	maligno	J	bn:00106363a	bn:00054512n	bn:00054512n	Dangerous to health; characterized by progressive and uncontrolled growth (especially of a tumor)	A form of carcinoma of the mesothelium lining lungs or abdomen or heart; usually associated with exposure to asbestos dust	bn:00054512n
d001.s025.t012	,		X						
d001.s025.t013	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s025.t014	ha	haber	V						
d001.s025.t015	sido	ser	V						
d001.s025.t016	evaluado	evaluar	V	bn:00082720v	bn:00082596v				
d001.s025.t017	en		X						
d001.s025.t018	un		X						
d001.s025.t019	estudio	estudio	N	bn:00030952n	bn:00074790n	bn:00074790n	A search for knowledge	A detailed critical inspection	bn:00074790n
d001.s025.t020	principal	principal	J	bn:00098086a	bn:00099598a	bn:00099598a	Of primary importance	Most important element	bn:00099598a
d001.s025.t021	realizado	realizar	V	bn:00082225v					
d001.s025.t022	en		X						
d001.s025.t023	456		X						
d001.s025.t024	pacientes	paciente	N	bn:00061017n	bn:00061017n	bn:00061017n			bn:00061017n
d001.s025.t025	que		X						
d001.s025.t026	no	no	R	bn:00116360r	bn:00116360r	bn:00116360r			bn:00116360r
d001.s025.t027	habían	haber	V						
d001.s025.t028	recibido	recibir	V	bn:00089246v	bn:00087863v	bn:00087863v	Get something; come into possession of	Go through (mental or physical states or experiences)	bn:00087863v
d001.s025.t029	quimioterapia	quimioterapia	N	bn:00018141n	bn:00018141n	bn:00018141n			bn:00018141n
d001.s025.t030	anteriormente	anteriormente	R	bn:00114297r	bn:00114512r	bn:00114512r	At an earlier time or formerly	Earlier in time; previously	bn:00114512r
d001.s025.t031	.		X						
d001.s026.t001	Se		X						
d001.s026.t002	compararon	comparar	V	bn:00085450v	bn:00085450v	bn:00085450v			bn:00085450v
d001.s026.t003	los		X						
d001.s026.t004	efectos	efecto	N	bn:00021961n	bn:00029874n	bn:00029874n	A phenomenon that follows and is caused by some previous phenomenon	A symptom caused by an illness or a drug	bn:00029874n
d001.s026.t005	de		X						
d001.s026.t006	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s026.t007	en		X						
d001.s026.t008	combinación	combinación	N	bn:00020872n	bn:00020872n	bn:00020872n			bn:00020872n
d001.s026.t009	con		X						
d001.s026.t010	cisplatino	cisplatino	N	bn:00577781n	bn:00577781n	bn:00577781n			bn:00577781n
d001.s026.t011	con		X						
d001.s026.t012	los		X						
d001.s026.t013	efectos	efecto	N	bn:00021961n					
d001.s026.t014	del		X						
d001.s026.t015	cisplatino	cisplatino	N	bn:00577781n	bn:00577781n	bn:00577781n			bn:00577781n
d001.s026.t016	administrado	administrar	V	bn:00082365v					
d001.s026.t017	en		X						
d001.s026.t018	solitario	solitario	J	bn:00106121a	bn:00114234r	bn:00114234r	Being the only one; single and isolated from others	Without any others being included or involved	bn:00114234r
d001.s026.t019	.		X						
d001.s027.t001	En		X						
d001.s027.t002	cuanto		X						
d001.s027.t003	al		X						
d001.s027.t004	tratamiento	tratamiento	N	bn:08342574n	bn:00047235n	bn:00047235n			bn:00047235n
d001.s027.t005	del		X						
d001.s027.t006	cáncer	cáncer	N	bn:00052343n	bn:00015180n	bn:00015180n	Carcinoma of the lungs; one of the commonest forms of cancer	Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream	bn:00015180n
d001.s027.t007	de		X						
d001.s027.t008	pulmón	pulmón	N	bn:00052341n	bn:00052343n	bn:00052343n	Either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood	Carcinoma of the lungs; one of the commonest forms of cancer	bn:00052343n
d001.s027.t009	no	no	N						
d001.s027.t010	microcítico	microcito	N	bn:00054742n					
d001.s027.t011	,		X						
d001.s027.t012	se		X						
d001.s027.t013	compararon	comparar	V	bn:00085450v	bn:00085450v	bn:00085450v			bn:00085450v
d001.s027.t014	los		X						
d001.s027.t015	efectos	efecto	N	bn:00021961n	bn:00029874n	bn:00029874n	A phenomenon that follows and is caused by some previous phenomenon	A symptom caused by an illness or a drug	bn:00029874n
d001.s027.t016	de		X						
d001.s027.t017	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s027.t018	con		X						
d001.s027.t019	los		X						
d001.s027.t020	del		X						
d001.s027.t021	docetaxel	docetaxel	N	bn:01537207n	bn:01537207n	bn:01537207n			bn:01537207n
d001.s027.t022	(		X						
d001.s027.t023	otro		X						
d001.s027.t024	medicamento	medicamento	N	bn:00031708n	bn:00054128n	bn:00054128n	A drug that is available only with written instructions from a doctor or dentist to a pharmacist	(medicine) something that treats or prevents or alleviates the symptoms of disease	bn:00054128n
d001.s027.t025	contra		X						
d001.s027.t026	el		X						
d001.s027.t027	cáncer	cáncer	N	bn:00015180n					
d001.s027.t028	)		X						
d001.s027.t029	en		X						
d001.s027.t030	un		X						
d001.s027.t031	estudio	estudio	N	bn:00030952n	bn:00074790n	bn:00074790n	A search for knowledge	A detailed critical inspection	bn:00074790n
d001.s027.t032	realizado	realizar	V	bn:00082225v					
d001.s027.t033	en		X		bn:00089893v				
d001.s027.t034	571		X						
d001.s027.t035	pacientes	paciente	N	bn:00061017n	bn:00061017n	bn:00061017n			bn:00061017n
d001.s027.t036	con		X						
d001.s027.t037	enfermedad	enfermedad	N	bn:00002171n	bn:00027546n	bn:00027546n	An often persistent bodily disorder or disease; a cause for complaining	An impairment of health or a condition of abnormal functioning	bn:00027546n
d001.s027.t038	localmente	localmente	R		bn:00116147r	bn:00116147r			bn:00116147r
d001.s027.t039	avanzada	avanzar	V	bn:00088478v	bn:00096528a				
d001.s027.t040	o		X						
d001.s027.t041	metastásica	metastásico	N	bn:00054585n	bn:00054585n				
d001.s027.t042	que		X						
d001.s027.t043	habían	haber	V						
d001.s027.t044	recibido	recibir	V	bn:00089246v	bn:00087863v	bn:00087863v	Get something; come into possession of	Go through (mental or physical states or experiences)	bn:00087863v
d001.s027.t045	quimioterapia	quimioterapia	N	bn:00018141n	bn:00018141n	bn:00018141n			bn:00018141n
d001.s027.t046	previamente	previamente	R	bn:00114297r	bn:00060927n				
d001.s027.t047	.		X						
d001.s028.t001	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s028.t002	también	también	R	bn:00114246r	bn:00114246r	bn:00114246r			bn:00114246r
d001.s028.t003	se		X						
d001.s028.t004	comparó	comparar	V	bn:00085450v	bn:00085450v	bn:00085450v			bn:00085450v
d001.s028.t005	con		X						
d001.s028.t006	gemcitabina	gemcitabina	N	bn:00848690n	bn:00848690n				
d001.s028.t007	(		X						
d001.s028.t008	otro		X						
d001.s028.t009	medicamento	medicamento	N	bn:00031708n	bn:00054128n	bn:00054128n	A drug that is available only with written instructions from a doctor or dentist to a pharmacist	(medicine) something that treats or prevents or alleviates the symptoms of disease	bn:00054128n
d001.s028.t010	contra		X						
d001.s028.t011	el		X						
d001.s028.t012	cáncer	cáncer	N	bn:00015180n					
d001.s028.t013	)		X						
d001.s028.t014	,		X						
d001.s028.t015	ambos		X						
d001.s028.t016	en		X						
d001.s028.t017	combinación	combinación	N	bn:00020872n	bn:00020872n	bn:00020872n			bn:00020872n
d001.s028.t018	con		X						
d001.s028.t019	cisplatino	cisplatino	N	bn:00577781n	bn:00577781n	bn:00577781n			bn:00577781n
d001.s028.t020	,		X						
d001.s028.t021	en		X						
d001.s028.t022	un		X						
d001.s028.t023	estudio	estudio	N	bn:00030952n	bn:00074790n	bn:00074790n	A search for knowledge	A detailed critical inspection	bn:00074790n
d001.s028.t024	con		X						
d001.s028.t025	1.725		X						
d001.s028.t026	pacientes	paciente	N	bn:00061017n	bn:00061017n	bn:00061017n			bn:00061017n
d001.s028.t027	que		X						
d001.s028.t028	no	no	N		bn:00116360r	bn:00116360r			bn:00116360r
d001.s028.t029	habían	haber	V						
d001.s028.t030	recibido	recibir	V	bn:00089246v	bn:00087863v	bn:00087863v	Get something; come into possession of	Go through (mental or physical states or experiences)	bn:00087863v
d001.s028.t031	quimioterapia	quimioterapia	N	bn:00018141n	bn:00018141n	bn:00018141n			bn:00018141n
d001.s028.t032	contra		X						
d001.s028.t033	el		X						
d001.s028.t034	cáncer	cáncer	N	bn:00052343n	bn:00015180n	bn:00015180n	Carcinoma of the lungs; one of the commonest forms of cancer	Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream	bn:00015180n
d001.s028.t035	de		X						
d001.s028.t036	pulmón	pulmón	N	bn:00052341n	bn:00052343n	bn:00052343n	Either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood	Carcinoma of the lungs; one of the commonest forms of cancer	bn:00052343n
d001.s028.t037	previamente	previamente	R	bn:00114297r	bn:00060927n				
d001.s028.t038	.		X						
d001.s029.t001	En		X						
d001.s029.t002	los		X						
d001.s029.t003	tres		X						
d001.s029.t004	estudios	estudio	N	bn:00030952n	bn:00067181n	bn:00067181n	A search for knowledge	A written document describing the findings of some individual or group	bn:00067181n
d001.s029.t005	,		X						
d001.s029.t006	el		X						
d001.s029.t007	criterio	criterio	N	bn:00023853n	bn:00054019n	bn:00054019n	A basis for comparison; a reference point against which other things can be evaluated	The act or process of assigning numbers to phenomena according to a rule	bn:00054019n
d001.s029.t008	principal	principal	J	bn:00098086a	bn:00099598a	bn:00099598a	Of primary importance	Most important element	bn:00099598a
d001.s029.t009	de		X						
d001.s029.t010	valoración	valoración	N	bn:00005164n					
d001.s029.t011	de		X						
d001.s029.t012	la		X						
d001.s029.t013	eficacia	eficacia	N	bn:00029876n					
d001.s029.t014	fue	ser	V						
d001.s029.t015	el		X						
d001.s029.t016	tiempo	tiempo	N	bn:00077268n					
d001.s029.t017	de		X						
d001.s029.t018	supervivencia	supervivencia	N	bn:00030811n	bn:00085382v				
d001.s029.t019	de		X						
d001.s029.t020	los		X						
d001.s029.t021	pacientes	paciente	N	bn:00061017n	bn:00061017n	bn:00061017n			bn:00061017n
d001.s029.t022	.		X						
d001.s030.t001	¿Qué	¿qué	N						
d001.s030.t002	beneficio	beneficio	N	bn:00009905n	bn:00037022n	bn:00037022n	Something that aids or promotes well-being	The advantageous quality of being beneficial	bn:00037022n
d001.s030.t003	ha	haber	V						
d001.s030.t004	demostrado	demostrar	V	bn:00086567v	bn:00086567v	bn:00086567v			bn:00086567v
d001.s030.t005	tener	tener	V	bn:00089240v					
d001.s030.t006	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s030.t007	durante		X						
d001.s030.t008	los		X						
d001.s030.t009	estudios	estudio	N	bn:00030952n	bn:00074790n	bn:00074790n	A search for knowledge	A detailed critical inspection	bn:00074790n
d001.s030.t010	?		X						
d001.s031.t001	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s031.t002	prolongó	prolongar	V	bn:00087274v	bn:00089667v				
d001.s031.t003	el		X						
d001.s031.t004	tiempo	tiempo	N	bn:00077268n	bn:00077268n	bn:00077268n			bn:00077268n
d001.s031.t005	de		X						
d001.s031.t006	supervivencia	supervivencia	N	bn:00030811n	bn:00030811n	bn:00030811n			bn:00030811n
d001.s031.t007	de		X						
d001.s031.t008	los		X						
d001.s031.t009	pacientes	paciente	N	bn:00061017n	bn:00061017n	bn:00061017n			bn:00061017n
d001.s031.t010	con		X						
d001.s031.t011	mesotelioma	mesotelioma	N	bn:00054512n	bn:00054512n	bn:00054512n			bn:00054512n
d001.s031.t012	pleural	pleural	J	bn:00108692a	bn:00108692a	bn:00108692a			bn:00108692a
d001.s031.t013	maligno	maligno	J	bn:00106363a	bn:00054512n	bn:00054512n	Dangerous to health; characterized by progressive and uncontrolled growth (especially of a tumor)	A form of carcinoma of the mesothelium lining lungs or abdomen or heart; usually associated with exposure to asbestos dust	bn:00054512n
d001.s031.t014	.		X						
d001.s032.t001	Los		X						
d001.s032.t002	pacientes	paciente	N	bn:00061017n					
d001.s032.t003	que		X						
d001.s032.t004	recibieron	recibir	V	bn:00089246v	bn:00087863v	bn:00087863v	Get something; come into possession of	Go through (mental or physical states or experiences)	bn:00087863v
d001.s032.t005	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s032.t006	y		X						
d001.s032.t007	cisplatino	cisplatino	N	bn:00577781n	bn:00577781n	bn:00577781n			bn:00577781n
d001.s032.t008	sobrevivieron	sobrevivir	V	bn:00085382v	bn:00085382v	bn:00085382v			bn:00085382v
d001.s032.t009	una		X						
d001.s032.t010	media	media	N	bn:00005677n	bn:00054001n	bn:00054001n	The sum of the values of a random variable divided by the number of values	An average of n numbers computed by adding some function of the numbers and dividing by some function of n	bn:00054001n
d001.s032.t011	de		X						
d001.s032.t012	12,1		X						
d001.s032.t013	meses	mes	N	bn:00055794n	bn:00055794n	bn:00055794n			bn:00055794n
d001.s032.t014	,		X						
d001.s032.t015	mientras que		X		bn:00085450v				
d001.s032.t016	la		X						
d001.s032.t017	supervivencia	supervivencia	N	bn:00030811n					
d001.s032.t018	de		X						
d001.s032.t019	los		X						
d001.s032.t020	enfermos	enfermo	N	bn:00071414n					
d001.s032.t021	tratados	tratar	V	bn:00084532v					
d001.s032.t022	sólo	sólo	R	bn:00114234r	bn:00114235r	bn:00114235r	Without any others being included or involved	Without anybody else or anything else	bn:00114235r
d001.s032.t023	con		X						
d001.s032.t024	cisplatino	cisplatino	N	bn:00577781n	bn:00577781n	bn:00577781n			bn:00577781n
d001.s032.t025	fue	ser	V						
d001.s032.t026	de		X						
d001.s032.t027	9,3		X						
d001.s032.t028	meses	mes	N	bn:00055794n	bn:00055794n	bn:00055794n			bn:00055794n
d001.s032.t029	.		X						
d001.s033.t001	En		X						
d001.s033.t002	el		X						
d001.s033.t003	tratamiento	tratamiento	N	bn:00047235n	bn:00047235n	bn:00047235n			bn:00047235n
d001.s033.t004	de		X						
d001.s033.t005	pacientes	paciente	N	bn:00061017n	bn:00061017n	bn:00061017n			bn:00061017n
d001.s033.t006	con		X						
d001.s033.t007	cáncer	cáncer	N	bn:00052343n	bn:00015180n	bn:00015180n	Carcinoma of the lungs; one of the commonest forms of cancer	Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream	bn:00015180n
d001.s033.t008	de		X						
d001.s033.t009	pulmón	pulmón	N	bn:00052341n	bn:00052343n	bn:00052343n	Either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood	Carcinoma of the lungs; one of the commonest forms of cancer	bn:00052343n
d001.s033.t010	no	no	N						
d001.s033.t011	microcítico	microcito	N	bn:00054742n					
d001.s033.t012	,		X						
d001.s033.t013	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s033.t014	fue	ser	V						
d001.s033.t015	tan	tan	R	bn:00114354r	bn:00114354r	bn:00114354r			bn:00114354r
d001.s033.t016	efectivo	efectivo	J	bn:00102038a	bn:00102038a	bn:00102038a			bn:00102038a
d001.s033.t017	como		X		bn:00114354r				
d001.s033.t018	los		X						
d001.s033.t019	medicamentos	medicamento	N	bn:00031708n					
d001.s033.t020	de		X						
d001.s033.t021	comparación	comparación	N	bn:00021297n					
d001.s033.t022	.		X						
d001.s034.t001	En		X						
d001.s034.t002	los		X						
d001.s034.t003	pacientes	paciente	N	bn:00061017n	bn:00061017n	bn:00061017n			bn:00061017n
d001.s034.t004	que		X						
d001.s034.t005	habían	haber	V						
d001.s034.t006	recibido	recibir	V	bn:00089246v	bn:00087863v	bn:00087863v	Get something; come into possession of	Go through (mental or physical states or experiences)	bn:00087863v
d001.s034.t007	quimioterapia	quimioterapia	N	bn:00018141n	bn:00018141n	bn:00018141n			bn:00018141n
d001.s034.t008	previamente	previamente	R	bn:00114297r	bn:00060927n				
d001.s034.t009	,		X						
d001.s034.t010	el		X						
d001.s034.t011	tiempo	tiempo	N	bn:00077268n	bn:00077268n	bn:00077268n			bn:00077268n
d001.s034.t012	medio	medio	J	bn:00097854a	bn:00097854a	bn:00097854a			bn:00097854a
d001.s034.t013	de		X						
d001.s034.t014	supervivencia	supervivencia	N	bn:00030811n	bn:00030811n	bn:00030811n			bn:00030811n
d001.s034.t015	fue	ser	V						
d001.s034.t016	de		X						
d001.s034.t017	8,3		X						
d001.s034.t018	meses	mes	N	bn:00055794n	bn:00055794n	bn:00055794n			bn:00055794n
d001.s034.t019	con		X						
d001.s034.t020	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s034.t021	frente a		X		bn:00085450v				
d001.s034.t022	7,9		X						
d001.s034.t023	meses	mes	N	bn:00055794n	bn:00055794n	bn:00055794n			bn:00055794n
d001.s034.t024	con		X						
d001.s034.t025	docetaxel	docetaxel	N	bn:01537207n	bn:01537207n	bn:01537207n			bn:01537207n
d001.s034.t026	.		X						
d001.s035.t001	En		X						
