ID	Sentence	English-Spanish Alignment
d001.s105	Cerenia es un antiemético ( ataja los vómitos ) .	0-0 1-1 2-2 3-3 10-7 11-9
d001.s106	Se utiliza en perros para la prevención de los vómitos , por ejemplo los causados por la quimioterapia ( fármacos utilizados para el tratamiento del cáncer , algunos de los cuales producen vómitos ) .	2-1 3-2 4-3 5-4 6-6 7-9 9-11 11-13 12-14 13-16 14-17 15-18 16-19 17-20 18-21 19-22 20-7 21-24 22-25 23-26 24-27 25-29 26-30 29-30 30-31 31-32 32-33
d001.s107	Combinado con otras medidas complementarias , como otros tratamientos veterinarios o una dieta especial , Cerenia se utiliza también como tratamiento del vómito ( como inyección o como inyección seguida de comprimidos ) .	1-0 2-1 3-4 4-3 4-8 6-6 7-7 8-9 9-8 10-10 11-11 12-13 13-12 14-14 15-15 17-18 18-16 19-17 22-20 23-21 24-22 25-23 27-24 28-25 29-26 30-27 31-28 32-29 34-31 35-32 36-33
d001.s108	A estos efectos , Cerenia se puede administrar durante un período de hasta cinco días .	0-0 1-1 2-2 3-3 4-4 5-6 6-7 7-7 8-8 9-12 10-13 11-14
d001.s109	¿Cómo actúa Cerenia ?	0-0 1-1 2-2 3-1 4-3
d001.s110	Cerenia bloquea los receptores de neurocinina 1 ( NK1 ) en el sistema nervioso central .	0-0 1-1 3-5 4-6 5-7 6-8 7-9 8-3 12-10 13-11 14-14 16-12 17-15
d001.s111	¿Qué tipo de estudios se han realizado sobre Cerenia ?	0-0 1-5 2-8 4-3 5-9
d001.s112	Se han realizado una gran cantidad de estudios con Cerenia en perros de laboratorio y en perros pacientes de clínicas veterinarias de varios países europeos y de EE.UU.	0-3 1-4 2-5 3-6 4-7 5-8 6-9 7-1 8-2 11-10 12-13 13-11 15-15 17-17 19-19 19-20 20-19 21-21 22-22 23-24 24-23 25-25 28-27 29-27
d001.s113	¿Qué beneficios ha demostrado Cerenia durante dichos estudios ?	0-0 1-1 2-2 3-4 4-3 5-5 6-6 7-7 8-8
d001.s114	Los resultados de los estudios demostraron que Cerenia fue más eficaz que el placebo : se observaron menos vómitos en los perros que recibieron el medicamento que en los perros que recibieron placebo , bien como tratamiento , bien como prevención del vómito .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-17 16-18 18-16 19-19 20-21 21-22 22-23 23-24 24-25 25-26 26-27 27-29 28-30 29-31 31-32 32-33 33-34 36-36 40-40 41-41 42-42 43-43
d001.s115	El tratamiento de un perro con vómitos debe iniciarse en forma inyectable puesto que los animales con vómitos podrían no retener el comprimido ( podrían vomitar el comprimido intacto ) .	0-0 1-1 2-2 3-3 4-6 6-7 7-8 8-8 9-5 13-12 14-24 15-14 16-17 17-18 20-19 21-19 23-21 25-22 28-23 29-24 30-25 31-27 35-28 36-29
d001.s116	Para la continuación del tratamiento , el propietario puede administrar el medicamento al animal en forma de comprimidos .	0-0 1-2 2-4 3-5 4-6 5-13 6-7 7-8 8-9 9-10 10-11 11-12 14-18
d001.s117	El tratamiento del vómito debe realizarse siempre en asociación con otras medidas de apoyo u otros tratamientos veterinarios para combatir también la causa subyacente del vómito .	0-20 2-0 3-1 4-2 5-3 6-4 7-6 8-5 9-8 10-9 11-10 12-13 13-11 14-14 15-15 16-17 17-16 18-18 19-19 20-21 21-23 22-22 23-24 25-25 26-26
d001.s118	¿Cuáles son los efectos secundarios de Cerenia ?	0-0 1-1 2-2 3-3 5-5 6-6 7-7
d001.s119	En general , Cerenia fue bien tolerado cuando se administró diariamente a dosis de hasta 5 veces la dosis recomendada durante un período de tiempo prolongado ( hasta 3 veces la duración máxima recomendada del tratamiento ) .	0-2 1-3 2-0 3-4 4-5 5-6 6-8 7-9 8-10 9-11 11-13 12-14 13-15 14-16 15-18 16-17 17-19 18-20 19-24 20-21 21-22 22-23 23-25 24-26 26-27 27-28 28-29 29-32 30-31 31-30 32-33 33-34 34-35 35-36
d001.s120	¿Qué precauciones debe adoptar la persona que administre el medicamento o esté en contacto con el animal ?	0-0 3-1 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 18-17
d001.s121	Cerenia no presenta ningún riesgo especial para el ser humano .	0-0 2-1 3-2 4-7 5-5 6-4 7-6 8-9 9-10
