d000.s000.t000 bn:00108977a
d000.s082.t025 bn:00102001a
d000.s082.t026 bn:00110842a
d000.s083.t000 bn:00067181n
d000.s083.t001 bn:00107136a
d000.s083.t002 bn:00085499v
d000.s083.t003 bn:00034797n
d000.s083.t004 bn:00098274a
d000.s083.t005 bn:00092635v
d000.s083.t006 bn:00061054n
d000.s083.t007 bn:00063329n
d000.s083.t008 bn:00001549n
d000.s083.t009 bn:00030626n
d000.s083.t010 bn:00041853n
d000.s083.t011 bn:00026695n
d000.s083.t012 bn:00792637n
d000.s083.t013 bn:00109069a
d000.s083.t014 bn:00030618n
d000.s083.t015 bn:00062700n
d000.s083.t016 bn:00081570n
d000.s083.t017 bn:00014138n
d000.s083.t018 bn:00021248n
d000.s084.t000 bn:00084931v
d000.s084.t001 bn:00031009n
d000.s084.t002 bn:00011771n
d000.s084.t003 bn:00074900n
d000.s084.t004 bn:00030952n
d000.s084.t005 bn:02395950n
d000.s084.t006 bn:00016401n
d000.s085.t000 bn:00030952n
d000.s085.t001 bn:02395950n
d000.s085.t002 bn:00016401n
d000.s085.t003 bn:00082596v
d000.s085.t004 bn:00019219n
d000.s085.t005 bn:00031009n
d000.s085.t006 bn:00067162n
d000.s085.t007 bn:00022334n
d000.s085.t008 bn:00030626n
d000.s085.t009 bn:00001423n
d000.s085.t010 bn:00082720v
d000.s085.t011 bn:00001559n
d000.s085.t012 bn:00064527n
d000.s085.t013 bn:00086654v
d000.s085.t014 bn:00110075a
d000.s086.t000 bn:00082225v
d000.s086.t001 bn:00114134r
d000.s086.t002 bn:00080111n
d000.s086.t003 bn:00047238n
d000.s086.t004 bn:00054276n
d000.s086.t005 bn:00042833n
d000.s087.t000 bn:00030952n
d000.s087.t001 bn:00107136a
d000.s087.t002 bn:00083187v
d000.s087.t003 bn:00067181n
d000.s087.t004 bn:00102440a
d000.s087.t005 bn:00082392v
d000.s087.t006 bn:00108880a
d000.s088.t000 bn:00067181n
d000.s088.t001 bn:00067163n
d000.s088.t002 bn:00034797n
d000.s088.t003 bn:00084099v
d000.s088.t004 bn:00088630v
d000.s088.t005 bn:00007785n
d000.s088.t006 bn:00021721n
d000.s088.t007 bn:00084715v
d000.s088.t008 bn:00103172a
d000.s088.t009 bn:00007406n
d000.s089.t000 bn:00036064n
d000.s089.t001 bn:00082486v
d000.s089.t002 bn:00087137v
d000.s089.t003 bn:00017747n
d000.s089.t004 bn:00027042n
d000.s089.t005 bn:00082868v
d000.s089.t006 bn:00001936n
d000.s089.t007 bn:00043267n
d000.s089.t008 bn:00030626n
d000.s089.t009 bn:00041853n
d000.s089.t010 bn:00082596v
d000.s089.t011 bn:00016850n
d000.s090.t000 bn:00082596v
d000.s090.t001 bn:00114246r
d000.s090.t002 bn:00006383n
d000.s090.t003 bn:00063237n
d000.s090.t004 bn:00079985n
d000.s090.t005 bn:00047116n
d000.s090.t006 bn:01623772n
d000.s090.t007 bn:00110842a
d000.s090.t008 bn:00086761v
d000.s090.t009 bn:00102398a
d000.s090.t010 bn:00007021n
d000.s090.t011 bn:00064776n
d000.s090.t012 bn:00082148v
d000.s090.t013 bn:00027042n
d000.s091.t000 bn:00062709n
d000.s091.t001 bn:00062700n
d000.s091.t002 bn:00064665n
d000.s091.t003 bn:00087137v
d000.s091.t004 bn:00082720v
d000.s091.t005 bn:00034797n
d000.s091.t006 bn:02708132n
d000.s091.t007 bn:00109211a
d000.s091.t008 bn:00107509a
d000.s091.t009 bn:00083173v
d000.s091.t010 bn:00051252n
d000.s091.t011 bn:00115235r
d000.s091.t012 bn:00030618n
d000.s092.t000 bn:00049573n
d000.s092.t001 bn:00090460v
d000.s092.t002 bn:00003132n
d000.s092.t003 bn:00061406n
d000.s092.t004 bn:00027476n
d000.s092.t005 bn:00084317v
d000.s092.t006 bn:00109069a
d000.s092.t007 bn:00030618n
d000.s093.t000 bn:00082596v
d000.s093.t001 bn:00114246r
d000.s093.t002 bn:00006383n
d000.s093.t003 bn:00082304v
d000.s093.t004 bn:00037634n
d000.s093.t005 bn:00065800n
d000.s093.t006 bn:00030618n
d000.s093.t007 bn:00027538n
d000.s093.t008 bn:00016851n
d000.s093.t009 bn:00001936n
d000.s094.t000 bn:00064665n
d000.s094.t001 bn:00089240v
d000.s094.t002 bn:00083239v
d000.s094.t003 bn:00034797n
d000.s094.t004 bn:00086455v
d000.s094.t005 bn:00035907n
d000.s094.t006 bn:00027538n
d000.s094.t007 bn:00082075n
d000.s094.t008 bn:00023237n
d000.s094.t009 bn:00109997a
d000.s094.t010 bn:00106058a
d000.s094.t011 bn:03169699n
d000.s094.t012 bn:00097857a
d000.s094.t013 bn:00014136n
d000.s095.t000 bn:00011771n
d000.s095.t001 bn:00208447n
d000.s095.t002 bn:00054276n
d000.s095.t003 bn:00085499v
d000.s095.t004 bn:00049573n
d000.s096.t000 bn:00082392v
d000.s096.t001 bn:00007097n
d000.s096.t002 bn:00103507a
d000.s096.t003 bn:00108977a
d000.s096.t004 bn:00028015n
d000.s096.t005 bn:00082392v
d000.s096.t006 bn:00067181n
d000.s096.t007 bn:00109212a
d000.s096.t008 bn:00102440a
d000.s096.t009 bn:00005120n
d000.s096.t010 bn:00087869v
d000.s096.t011 bn:00005120n
d000.s096.t012 bn:00021015n
d000.s096.t013 bn:00031708n
d000.s096.t014 bn:00030627n
d000.s096.t015 bn:00079883n
d000.s096.t016 bn:00087492v
d000.s096.t017 bn:00067181n
d000.s096.t018 bn:00096400a
d000.s096.t019 bn:00090245v
d000.s096.t020 bn:00066562n
d000.s096.t021 bn:00019220n
d000.s096.t022 bn:00030627n
d000.s096.t023 bn:00031708n
d000.s097.t000 bn:00085499v
d000.s097.t001 bn:00377649n
d000.s097.t002 bn:00096387a
d000.s097.t003 bn:00923812n
d000.s097.t004 bn:00087013v
d000.s097.t005 bn:00016529n
d000.s097.t006 bn:00072760n
d000.s098.t000 bn:00020726n
d000.s098.t001 bn:00059250n
d000.s098.t002 bn:00059250n
d000.s098.t003 bn:00105938a
d000.s098.t004 bn:00088078v
d000.s098.t005 bn:00057631n
d000.s098.t006 bn:00032604n
d000.s098.t007 bn:00082536v
d000.s098.t008 bn:00084611v
d000.s098.t009 bn:00042601n
d000.s099.t000 bn:00052222n
d000.s099.t001 bn:00090660v
d000.s099.t002 bn:00051872n
d000.s099.t003 bn:03463336n
d000.s099.t004 bn:00032604n
d000.s099.t005 bn:00003057n
d000.s099.t006 bn:00003602n
d000.s099.t007 bn:00923812n
d000.s0100.t000 bn:00082705v
d000.s0101.t000 bn:00004656n
d000.s0101.t001 bn:00082954v
d000.s0101.t002 bn:00008567n
d000.s0102.t000 bn:00082705v
d000.s0102.t001 bn:00015267n
d000.s0102.t002 bn:00008467n
d000.s0102.t003 bn:00008567n
d000.s0102.t004 bn:00115147r
d000.s0102.t005 bn:00084069v
d000.s0102.t006 bn:00018141n
d000.s0102.t007 bn:00028872n
d000.s0102.t008 bn:00082705v
d000.s0102.t009 bn:00047235n
d000.s0102.t010 bn:01853831n
d000.s0102.t011 bn:00015180n
d000.s0102.t012 bn:00084069v
d000.s0102.t013 bn:00008567n
d000.s0103.t000 bn:00054018n
d000.s0103.t001 bn:00111488a
d000.s0103.t002 bn:00047235n
d000.s0103.t003 bn:00079883n
d000.s0103.t004 bn:00027011n
d000.s0103.t005 bn:00102398a
d000.s0103.t006 bn:00082705v
d000.s0103.t007 bn:00114246r
d000.s0103.t008 bn:00047235n
d000.s0103.t009 bn:00008567n
d000.s0103.t010 bn:00046787n
d000.s0103.t011 bn:00046787n
d000.s0103.t012 bn:00085342v
d000.s0104.t000 bn:00021961n
d000.s0104.t001 bn:00082365v
d000.s0104.t002 bn:00061605n
d000.s0104.t003 bn:00000086n
d000.s0105.t000 bn:00082286v
d000.s0106.t000 bn:00083629v
d000.s0106.t001 bn:00066514n
d000.s0106.t002 bn:00069580n
d000.s0106.t003 bn:00057341n
d000.s0106.t004 bn:00017184n
d000.s0106.t005 bn:00107232a
d000.s0106.t006 bn:00099258a
d000.s0107.t000 bn:00035907n
d000.s0107.t001 bn:00030952n
d000.s0107.t002 bn:00082225v
d000.s0108.t000 bn:00082225v
d000.s0108.t001 bn:00098342a
d000.s0108.t002 bn:00008985n
d000.s0108.t003 bn:00003602n
d000.s0108.t004 bn:00067181n
d000.s0108.t005 bn:00015267n
d000.s0108.t006 bn:00049551n
d000.s0108.t007 bn:00015267n
d000.s0108.t008 bn:00079883n
d000.s0108.t009 bn:00011771n
d000.s0108.t010 bn:00031903n
d000.s0108.t011 bn:00102440a
d000.s0109.t000 bn:00009905n
d000.s0109.t001 bn:00086567v
d000.s0109.t002 bn:00067181n
d000.s0110.t000 bn:00021961n
d000.s0110.t001 bn:00067181n
d000.s0110.t002 bn:00086567v
d000.s0110.t003 bn:00116284r
d000.s0110.t004 bn:00102038a
d000.s0110.t005 bn:00062717n
d000.s0110.t006 bn:00086708v
d000.s0110.t007 bn:00008567n
d000.s0110.t008 bn:00015267n
d000.s0110.t009 bn:00089246v
d000.s0110.t010 bn:00031708n
d000.s0110.t011 bn:00015267n
d000.s0110.t012 bn:00089246v
d000.s0110.t013 bn:00062717n
d000.s0110.t014 bn:00047235n
d000.s0110.t015 bn:00008467n
d000.s0110.t016 bn:00008567n
d000.s0111.t000 bn:00047235n
d000.s0111.t001 bn:00015267n
d000.s0111.t002 bn:00008567n
d000.s0111.t003 bn:00016529n
d000.s0111.t004 bn:00004222n
d000.s0111.t005 bn:00008567n
d000.s0111.t006 bn:00089399v
d000.s0111.t007 bn:00083115v
d000.s0111.t008 bn:00102278a
d000.s0112.t000 bn:00022190n
d000.s0112.t001 bn:00047235n
d000.s0112.t002 bn:00059954n
d000.s0112.t003 bn:00082365v
d000.s0112.t004 bn:00031708n
d000.s0112.t005 bn:00004222n
d000.s0112.t006 bn:00016529n
d000.s0113.t000 bn:00047235n
d000.s0113.t001 bn:00008567n
d000.s0113.t002 bn:00082225v
d000.s0113.t003 bn:00114250r
d000.s0113.t004 bn:00006544n
d000.s0113.t005 bn:00054018n
d000.s0113.t006 bn:00075330n
d000.s0113.t007 bn:00047235n
d000.s0113.t008 bn:00079883n
d000.s0113.t009 bn:00083173v
d000.s0113.t010 bn:00114246r
d000.s0113.t011 bn:00016850n
d000.s0113.t012 bn:00103424a
d000.s0113.t013 bn:00008567n
d000.s0114.t000 bn:00021961n
d000.s0114.t001 bn:00071445n
d000.s0114.t002 bn:00110247a
d000.s0115.t000 bn:00115495r
d000.s0115.t001 bn:00115530r
d000.s0115.t002 bn:00082138v
d000.s0115.t003 bn:00082365v
d000.s0115.t004 bn:00114917r
d000.s0115.t005 bn:00028320n
d000.s0115.t006 bn:00019848n
d000.s0115.t007 bn:00028320n
d000.s0115.t008 bn:00082418v
d000.s0115.t009 bn:00061605n
d000.s0115.t010 bn:00061605n
d000.s0115.t011 bn:00077267n
d000.s0115.t012 bn:00087274v
d000.s0115.t013 bn:00019848n
d000.s0115.t014 bn:00022191n
d000.s0115.t015 bn:00106517a
d000.s0115.t016 bn:00082418v
d000.s0115.t017 bn:00047235n
d000.s0116.t000 bn:00042049n
d000.s0116.t001 bn:00082379v
d000.s0116.t002 bn:00023661n
d000.s0116.t003 bn:00082365v
d000.s0116.t004 bn:00031708n
d000.s0116.t005 bn:00083183v
d000.s0116.t006 bn:00022113n
d000.s0116.t007 bn:00004222n
d000.s0117.t000 bn:00087013v
d000.s0117.t001 bn:00030747n
d000.s0117.t002 bn:00102398a
d000.s0117.t003 bn:00046516n
d000.s0117.t004 bn:00104385a
