ID,English,Farsi Translation,English-Farsi Alignment
d002.s048,"To add a new 2D graph on kalgebra, what you have to do is to go to the 2D Graph tab and click in the Add tab to add the new function.",برای افزودن یک نمودار ۲ بعدی جدید در کالجبرا ، کاری که باید انجام دهید این است که به برگه ۲ D Graph رفته و روی زبانه Add کلیک کنید تا تابع جدید اضافه شود .,0-0 1-1 2-2 3-6 4-4 4-5 5-1 5-3 6-7 7-8 8-9 9-10 10-14 11-12 12-11 13-13 14-15 15-17 16-23 17-18 18-19 19-20 19-21 20-22 21-19 22-24 23-28 24-25 25-26 26-27 28-30 29-33 30-34 31-32 32-31 33-35
d002.s049,Then your focus will go to an input text box where you can type your function.,سپس تمرکز شما به کادر متنی ورودی می‌رود که در آن می‌توانید تابع خود را تایپ کنید .,0-0 1-2 2-1 3-7 4-7 5-3 6-5 7-6 8-5 9-4 10-8 11-11 12-11 13-15 14-13 15-12 16-17
d002.s050,If you want to use a typical f(x) function it is not necessary to specify it.,اگر می‌خواهید از یک تابع معمولی f ( x ) استفاده کنید ، لازم نیست آن را مشخص کنید .,0-0 1-11 2-1 4-10 5-3 6-5 7-6 7-7 7-8 7-9 8-4 9-12 11-14 12-13 14-17 14-18 15-15 16-19
d002.s051,If you have entered the function click on the OK button to display the graph in the main window.,اگر تابع را وارد کرده‌اید روی دکمه OK کلیک کنید تا نمودار در پنجره اصلی نمایش داده_شود .,0-0 1-4 3-3 3-4 4-2 5-1 6-8 7-5 8-9 9-7 10-6 11-10 12-15 13-16 14-11 14-16 15-12 17-14 18-13 19-17
d002.s052,You can set several graphs on the same view.,می‌توانید چندین نمودار را روی یک نمای یکسان تنظیم کنید .,0-0 1-0 2-8 3-1 4-2 4-3 5-4 6-5 7-7 8-6 9-10
d002.s053,Just use the Add button when you are in List mode.,زمانی که در حالت لیست هستید فقط از دکمه Add استفاده کنید .,0-6 1-10 3-9 4-8 5-0 6-1 7-5 8-2 9-4 10-3 11-12
d002.s054,You can set each graph its own color.,شما می‌توانید هر نمودار را رنگ خاص خود را تنظیم کنید .,0-0 1-1 2-9 3-2 4-4 5-7 6-6 7-5 8-11
d003.s002,The Foundation has recently been involved in organising a conference which dealt with this critical challenge.,این بنیاد اخیرا در سازماندهی کنفرانسی مشارکت داشته_است که به این چالش حیاتی می‌پردازد .,0-0 1-1 2-2 3-2 5-6 6-3 7-4 8-5 9-5 10-8 11-13 12-9 13-10 14-12 15-11 16-14
d003.s003,"Over 100 participants from the main interest groups attended and debated issues such as the role of key actors including public authorities, social partners, voluntary and community organisations as well as service users.",بیش از ۱۰۰ شرکت‌کننده از گروه‌های ذینفع اصلی در آن شرکت کردند و در مورد موضوعاتی مانند نقش بازیگران کلیدی از جمله مقامات دولتی ، شرکای اجتماعی ، سازمان‌های داوطلبانه و اجتماعی و همچنین کاربران خدمات بحث کردند .,0-0 1-2 2-3 3-4 4-5 5-7 6-3 7-5 8-10 8-11 9-12 10-36 10-37 11-15 12-16 14-13 15-17 17-19 18-18 18-25 19-21 20-23 21-22 22-24 23-26 24-25 25-27 26-29 27-30 28-31 29-28 30-32 32-33 33-35 34-34 35-38
d003.s004,There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common.,موارد نسبتا کمی از تلاش برای مشارکت دادن کاربران در برنامه‌ریزی خدمات گزارش‌شده است ، اما مشارکت آنها در ارائه خدمات رایج‌تر است .,1-13 2-1 3-2 4-0 5-12 6-3 7-4 7-7 8-5 9-6 10-8 11-9 12-11 13-10 14-15 15-17 16-16 17-18 18-20 19-19 20-12 23-22 24-21 25-21 26-23
d003.s005,Note was also taken of the variety of different roles played by public welfare,همچنین به تنوع نقش‌های مختلف رفاه عمومی توجه شد,0-7 1-8 2-0 4-1 6-2 8-4 9-3 12-6 13-5
d003.s006,"The Foundation organised, together with the European Commission, the Spanish Ministry of Social Affairs and the Galician regional government, a European conference on social exclusion: a major challenge for public welfare services.",این بنیاد به همراه کمیسیون اروپا ، وزارت امور اجتماعی اسپانیا و دولت منطقه‌ای گالیسیا ، یک کنفرانس اروپایی در مورد طرد اجتماعی : یک چالش بزرگ برای خدمات رفاهی عمومی را سازماندهی کرد .,0-0 1-1 2-32 2-33 4-3 5-2 7-5 8-4 9-6 11-10 12-7 13-29 14-9 15-8 16-11 18-13 19-13 20-12 21-15 22-16 23-18 24-17 25-20 26-22 27-21 28-23 29-24 30-26 31-25 32-27 33-30 34-29 35-28 36-34
d003.s007,The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability.,این بنیاد اخیرا یک مطالعه تطبیقی را به عنوان بخشی از پروژه EPOC منتشر کرده_است که میزان مشارکت مستقیم می‌تواند کار را در عین افزایش سودآوری انسان‌سازی کند ، ارزیابی می‌کند .,0-0 1-1 2-2 3-13 4-3 5-5 6-4 7-8 8-9 9-10 10-7 11-12 12-11 13-15 14-29 14-30 15-22 16-16 18-19 19-18 20-17 21-19 22-26 23-20 24-23 25-24 26-25 27-31
d003.s008,The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries.,این مطالعه بر اساس ۱۹۵ مصاحبه شخصی با مقامات ارشد شرکای اجتماعی به عنوان نمایندگان سازمان‌های اوج سطح ملی در پانزده کشور اروپایی است .,0-0 1-1 2-23 3-3 4-2 5-4 6-6 7-5 8-7 9-9 10-8 10-10 13-11 14-10 15-13 16-14 18-18 19-17 20-16 21-15 22-19 23-20 24-22 25-21 26-24
d003.s009,"As important industrial sectors, the metal industry and the banking sector were also included.",به عنوان بخش‌های مهم صنعتی ، صنایع فلزی و بخش بانکی نیز شامل شدند .,0-1 1-3 2-4 3-2 4-5 4-14 5-0 6-7 7-6 8-8 10-7 10-10 11-9 12-13 13-11 14-12 15-14
d003.s010,"Key speakers at the social exclusion conference were (left to right) Cristina Louro, Employment, Industrial Relations and Social Affairs Directorate, European Commission Fernando Gomes, a high degree of Committee of the Regions Barbara Weiler, Member of the European Parliament José Maria Gil-Robles, Vice-President, European Parliament and John Carroll, Economic and Social Committee.",سخنرانان کلیدی در کنفرانس طرد اجتماعی عبارت بودند از ( از چپ به راست ) کریستینا لورو ، اداره استخدام ، روابط صنعتی و امور اجتماعی ، کمیسیون اروپا فرناندو گومز ، یک درجه عالی از کمیته مناطق باربارا ویلر ، عضو پارلمان اروپا خوزه ماریا گیل- روبلز ، معاون پارلمان اروپا و جان کارول ، کمیته اقتصادی و اجتماعی .,0-1 1-0 2-2 4-5 6-3 7-7 8-9 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-19 17-20 18-22 19-21 20-23 21-25 22-24 23-18 24-26 25-28 26-27 27-29 28-30 29-31 30-32 31-34 32-33 33-35 34-36 35-38 37-37 37-38 39-39 40-40 41-41 44-51 45-42 46-44 47-45 48-46 48-47 49-48 50-49 52-43 53-50 54-52 55-53 56-54 57-4 57-55 58-57 59-58 60-59 61-56 62-60
d003.s011,"Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment, training and development of ageing workers in both the work place and the community.",مطالعات موردی هر گزارش ملی شامل مجموعه‌ای از بین ۲۵ تا ۳۰ ابتکار است که به بهترین وجه سیاست‌ها و شیوه‌هایی را برای بهبود استخدام ، آموزش و توسعه کارگران سالخورده در محل کار و جامعه ارائه می‌دهد .,0-1 1-0 2-2 3-4 4-3 5-5 5-13 6-6 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-14 15-16 16-36 17-18 18-19 19-18 19-20 20-22 21-23 23-24 24-25 25-26 26-27 27-28 29-30 30-29 31-31 34-33 35-32 36-34 38-35 39-38
d003.s012,"For each country, two or three initiatives have been selected for further in depth case study.",برای هر کشور ، دو یا سه طرح برای مطالعه موردی عمیق انتخاب‌شده است .,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 7-10 8-13 9-12 10-12 11-8 12-11 15-10 16-9 17-14
d003.s013,"These case studies analysed the background of the initiatives, their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative.",این مطالعات موردی پیشینه ابتکارات ، تأثیر آنها بر الگوهای اشتغال و سازمان‌های کاری را تجزیه و تحلیل کرده و مزایا و مشکلات ابتکار را ارزیابی کردند .,0-0 1-2 2-1 3-17 3-18 4-3 5-3 8-4 9-4 9-5 10-7 11-6 12-8 13-10 14-9 15-11 16-13 17-12 18-19 19-25 19-26 20-12 21-20 22-21 23-22 25-23 26-23 27-27
d003.s014,Visits and interviews with key personnel were also undertaken.,بازدید و مصاحبه با پرسنل کلیدی نیز انجام شد .,0-0 1-1 2-2 3-3 4-5 5-4 6-8 7-6 8-7 9-9
d003.s015,These national studies will form the basis of a European report which synthesises overall practices.,این مطالعات ملی اساس یک گزارش اروپایی را تشکیل خواهد_داد که شیوه‌های کلی را ترکیب می‌کند .,0-0 1-2 2-1 3-9 4-8 6-3 8-4 9-6 10-5 11-10 12-14 12-15 13-12 14-11 15-16
d003.s016,"The report and a case book of initiatives will be published in 1996 and provide the backdrop for a conference to be staged in Autumn, 1996.",گزارش و کتاب موردی از ابتکارات در سال ۱۹۹۶ منتشر می‌شود و زمینه برگزاری کنفرانسی را فراهم می‌کند که در پاییز ۹۶ برگزار می‌شود .,0-5 1-0 2-1 3-3 4-3 5-2 6-4 7-5 8-10 9-10 10-9 11-6 12-8 13-11 14-17 15-17 16-12 16-16 18-14 19-14 20-18 21-23 22-13 22-22 23-19 24-20 25-21 26-21 27-24
d003.s017,The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes.,هدف این بنیاد مستندسازی ویژگی‌های موانع سنی در استخدام و آموزش و تحلیل علل آن است .,0-1 1-2 2-0 4-3 6-4 8-6 9-3 9-5 10-7 12-8 13-11 14-10 15-9 17-12 18-14 19-13 20-16
d003.s018,"The perspectives of the social partners is also being examined, with particular attention paid to proposals for removing age barriers.",دیدگاه‌های شرکای اجتماعی نیز با توجه ویژه به پیشنهادات برای حذف موانع سنی مورد بررسی قرار می‌گیرد .,1-0 3-1 4-2 5-1 6-16 7-3 8-15 9-14 9-16 10-17 12-6 13-5 15-7 16-8 17-9 18-10 19-12 20-11 21-17
d003.s019,"Thirdly, the project documents and assesses initiatives, in both the public and private sectors which combat age barriers, especially for older workers.",ثالثا ، پروژه ابتکارات را در هر دو بخش دولتی و خصوصی که با موانع سنی ، به ویژه برای کارگران مسن‌تر مبارزه می‌کنند ، مستند و ارزیابی می‌کند .,0-0 1-1 2-3 3-2 4-25 5-26 6-27 6-28 7-3 8-24 9-5 10-6 11-17 12-9 13-10 14-11 15-8 16-12 17-22 18-15 19-13 19-14 20-16 21-18 22-19 23-21 24-20 25-29
d003.s020,"Seeking alternatives to early retirement and redundancy, the project is primarily concerned with the retention, reintegration and retraining of older workers.",به دنبال جایگزینی برای بازنشستگی پیش از موعد و اخراج ، این پروژه در درجه اول به حفظ ، ادغام مجدد و بازآموزی کارگران مسن‌تر می‌پردازد .,0-1 1-2 2-3 3-5 4-4 5-8 6-4 7-10 7-26 8-11 9-12 10-25 11-13 11-15 13-16 15-17 16-18 17-19 18-21 19-22 21-24 22-23 23-26
d003.s021,The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined.,پیشینه‌های جنسیتی و قومیتی کارگران و چگونگی ارتباط آنها با تبعیض سنی مورد بررسی قرار می‌گیرد .,0-0 1-1 2-2 3-1 4-0 6-4 7-5 8-6 9-8 10-7 11-9 12-11 13-10 14-15 15-13 15-14 16-16
d003.s022,The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises.,این پروژه همچنین ابتکاراتی را برای مبارزه با تبعیض سنی در مناطق روستایی و در شرکت‌های کوچک و متوسط در نظر می‌گیرد .,0-0 1-1 2-2 3-21 4-3 5-5 6-6 7-9 8-8 9-10 10-12 11-11 12-13 13-14 14-16 15-17 16-18 18-15 19-22
d003.s023,"Seven member states are covered by the project: Belgium, France, Germany, Greece, Italy, the Netherlands and the United Kingdom.",هفت کشور عضو تحت پوشش این پروژه هستند : بلژیک ، فرانسه ، آلمان ، یونان ، ایتالیا ، هلند و بریتانیا .,0-0 1-2 2-1 3-7 4-4 5-3 6-5 7-6 8-8 9-21 10-10 11-11 12-12 13-13 14-16 15-15 16-18 17-17 18-14 20-19 21-20 22-9 25-22
d004.s001,This document is a summary of the European Public Assessment Report.,این سند خلاصه‌ای از گزارش ارزیابی عمومی اروپا است .,0-0 1-1 2-8 3-2 4-2 5-3 7-7 8-6 9-5 10-4 11-9
d004.s002,"It explains how the Committee for Medicinal Products for Veterinary Use (CVMP) assessed the studies performed, to reach their recommendations on how to use the medicine.",این توضیح می‌دهد که چگونه کمیته محصولات دارویی برای استفاده دامپزشکی ( CVMP ) مطالعات انجام‌شده را ارزیابی کرد تا به توصیه‌های آنها در مورد نحوه استفاده از دارو برسد .,0-0 1-1 1-2 2-4 3-3 4-5 6-7 7-6 8-8 9-10 10-9 11-11 12-12 13-13 14-17 14-18 15-21 16-14 17-15 18-30 19-19 20-29 21-22 22-21 23-24 24-25 25-23 26-26 27-27 28-28 29-30
d004.s003,What is Cerenia?,سرنیا چیست ؟,1-1 2-0 3-2
d004.s004,Cerenia contains the active substance maropitant and is available as tablet or as solution for injection.,سرنیا حاوی ماده فعال ماروپیتانت است و به صورت قرص یا محلول تزریقی موجود است .,0-0 1-1 1-5 3-3 4-2 5-4 6-6 7-14 8-13 9-8 10-9 11-10 13-11 15-12 16-15
d004.s005,The tablets are pale-orange and have a score line on both sides so that they can be halved.,این قرص‌ها به رنگ نارنجی کم‌رنگ هستند و در هر دو طرف دارای یک خط نمره هستند که می‌توان آنها را نصف کرد .,0-0 1-1 2-6 3-4 3-5 4-7 5-12 6-13 7-15 8-14 9-8 10-10 11-9 11-11 13-17 14-19 15-18 16-16 17-21 17-22 18-23
d004.s006,Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side.,هر تبلت در یک‌طرف با نشان فایزر و در طرف دیگر با حروف MPT و مقدار maropitant مشخص‌شده است .,0-0 1-1 2-18 3-17 4-4 6-6 7-5 8-2 9-3 10-3 11-7 12-11 13-8 14-12 15-13 16-14 17-17 18-15 20-16 23-10 24-9 25-19
d004.s007,What is Cerenia used for?,Cerenia برای چه مواردی استفاده می‌شود ؟,0-2 1-5 2-0 3-4 4-1 5-6
d004.s008,"Cerenia is an anti-emetic, this means that it stops vomiting.",سرنیا ضد استفراغ است ، به این معنی که استفراغ را متوقف می‌کند .,0-0 1-3 3-1 3-2 4-4 4-13 5-6 6-7 7-8 9-11 9-12 10-9 11-13
d004.s009,"It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy (medicines used for the treatment of cancer, some of which are known to cause vomiting).",در سگ‌ها برای جلوگیری از استفراغ مانند استفراغ ناشی از شیمی‌درمانی ( داروهایی که برای درمان سرطان استفاده می‌شوند ، که برخی از آنها باعث استفراغ می‌شوند ) استفاده می‌شود .,1-29 2-28 3-0 4-1 5-2 6-3 7-5 8-6 10-7 11-8 12-9 13-10 14-11 15-12 16-17 17-14 18-13 19-15 20-4 21-16 22-19 23-21 24-22 25-23 26-26 27-18 28-26 29-24 30-25 31-27 32-30
d004.s010,"In combination with supportive measures such as other veterinary treatment or a special diet, Cerenia can also be used in the treatment of vomiting (either as injection or as injection followed by tablets).",در ترکیب با اقدامات حمایتی مانند سایر درمان‌های دامپزشکی یا رژیم غذایی خاص ، سرنیا می‌تواند در درمان استفراغ نیز استفاده شود ( چه به صورت تزریقی و چه به صورت تزریقی و به دنبال آن قرص ) .,0-0 1-1 2-2 3-4 3-7 4-3 4-4 5-5 7-6 8-8 9-7 10-9 12-12 13-10 13-11 14-13 15-14 16-15 17-19 18-21 19-20 20-16 22-17 24-18 25-22 26-23 27-25 28-26 29-27 30-30 31-31 33-32 34-36 35-37 36-38
d004.s011,"For these purposes, Cerenia can be given for up to five days",برای این منظور ، Cerenia می‌تواند تا پنج روز داده_شود,0-0 1-1 2-2 3-3 4-4 5-5 6-5 7-9 9-6 10-7 11-8
d004.s012,How does Cerenia work?,سرنیا چگونه کار می‌کند ؟,0-1 1-3 2-0 3-2 4-4
d004.s013,"Cerenia blocks a neurokinin 1 (NK1) receptor, which acts in the central nervous system.",سرنیا گیرنده نوروکینین ۱ ( NK ۱ ) را که در سیستم عصبی مرکزی عمل می‌کند مسدود می‌کند .,0-0 1-1 1-16 3-2 5-4 6-5 6-6 7-7 8-1 9-3 10-9 11-14 11-15 12-10 13-12 14-13 15-12 16-11 17-18
d004.s014,How has Cerenia been studied?,Cerenia چگونه مورد مطالعه قرار گرفته_است ؟,0-1 1-5 2-0 4-3 4-4 5-6
d004.s015,A large number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA.,تعداد زیادی از مطالعات با Cerenia بر روی سگ‌های آزمایشگاهی یا در بیماران حیوانی در مراکز دامپزشکی در چندین کشور اروپایی و در ایالات‌متحده انجام شد .,1-1 2-0 3-2 4-3 5-4 6-5 7-25 8-24 11-14 12-9 13-8 14-10 15-11 16-13 17-12 19-16 20-15 21-17 22-18 23-20 24-19 25-21 26-22 28-23 29-26
d004.s016,What benefit has Cerenia shown during the studies?,Cerenia در طول مطالعات چه فوایدی را نشان داده_است ؟,0-4 1-5 2-8 3-0 4-7 5-2 6-1 7-3 8-9
d004.s017,"The results of the studies showed that Cerenia was more effective than the placebo: less vomiting was seen in dogs that received the medicine than in dogs that received a placebo, both in the treatment or in the prevention of vomiting.",نتایج مطالعات نشان داد که Cerenia موثرتر از دارونما بود : در سگ‌هایی که دارو را دریافت کردند ، استفراغ کمتری نسبت به سگ‌هایی که دارونما دریافت کردند ، هم در درمان و هم در پیشگیری از استفراغ مشاهده شد .,1-0 4-1 5-2 6-4 7-5 8-9 9-6 10-6 11-7 12-8 13-8 14-10 15-20 16-19 17-39 18-38 19-11 20-12 21-13 22-16 23-17 24-14 25-21 26-27 27-23 28-24 29-26 31-25 32-18 32-28 33-29 34-30 36-31 37-32 38-34 40-35 41-36 42-37 43-40
d004.s018,"The treatment of a vomiting dog should be started with the injection, since vomiting animals might not be able to keep a tablet down (as they might throw the intact tablet up again).",درمان سگ دارای استفراغ باید با تزریق شروع شود ، زیرا حیوانات استفراغ ممکن است نتوانند قرص را پایین نگه دارند ( زیرا ممکن است دوباره قرص دست‌نخورده را به بالا پرتاب کنند ) .,1-0 3-2 4-3 5-1 6-4 7-8 8-7 9-5 11-6 12-9 13-10 14-12 15-11 16-13 17-15 19-15 21-19 23-16 24-18 25-21 26-22 27-20 28-23 29-32 30-27 32-26 33-30 34-25 35-33 36-34
d004.s019,"For follow-up treatment, the animal owner can administer the tablets to the dog.",برای درمان بعدی ، صاحب حیوان می‌تواند قرص‌ها را به سگ بدهد .,0-0 1-2 2-1 3-3 5-5 6-4 7-6 8-11 9-7 10-7 11-9 13-10 14-12
d004.s020,"Also, the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting.",همچنین ، درمان استفراغ تنها باید همراه با سایر اقدامات حمایتی یا سایر درمان‌های دامپزشکی باشد و در عین حال به علل زمینه‌ای استفراغ رسیدگی شود .,0-0 1-1 3-2 5-3 6-5 7-4 8-15 9-6 10-7 11-8 12-10 13-9 14-11 15-12 16-14 17-13 18-19 19-16 19-24 20-20 21-22 22-21 24-23 25-23 26-26
d004.s021,What is the risk associated with Cerenia?,خطر مرتبط با سرنیا چیست ؟,0-4 3-0 4-1 5-2 6-3 7-5
d004.s022,Cerenia was generally well tolerated when administered daily at dosages up to 5 times the recommended doses for an extended period of time (up to 3 times the recommended maximum duration of treatment).,سرنیا به طور کلی زمانی که روزانه در دوزهای حداکثر ۵ برابر دوز توصیه‌شده برای مدت زمان طولانی ( تا ۳ برابر حداکثر مدت زمان توصیه‌شده درمان ) تجویز می‌شد ، به خوبی تحمل می‌شد .,0-0 1-34 2-3 3-32 5-5 6-28 6-29 7-6 8-7 9-8 10-9 12-10 13-11 14-13 15-13 16-12 17-14 19-17 20-15 22-16 23-18 25-19 26-20 27-21 29-25 30-22 31-23 31-24 33-26 34-27 35-35
d004.s023,What are the precautions for the person who gives the medicine or comes into contact with the animal?,برای فردی که دارو را می‌دهد یا با حیوان تماس می‌گیرد چه احتیاط‌هایی لازم است ؟,0-11 1-14 3-12 4-0 5-10 6-1 7-2 8-5 10-3 11-6 12-10 14-9 15-7 17-8 18-15
d004.s024,Cerenia does not represent a particular risk for people.,Cerenia خطر خاصی را برای مردم نشان نمی‌دهد .,0-0 1-7 2-7 3-6 4-3 5-2 6-1 7-4 8-5 9-8
