ID	English	Bengali Translation
d003.s022	The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises .	প্রকল্পটি গ্রামীণ এলাকায় এবং ছোট ও মাঝারি আকারের উদ্যোগে বয়স বৈষম্যের বিরুদ্ধে লড়াই করার উদ্যোগ বিবেচনা করে।
d003.s023	Seven member states are covered by the project : Belgium , France , Germany , Greece , Italy , the Netherlands and the United Kingdom .	সাতটি সদস্য রাষ্ট্র এই প্রকল্পের আওতায় রয়েছে: বেলজিয়াম, ফ্রান্স, জার্মানি, গ্রীস, ইতালি, নেদারল্যান্ডস এবং যুক্তরাজ্য।
d004.s001	This document is a summary of the European Public Assessment Report .	এই নথিটি ইউরোপীয় পাবলিক অ্যাসেসমেন্ট রিপোর্টের সারাংশ।
d004.s002	It explains how the Committee for Medicinal Products for Veterinary Use ( CVMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	এটি ব্যাখ্যা করে যে কিভাবে ভেটেরিনারি ব্যবহারের জন্য মেডিসিনাল প্রোডাক্টস কমিটি (সিভিএমপি) সম্পাদিত অধ্যয়নগুলিকে মূল্যায়ন করেছে, কীভাবে ওষুধটি ব্যবহার করতে হবে সে সম্পর্কে তাদের সুপারিশে পৌঁছাতে।
d004.s003	What is Cerenia ?	সেরেনিয়া কি?
d004.s004	Cerenia contains the active substance maropitant and is available as tablet or as solution for injection .	সেরেনিয়াতে সক্রিয় পদার্থ ম্যারোপিট্যান্ট রয়েছে এবং এটি ট্যাবলেট বা ইনজেকশনের সমাধান হিসাবে পাওয়া যায়।
d004.s005	The tablets are pale-orange and have a score line on both sides so that they can be halved .	ট্যাবলেটগুলি ফ্যাকাশে-কমলা এবং উভয় পাশে একটি স্কোর লাইন রয়েছে যাতে সেগুলি অর্ধেক করা যায়।
d004.s006	Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side .	প্রতিটি ট্যাবলেটের একপাশে ফাইজার লোগো এবং অন্যদিকে MPT অক্ষর এবং মারোপিট্যান্টের পরিমাণ চিহ্নিত করা আছে।
d004.s007	What is Cerenia used for ?	Cerenia কি জন্য ব্যবহৃত হয়?
d004.s008	Cerenia is an anti-emetic , this means that it stops vomiting .	সেরেনিয়া একটি অ্যান্টি-এমেটিক, এর মানে এটি বমি বন্ধ করে দেয়।
d004.s009	It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy ( medicines used for the treatment of cancer , some of which are known to cause vomiting ) .	এটি কুকুরে বমি প্রতিরোধে ব্যবহৃত হয় যেমন কেমোথেরাপির কারণে বমি হওয়া (ক্যান্সারের চিকিৎসার জন্য ব্যবহৃত ওষুধ, যার মধ্যে কিছু বমি হওয়ার জন্য পরিচিত)।
d004.s010	In combination with supportive measures such as other veterinary treatment or a special diet , Cerenia can also be used in the treatment of vomiting ( either as injection or as injection followed by tablets ) .	অন্যান্য পশুচিকিৎসা বা বিশেষ ডায়েটের মতো সহায়ক ব্যবস্থার সংমিশ্রণে, সেরেনিয়া বমির চিকিৎসায়ও ব্যবহার করা যেতে পারে (হয় ইনজেকশন হিসেবে বা ট্যাবলেটের পরে ইনজেকশন হিসেবে)।
d004.s011	For these purposes , Cerenia can be given for up to five days	এই উদ্দেশ্যে, সেরেনিয়া পাঁচ দিন পর্যন্ত দেওয়া যেতে পারে
d004.s012	How does Cerenia work ?	সেরেনিয়া কিভাবে কাজ করে?
d004.s013	Cerenia blocks a neurokinin 1 ( NK1 ) receptor , which acts in the central nervous system .	সেরেনিয়া একটি নিউরোকিনিন 1 (NK1) রিসেপ্টরকে ব্লক করে, যা কেন্দ্রীয় স্নায়ুতন্ত্রে কাজ করে।
d004.s014	How has Cerenia been studied ?	কিভাবে Cerenia অধ্যয়ন করা হয়েছে?
d004.s015	A large number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA .	সেরেনিয়ার সাথে প্রচুর সংখ্যক অধ্যয়ন হয় ল্যাবরেটরি কুকুরে বা পশু রোগীদের মধ্যে বেশ কয়েকটি ইউরোপীয় দেশে এবং মার্কিন যুক্তরাষ্ট্রে পশুচিকিত্সা অনুশীলনে করা হয়েছিল।
d004.s016	What benefit has Cerenia shown during the studies ?	গবেষণার সময় Cerenia কি সুবিধা দেখানো হয়েছে?
d004.s017	The results of the studies showed that Cerenia was more effective than the placebo : less vomiting was seen in dogs that received the medicine than in dogs that received a placebo , both in the treatment or in the prevention of vomiting .	গবেষণার ফলাফলে দেখা গেছে যে প্লাসিবোর তুলনায় সেরেনিয়া বেশি কার্যকর ছিল: ওষুধ গ্রহণকারী কুকুরদের তুলনায় কম বমি দেখা গেছে যে কুকুররা প্লাসিবো পেয়েছে, চিকিত্সা বা বমি প্রতিরোধ উভয় ক্ষেত্রেই।
d004.s018	The treatment of a vomiting dog should be started with the injection , since vomiting animals might not be able to keep a tablet down ( as they might throw the intact tablet up again ) .	বমি করা কুকুরের চিকিৎসা ইনজেকশন দিয়ে শুরু করা উচিত, যেহেতু বমি করা প্রাণীরা ট্যাবলেটটি নিচে রাখতে পারে না (যেহেতু তারা আবার অক্ষত ট্যাবলেটটি উপরে ফেলে দিতে পারে)।
d004.s019	For follow-up treatment , the animal owner can administer the tablets to the dog .	ফলো-আপ চিকিত্সার জন্য, পশুর মালিক কুকুরটিকে ট্যাবলেটগুলি পরিচালনা করতে পারেন।
d004.s020	Also , the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting .	এছাড়াও, বমির চিকিত্সা শুধুমাত্র অন্যান্য সহায়ক পরিমাপ বা অন্যান্য পশুচিকিত্সা থেরাপির সাথে একসাথে হওয়া উচিত যখন বমির অন্তর্নিহিত কারণগুলিকে মোকাবেলা করা হয়।
d004.s021	What is the risk associated with Cerenia ?	Cerenia সঙ্গে যুক্ত ঝুঁকি কি?
d004.s022	Cerenia was generally well tolerated when administered daily at dosages up to 5 times the recommended doses for an extended period of time ( up to 3 times the recommended maximum duration of treatment ) .	সেরেনিয়া সাধারণত ভালভাবে সহ্য করা হয় যখন একটি বর্ধিত সময়ের জন্য সুপারিশকৃত ডোজ থেকে 5 গুণ পর্যন্ত প্রতিদিন (চিকিৎসার প্রস্তাবিত সর্বোচ্চ সময়কালের 3 গুণ পর্যন্ত) ব্যবহার করা হয়।
d004.s023	What are the precautions for the person who gives the medicine or comes into contact with the animal ?	যে ব্যক্তি ওষুধ দেয় বা পশুর সংস্পর্শে আসে তার জন্য কী কী সতর্কতা রয়েছে?
d004.s024	Cerenia does not represent a particular risk for people .   সেরিনিয়া মানুষের জন্য কোন বিশেষ ঝুঁকির প্রতিনিধিত্ব করে না।
