Token ID	Token	Lemma	POS	Bengali Token	Bengali Lemma	POS BEN	BN Synset	Correct? 	Synonyms?	BN Gloss	Token ID BEN	Annotator notes	English Lemma - WN Glosses	English Lemma - WN Glosses	English Lemma - BN Synsets	English Lemma - BN Glosses
d001.s011.t013	been	be	V	করা	করা	NV	n/a			n/a	d001.s011.t012					
d001.s011.t014	treated	treat	V	ব্যবহার	ব্যবহার	NC	bn:00084532v	0	0	Provide treatment for	d001.s011.t011	POS mismatch	Interact in a certain way; Subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition; Provide treatment for; Act on verbally or in some form of artistic expression; Provide with a gift or entertainment; Provide with choice or abundant food or drink; Engage in negotiations in order to reach an agreement; Regard or consider in a specific way	interact in a certain way; subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition; provide treatment for; act on verbally or in some form of artistic expression; provide with a gift or entertainment; provide with choice or abundant food or drink; engage in negotiations in order to reach an agreement; regard or consider in a specific way	bn:00087116v; bn:00092032v; bn:00084532v; bn:00082339v; bn:00095139v; bn:00092662v; bn:00095140v; bn:00095141v	Interact in a certain way; Subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition; Provide treatment for; Act on verbally or in some form of artistic expression; Provide with a gift or entertainment; Provide with choice or abundant food or drink; Engage in negotiations in order to reach an agreement; Regard or consider in a specific way
d001.s011.t015	before		X	পূর্বে	পূর্বে	NST	n/a			n/a	d001.s011.t001					
d001.s011.t016	,		X	আলিমতা+অতীতে	আলিমতা+অতীতে	NC+NC	n/a			n/a	d001.s011.t010+d001.s011.t015					
d001.s011.t017	and		X	এবং	এবং	CCD	n/a			n/a	d001.s011.t014					
d001.s011.t018	on		X	অতীতে	অতীতে	NC	n/a			n/a	d001.s011.t015					
d001.s011.t019	its		X	এটি	এটি	PPR	n/a			n/a	d001.s011.t023					
d001.s011.t020	own	own	J	নিজেই	নিজে	PRF	n/a			n/a	d001.s011.t024					
d001.s011.t021	in		X	মধ্যে	মধ্যে	NST	n/a			n/a	d001.s011.t022					
d001.s011.t022	patients	patient	N	রোগীদের	রোগী	NC	bn:00061017n	1	1	A person who requires medical care	d001.s011.t006					
d001.s011.t023	who		X	রোগীদের	রোগী	NC	n/a			n/a	d001.s011.t007					
d001.s011.t024	have	have	V	পেয়েছে	পেয়েছে	VM	n/a			n/a	d001.s011.t019					
d001.s011.t025	received	receive	V	পেয়েছে	পেয়েছে	VM	bn:00087863v	1	1	Go through (mental or physical states or experiences)	d001.s011.t019					
d001.s011.t026	another		X	অন্য	অন্য	JJ	n/a			n/a	d001.s011.t016					
d001.s011.t027	type	type	N	ধরনের	ধরন	NC	bn:00078798n	1	1	A subdivision of a particular kind of thing	d001.s011.t017					
d001.s011.t028	of		X	কেমোথেরাপি	কেমোথেরাপি	PU	n/a			n/a	d001.s011.t018					
d001.s011.t029	chemotherapy	chemotherapy	N	কেমোথেরাপি	কেমোথেরাপি	PU	bn:00018141n	1	1	The use of chemical agents to treat or control disease (or mental illness)	d001.s011.t018					
d001.s011.t030	in		X	হয়	হয়	PU	n/a			n/a	d001.s011.t027					
d001.s011.t031	the		X	পূর্বে	পূর্বে	NST	n/a			n/a	d001.s011.t001					
d001.s011.t032	past	past	N	এমন	এমন	DAB	bn:00060927n	0	0	The time that has elapsed	d001.s011.t020	Wrong alignment	The time that has elapsed; A earlier period in someone's life (especially one that they have reason to keep secret); A verb tense that expresses actions or states in the past	the time that has elapsed; a earlier period in someone's life (especially one that they have reason to keep secret); a verb tense that expresses actions or states in the past	bn:00060927n; bn:00060928n; bn:00060929n	The time that has elapsed; A earlier period in someone's life (especially one that they have reason to keep secret); A verb tense that expresses actions or states in the past
d001.s011.t033	.		X	করা+।	করা+।	NV+PU	n/a			n/a	d001.s011.t026+d001.s011.t028					
d001.s012.t001	The		X	ওষুধটি	ওষুধটি	PU	n/a			n/a	d001.s012.t001					
d001.s012.t002	medicine	medicine	N	ওষুধটি	ওষুধ	PU	bn:00054128n	1	1	(medicine) something that treats or prevents or alleviates the symptoms of disease	d001.s012.t001					
d001.s012.t003	can		X	যায়	যায়	PRL	n/a			n/a	d001.s012.t007					
d001.s012.t004	only	only	R	শুধুমাত্র	শুধুমাত্র	AMN	bn:00116450r	1	1	Never except when	d001.s012.t002					
d001.s012.t005	be	be	V	শুধুমাত্র	শুধুমাত্র	AMN	n/a			n/a	d001.s012.t002					
d001.s012.t006	obtained	obtain	V	ওষুধটি+পাওয়া	ওষুধ+পাওয়া	NC+NV	bn:00082276v	1	1	Come into the possession of something concrete or abstract	d001.s012.t001+d001.s012.t006	Second word matches				
d001.s012.t007	with		X	দিয়েই	দিয়ে	PU	n/a			n/a	d001.s012.t005					
d001.s012.t008	a		X	একটি	একটি	JQ	n/a			n/a	d001.s012.t003					
d001.s012.t009	prescription	prescription	N	প্রেসক্রিপশন	প্রেসক্রিপশন	NC	bn:00064195n	1	1	Written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued to a given patient	d001.s012.t004					
d001.s012.t010	.		X	প্রেসক্রিপশন+।	প্রেসক্রিপশন+।	NC+PU	n/a			n/a	d001.s012.t004+d001.s012.t008					
d001.s013.t001	How		X	কীভাবে	কীভাবে	AMN	n/a			n/a	d001.s013.t001					
d001.s013.t002	is	be	V	হয়	হয়	PU	n/a			n/a	d001.s013.t005					
d001.s013.t003	Alimta	alimta	N	আলিমতা	আলিমতা	NC	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	d001.s013.t002					
d001.s013.t004	used	use	V	ব্যবহার	ব্যবহার	NC	bn:00082705v	1	1	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose	d001.s013.t003					
d001.s013.t005	?		X	?	?	PU	n/a			n/a	d001.s013.t006					
d001.s014.t001	Alimta	alimta	N	আলিমতা	আলিমতা	NC	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	d001.s014.t008					
d001.s014.t002	should		X	উচিত	উচিত	JJ	n/a			n/a	d001.s014.t010					
d001.s014.t003	only	only	R	কেমোথেরাপি	কেমোথেরাপি	PU	bn:00116450r	0	0	Never except when	d001.s014.t002	Wrong alignment	And nothing more; Without any others being included or involved; With nevertheless the final result; In the final outcome; Except that; Never except when; As recently as	and nothing more; without any others being included or involved; with nevertheless the final result; in the final outcome; except that; never except when; as recently as	bn:00114626r; bn:00114234r; bn:00116447r; bn:00116448r; bn:00116449r; bn:00116450r; bn:00116451r	And nothing more; Without any others being included or involved; With nevertheless the final result; In the final outcome; Except that; Never except when; As recently as
d001.s014.t004	be	be	V	আলিমতা	আলিমতা	NC	n/a			n/a	d001.s014.t008					
d001.s014.t005	given	give	V	দেওয়া	দেওয়া	NV	bn:00088826v	1	1	Give (as medicine)	d001.s014.t009					
d001.s014.t006	under		X	যোগ্যতাসম্পন্ন	যোগ্যতাসম্পন্ন	JJ	n/a			n/a	d001.s014.t004					
d001.s014.t007	the		X	তত্ত্বাবধানে	তত্ত্বাবধান	ALC	n/a			n/a	d001.s014.t007					
d001.s014.t008	supervision	supervision	N	তত্ত্বাবধানে	তত্ত্বাবধান	ALC	bn:00059908n	1	1	Management by overseeing the performance or operation of a person or group	d001.s014.t007					
d001.s014.t009	of		X	তত্ত্বাবধানে	তত্ত্বাবধান	ALC	n/a			n/a	d001.s014.t007					
d001.s014.t010	a		X	একজন	একজন	JQ	n/a			n/a	d001.s014.t005					
d001.s014.t011	doctor	doctor	N	ডাক্তারের	ডাক্তার	NC	bn:00027976n	1	1	A licensed medical practitioner	d001.s014.t006					
d001.s014.t012	who		X	যোগ্যতাসম্পন্ন	যোগ্যতাসম্পন্ন	JJ	n/a			n/a	d001.s014.t004					
d001.s014.t013	is	be	V	যোগ্যতাসম্পন্ন	যোগ্যতাসম্পন্ন	JJ	n/a			n/a	d001.s014.t004					
d001.s014.t014	qualified	qualify	V	যোগ্যতাসম্পন্ন	যোগ্যতাসম্পন্ন	JJ	n/a			n/a	d001.s014.t004					
d001.s014.t015	in		X	ব্যবহারে	ব্যবহার	NC	n/a			n/a	d001.s014.t003					
d001.s014.t016	the		X	আলিমতা	আলিমতা	NC	n/a			n/a	d001.s014.t008					
d001.s014.t017	use	use	N	ব্যবহারে	ব্যবহার	NC	bn:00030627n	1	1	The act of using	d001.s014.t003					
d001.s014.t018	of		X	ডাক্তারের	ডাক্তার	NC	n/a			n/a	d001.s014.t006					
d001.s014.t019	anticancer	anticancer	J	অ্যান্টিক্যানসার	অ্যান্টিক্যানসার	NC	bn:00097220a	1	1	Used in the treatment of cancer	d001.s014.t001					
d001.s014.t020	chemotherapy	chemotherapy	N	কেমোথেরাপি	কেমোথেরাপি	PU	bn:00018141n	1	1	The use of chemical agents to treat or control disease (or mental illness)	d001.s014.t002					
d001.s014.t021	.		X	যোগ্যতাসম্পন্ন+।	যোগ্যতাসম্পন্ন+।	JJ+PU	n/a			n/a	d001.s014.t004+d001.s014.t011					
d001.s015.t001	The		X	সুপারিশকৃত	সুপারিশকৃত	JJ	n/a			n/a	d001.s015.t002					
d001.s015.t002	recommended	recommended	J	সুপারিশকৃত	সুপারিশকৃত	JJ	n/a			n/a	d001.s015.t002					
d001.s015.t003	dose	dose	N	আলিমতার+ডোজ	আলিমতার+ডোজ	NC+NC	bn:00028320n	1	1	A measured portion of medicine taken at any one time	d001.s015.t001+d001.s015.t003	Second word matches				
d001.s015.t004	of		X	আলিমতার	আলিমতার	NC	n/a			n/a	d001.s015.t001					
d001.s015.t005	Alimta	alimta	N	আলিমতার+ডোজ	আলিমতার+ডোজ	NC+NC	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	d001.s015.t001+d001.s015.t003	First word matches				
d001.s015.t006	is	be	V	মিটারে	মিটার	NC	n/a			n/a	d001.s015.t006					
d001.s015.t007	500		X	৫০০	500	RDF	n/a			n/a	d001.s015.t007					
d001.s015.t008	mg	mg	N	মিলিগ্রাম	মিলিগ্রাম	NP	bn:00054701n	1	1	One thousandth (1/1,000) gram	d001.s015.t008					
d001.s015.t009	per		X	প্রতি	প্রতি	JQ	n/a			n/a	d001.s015.t004					
d001.s015.t010	square	square	J	বর্গ+মিটারে	বর্গ+মিটার	NC+NC	n/a			n/a	d001.s015.t005+d001.s015.t006					
d001.s015.t011	metre	metre	N	মিটারে	মিটার	NC	bn:00052501n	1	1	The basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)	d001.s015.t006					
d001.s015.t012	of		X	মিলিগ্রাম	মিলিগ্রাম	NP	n/a			n/a	d001.s015.t008					
d001.s015.t013	body	body	N	বর্গ	বর্গ	NC	bn:00011744n	0	0	The entire structure of an organism (an animal, plant, or human being)	d001.s015.t005 	Wrong alignment	The entire structure of an organism (an animal, plant, or human being); A group of persons associated by some common tie or occupation and regarded as an entity; A natural object consisting of a dead animal or person; An individual 3-dimensional object that has mass and that is distinguishable from other objects; The body excluding the head and neck and limbs; A collection of particulars considered as a system; The property of holding together and retaining its shape; The central message of a communication; The main mass of a thing; A resonating chamber in a musical instrument (as the body of a violin); The external structure of a vehicle	the entire structure of an organism (an animal, plant, or human being); a group of persons associated by some common tie or occupation and regarded as an entity; a natural object consisting of a dead animal or person; an individual 3-dimensional object that has mass and that is distinguishable from other objects; the body excluding the head and neck and limbs; a collection of particulars considered as a system; the property of holding together and retaining its shape; the central message of a communication; the main mass of a thing; a resonating chamber in a musical instrument (as the body of a violin); the external structure of a vehicle	bn:00011744n; bn:00011745n; bn:00011746n; bn:00011747n; bn:00011748n; bn:00011749n; bn:00011750n; bn:00011751n; bn:00011752n; bn:00011753n; bn:00011754n	The entire structure of an organism (an animal, plant, or human being); A group of persons associated by some common tie or occupation and regarded as an entity; A natural object consisting of a dead animal or person; An individual 3-dimensional object that has mass and that is distinguishable from other objects; The body excluding the head and neck and limbs; A collection of particulars considered as a system; The property of holding together and retaining its shape; The central message of a communication; The main mass of a thing; A resonating chamber in a musical instrument (as the body of a violin); The external structure of a vehicle
d001.s015.t014	surface	surface	N	বর্গ	বর্গ	NC	bn:00075374n	0	0	The extended two-dimensional outer boundary of a three-dimensional object	d001.s015.t006	Wrong alignment	The outer boundary of an artifact or a material layer constituting or resembling such a boundary; The extended two-dimensional outer boundary of a three-dimensional object; The outermost level of the land or sea; A superficial aspect as opposed to the real nature of something; Information that has become public; A device that provides reactive force when in motion relative to the surrounding air; can lift or control a plane in flight	the outer boundary of an artifact or a material layer constituting or resembling such a boundary; the extended two-dimensional outer boundary of a three-dimensional object; the outermost level of the land or sea; a superficial aspect as opposed to the real nature of something; information that has become public; a device that provides reactive force when in motion relative to the surrounding air; can lift or control a plane in flight	bn:00075373n; bn:00075374n; bn:00029430n; bn:00075375n; bn:00059064n; bn:00001682n	The outer boundary of an artifact or a material layer constituting or resembling such a boundary; The extended two-dimensional outer boundary of a three-dimensional object; The outermost level of the land or sea; A superficial aspect as opposed to the real nature of something; Information that has become public; A device that provides reactive force when in motion relative to the surrounding air; can lift or control a plane in flight
d001.s015.t015	area	area	N	বর্গ	বর্গ	NC	bn:00005518n	0	0	The extent of a 2-dimensional surface enclosed within a boundary	d001.s015.t007	Wrong alignment	A particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography); A subject of study; A part of an animal that has a special function or is supplied by a given artery or nerve; A particular environment or walk of life; A part of a structure having some specific characteristic or function; The extent of a 2-dimensional surface enclosed within a boundary	a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography); a subject of study; a part of an animal that has a special function or is supplied by a given artery or nerve; a particular environment or walk of life; a part of a structure having some specific characteristic or function; the extent of a 2-dimensional surface enclosed within a boundary	bn:00005513n; bn:00005514n; bn:00005515n; bn:00005516n; bn:00005517n; bn:00005518n	A particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography); A subject of study; A part of an animal that has a special function or is supplied by a given artery or nerve; A particular environment or walk of life; A part of a structure having some specific characteristic or function; The extent of a 2-dimensional surface enclosed within a boundary
d001.s015.t016	(		X	(	(	RDS	n/a			n/a	d001.s015.t009					
d001.s015.t017	calculated	calculate	V	গণনা+করা	গণনা+করা	NC+NV	bn:00084373v	1	1	Make a mathematical calculation or computation	d001.s015.t016+d001.s015.t017	First word matches				
d001.s015.t018	using	use	V	ব্যবহার	ব্যবহার	NC	bn:00082705v	1	1	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose	d001.s015.t014					
d001.s015.t019	the		X	গণনা	গণনা	NC	n/a			n/a	d001.s015.t016					
d001.s015.t020	patient	patient	N	রোগীর	রোগী	NC	bn:00061017n	1	1	A person who requires medical care	d001.s015.t010					
d001.s015.t021	s		X	রোগীর+উচ্চতা	রোগী+উচ্চতা	NC+NC	n/a			n/a	d001.s015.t010+d001.s015.t011					
d001.s015.t022	height	height	N	উচ্চতা	উচ্চতা	NC	bn:00043545n	1	1	(of a standing person) the distance from head to foot	d001.s015.t011					
d001.s015.t023	and		X	ও	ও	CCD	n/a			n/a	d001.s015.t012					
d001.s015.t024	weight	weight	N	ওজন	ওজন	PU	bn:00080831n	1	1	The vertical force exerted by a mass as a result of gravity	d001.s015.t013					
d001.s015.t025	)		X	)	)	RDS	n/a			n/a	d001.s015.t019					
d001.s015.t026	.		X	৫০০+)	৫০০+)	RDF+RDS	n/a			n/a	d001.s015.t007+d001.s015.t019					
d001.s016.t001	It		X	এটা	এটা	PPR	n/a			n/a	d001.s016.t001					
d001.s016.t002	is	be	V	হয়	হয়	PU	n/a			n/a	d001.s016.t008					
d001.s016.t003	given	give	V	দেওয়া	দেওয়া	NV	bn:00088826v	1	1	Give (as medicine)	d001.s016.t007					
d001.s016.t004	once	once	R	একবার	একবার	ALC	bn:00115811r	1	1	On one occasion	d001.s016.t005					
d001.s016.t005	every	every	J	প্রতি	প্রতি	JQ	bn:00102467a	1	1	Each and all of a series of entities or intervals as specified	d001.s016.t002					
d001.s016.t006	three		X	তিন	তিন	JQ	n/a			n/a	d001.s016.t003					
d001.s016.t007	weeks	week	N	সপ্তাহে	সপ্তাহ	NC	bn:00043484n	1	1	Any period of seven consecutive days	d001.s016.t004					
d001.s016.t008	as		X	যা	যা	PRL	n/a			n/a	d001.s016.t010					
d001.s016.t009	an		X	করে	করে	VM	n/a			n/a	d001.s016.t006					
d001.s016.t010	intravenous	intravenous	J	শরীরে+প্রবেশ	শরীরে+প্রবেশ	NC+NC	bn:00102230a	0	0	Within or by means of a vein	d001.s016.t014+d001.s016.t015	Similar idea conveyed but not fully correct	Within or by means of a vein	within or by means of a vein	bn:00102230a	Within or by means of a vein
d001.s016.t011	infusion	infusion	N	একবার+করে	একবার+করে	ALC+VM	bn:00046734n	0	0	(medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force)	d001.s016.t005+d001.s016.t006	Wrong alignment	A solution obtained by steeping or soaking a substance (usually in water); The process of extracting certain active properties (as a drug from a plant) by steeping or soaking (usually in water); (medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force); The act of infusing or introducing a certain modifying element or quality	a solution obtained by steeping or soaking a substance (usually in water); the process of extracting certain active properties (as a drug from a plant) by steeping or soaking (usually in water); (medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force); the act of infusing or introducing a certain modifying element or quality	bn:00032469n; bn:00046733n; bn:00046734n; bn:00046735n	A solution obtained by steeping or soaking a substance (usually in water); The process of extracting certain active properties (as a drug from a plant) by steeping or soaking (usually in water); (medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force); The act of infusing or introducing a certain modifying element or quality
d001.s016.t012	lasting	last	V	,+ধরে	,+ধরে	VM	bn:00087620v	0	0	Persist for a specified period of time	d001.s016.t009+d001.s016.t013	Wrong alignment	Persist for a specified period of time; Continue to live through hardship or adversity	persist for a specified period of time; continue to live through hardship or adversity	bn:00087620v; bn:00087617v	Persist for a specified period of time; Continue to live through hardship or adversity
d001.s016.t013	10		X	১০	10	RDF	n/a			n/a	d001.s016.t011					
d001.s016.t014	minutes	minute	N	মিনিট	মিনিট	NC	bn:00055094n	1	1	A unit of time equal to 60 seconds or 1/60th of an hour	d001.s016.t012					
d001.s016.t015	.		X	,+।	,+।	PU	n/a			n/a	d001.s016.t009+d001.s016.t017					
d001.s017.t001	To		X	কমাতে	কমা	PU	n/a			n/a	d001.s017.t002					
d001.s017.t002	reduce	reduce	V	কমাতে	কমা	PU	bn:00084079v	1	1	Cut down on; make a reduction in	d001.s017.t002					
d001.s017.t003	side	side	J	পার্শ্বপ্রতিক্রিয়া	পার্শ্বপ্রতিক্রিয়া	NC	n/a			n/a	d001.s017.t001					
d001.s017.t004	effects	effect	N	পার্শ্বপ্রতিক্রিয়া	পার্শ্বপ্রতিক্রিয়া	NC	bn:00029874n	1	1	A symptom caused by an illness or a drug	d001.s017.t001					
d001.s017.t005	,		X	পার্শ্বপ্রতিক্রিয়া+রোগীদের	পার্শ্বপ্রতিক্রিয়া+রোগী	NC+NC	n/a			n/a	d001.s017.t001+d001.s017.t003					
d001.s017.t006	patients	patient	N	রোগীদের	রোগী	NC	bn:00061017n	1	1	A person who requires medical care	d001.s017.t003					
d001.s017.t007	should		X	হবে	হবে	VM	n/a			n/a	d001.s017.t016					
d001.s017.t008	take	take	V	নিতে	নিতে	NC	bn:00085689v	1	1	Serve oneself to, or consume regularly	d001.s017.t022					
d001.s017.t009	a		X	একটি	একটি	JQ	n/a			n/a	d001.s017.t004					
d001.s017.t010	corticosteroid	corticosteroid	N	কর্টিকোস্টেরয়েড	কর্টিকোস্টেরয়েড	PU	bn:00001507n	1	1	A steroid hormone produced by the adrenal cortex or synthesized; administered as drugs they reduce swelling and decrease the body's immune response	d001.s017.t005					
d001.s017.t011	and		X	এবং	এবং	CCD	n/a			n/a	d001.s017.t006					
d001.s017.t012	folic	folic	J	ফলিক+ভিটামিন	ফলিক+ভিটামিন	JJ+NC	n/a			n/a	d001.s017.t007+d001.s017.t012					
d001.s017.t013	acid	acid	N	এসিড	এসিড	PU	bn:00000902n	1	1	Any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt	d001.s017.t008					
d001.s017.t014	(		X	(	(	RDS	n/a			n/a	d001.s017.t009					
d001.s017.t015	a		X	এক	এক	JQ	n/a			n/a	d001.s017.t010					
d001.s017.t016	type	type	N	ধরণের	ধরণের	NC	bn:00078798n	1	1	A subdivision of a particular kind of thing	d001.s017.t011					
d001.s017.t017	of		X	ফলিক	ফলিক	JJ	n/a			n/a	d001.s017.t007 					
d001.s017.t018	vitamin	vitamin	N	ভিটামিন	ভিটামিন	NC	bn:00080147n	1	1	Any of a group of organic substances essential in small quantities to normal metabolism	d001.s017.t012					
d001.s017.t019	)		X	)	)	RDS	n/a			n/a	d001.s017.t013					
d001.s017.t020	,		X	এসিড+করতে	এসিড+করতে	NP+VM	n/a			n/a	d001.s017.t008+d001.s017.t015					
d001.s017.t021	and		X	এবং	এবং	CCD	n/a			n/a	d001.s017.t006					
d001.s017.t022	receive	receive	V	গ্রহণ	গ্রহণ	NC	n/a			n/a	d001.s017.t014					
d001.s017.t023	injections	injection	N	ইনজেকশন	ইনজেকশন	NP	bn:00046785n	1	1	Any solution that is injected (as into the skin)	d001.s017.t021					
d001.s017.t024	of		X	ধরণের	ধরণ	NC	n/a			n/a	d001.s017.t011					
d001.s017.t025	vitamin	vitamin	N	ভিটামিন	ভিটামিন	NC	bn:00080147n	1	1	Any of a group of organic substances essential in small quantities to normal metabolism	d001.s017.t012					
d001.s017.t026	B12	b12	N	ভিটামিন+বি১২	ভিটামিন+বি১২	NC+NC	n/a			n/a	d001.s017.t012+d001.s017.t020					
d001.s017.t027	during		X	চিকিৎসাকালে	চিকিৎসাকালে	NC	n/a			n/a	d001.s017.t018					
d001.s017.t028	treatment	treatment	N	চিকিৎসাকালে	চিকিৎসা	NC	bn:00047235n	1	1	Care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)	d001.s017.t018					
d001.s017.t029	with		X	কর্টিকোস্টেরয়েড	কর্টিকোস্টেরয়েড	PU	n/a			n/a	d001.s017.t005					
d001.s017.t030	Alimta	alimta	N	কর্টিকোস্টেরয়েড+ভিটামিন+ইনজেকশন	কর্টিকোস্টেরয়েড+ভিটামিন+ইনজেকশন	NP+NP+NP	bn:00602447n	0	0	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	d001.s017.t005+d001.s017.t012+d001.s017.t021	Wrong alignment				
d001.s017.t031	.		X	হবে+।	হবে+।	VM+PU	n/a			n/a	d001.s017.t023+d001.s017.t024					
d001.s018.t001	When		X	হলে	হলে	LC	n/a			n/a	d001.s018.t005					
d001.s018.t002	Alimta	alimta	N	সিস্প্লাটিনের+আলিমতা	সিস্প্লাটিন+আলিমতা	NC+NC	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	d001.s018.t001+d001.s018.t003	Second word matches				
d001.s018.t003	is	be	V	আলিমতা	আলিমতা	NC	n/a			n/a	d001.s018.t003					
d001.s018.t004	given	give	V	দেওয়া	দেওয়া	NV	bn:00088826v	1	1	Give (as medicine)	d001.s018.t004					
d001.s018.t005	with		X	সাথে	সাথে	NC	n/a			n/a	d001.s018.t002					
d001.s018.t006	cisplatin	cisplatin	N	সিস্প্লাটিনের	সিস্প্লাটিন	NP	bn:00577781n	1	1	Cisplatin is a chemotherapy medication used to treat a number of cancers.	d001.s018.t001					
d001.s018.t007	,		X	,	,		n/a			n/a	d001.s018.t006					
d001.s018.t008	an		X	একটি	একটি	JQ	n/a			n/a	d001.s018.t007					
d001.s018.t009	anti-emetic	anti-emetic	J	এন্টি-ইমেটিক	এন্টি-ইমেটিক	NC	n/a			n/a	d001.s018.t008					
d001.s018.t010	medicine	medicine	N	ওষুধ	ওষুধ	PU	bn:00054128n	1	1	(medicine) something that treats or prevents or alleviates the symptoms of disease	d001.s018.t009					
d001.s018.t011	(		X	(	(	RDS	n/a			n/a	d001.s018.t010					
d001.s018.t012	to		X	জন্য	জন্য	PP	n/a			n/a	d001.s018.t014					
d001.s018.t013	prevent	prevent	V	প্রতিরোধ	প্রতিরোধ	NC	bn:00088454v	1	1	Keep from happening or arising; make impossible	d001.s018.t012					
d001.s018.t014	vomiting	vomit	V	বমি+করার	বমি+করা	NC+NV	bn:00083115v	1	1	Eject the contents of the stomach through the mouth	d001.s018.t011+d001.s018.t013	First word matches				
d001.s018.t015	)		X	)	)	RDS	n/a			n/a	d001.s018.t015					
d001.s018.t016	and		X	এবং	এবং	CCD	n/a			n/a	d001.s018.t016					
d001.s018.t017	fluids	fluid	N	ওষুধ+তরল	ওষুধ+তরল	NC+JJ	bn:00035426n	1	1	A substance that is fluid at room temperature and pressure	d001.s018.t009+d001.s018.t017	Second word matches				
d001.s018.t018	(		X	(	(	RDS	n/a			n/a	d001.s018.t010					
d001.s018.t019	to		X	করার	করা	NV	n/a			n/a	d001.s018.t013					
d001.s018.t020	prevent	prevent	V	প্রতিরোধ	প্রতিরোধ	NC	bn:00088454v	1	1	Keep from happening or arising; make impossible	d001.s018.t012					
d001.s018.t021	dehydration	dehydration	N	ডিহাইড্রেশন	ডিহাইড্রেশন	NC	bn:00025983n	1	1	Depletion of bodily fluids	d001.s018.t019					
d001.s018.t022	)		X	)	)	RDS	n/a			n/a	d001.s018.t015					
d001.s018.t023	should		X	উচিত	উচিত	JJ	n/a			n/a	d001.s018.t030					
d001.s018.t024	also	also	R	জন্য	জন্য	PP	bn:00114246r	0	0	In addition	d001.s018.t022	The English word doesn't have any Bengali synonyms	In addition	in addition	bn:00114246r	In addition
d001.s018.t025	be	be	V	এন্টি-ইমেটিক	এন্টি-ইমেটিক	NC	n/a			n/a	d001.s018.t008					
d001.s018.t026	given	give	V	দেওয়া	দেওয়া	NV	bn:00088826v	1	1	Give (as medicine)	d001.s018.t004					
d001.s018.t027	before	before	R	আগে	আগে	NST	bn:00114512r	1	1	Earlier in time; previously	d001.s018.t026					
d001.s018.t028	or		X	বা	বা	CCD	n/a			n/a	d001.s018.t027					
d001.s018.t029	after	after	R	পরে	পরে	NST	bn:00114165r	1	1	Happening at a time subsequent to a reference time	d001.s018.t028					
d001.s018.t030	the		X	ডোজের	ডোজের	NC	n/a			n/a	d001.s018.t025					
d001.s018.t031	cisplatin	cisplatin	N	সিস্প্লাটিন	সিস্প্লাটিন	NC	bn:00577781n	1	1	Cisplatin is a chemotherapy medication used to treat a number of cancers.	d001.s018.t024					
d001.s018.t032	dose	dose	N	ডোজের	ডোজ	NC	bn:00028320n	1	1	A measured portion of medicine taken at any one time	d001.s018.t025					
d001.s018.t033	.		X	তরল+।	তরল+।	JJ+PU	n/a			n/a	d001.s018.t017+d001.s018.t031					
d001.s019.t001	Treatment	treatment	N	চিকিৎসা	চিকিৎসা	NC	bn:00047235n	1	1	Care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)	d001.s019.t013					
d001.s019.t002	should		X	উচিত	উচিত	JJ	n/a			n/a	d001.s019.t023					
d001.s019.t003	be	be	V	করা	করা	NV	n/a			n/a	d001.s019.t017					
d001.s019.t004	delayed	delay	V	বিলম্বিত	বিলম্বিত	JJ	bn:00086514v	1	1	Cause to be slowed down or delayed	d001.s019.t014					
d001.s019.t005	or		X	অথবা	অথবা	CSB	n/a			n/a	d001.s019.t015					
d001.s019.t006	discontinued	discontinue	V	বন্ধ+করা+হ্রাস	বন্ধ+করা+হ্রাস	JJ+NV+NC	bn:00083908v	1	1	Prevent completion	d001.s019.t016+d001.s019.t017+d001.s019.t021	First word matches				
