New ID	Token	Lemma	POS	Old ID
d001.s035.t006	average	average	ADJ	d001.s036.t006
d001.s035.t007	survival	survival	NOUN	d001.s036.t007
d001.s035.t008	time	time	NOUN	d001.s036.t008
	was	be	VERB	
	10.3	10.3	NUM	
d001.s035.t009	months	month	NOUN	d001.s036.t009
	in	in	ADP	
	both	both	DET	
d001.s035.t010	groups	group	NOUN	d001.s036.t010
	.	.	.	
d001.s036.t001	However	however	ADV	d001.s037.t001
	,	,	.	
	in	in	ADP	
	both	both	DET	
d001.s036.t002	studies	study	NOUN	d001.s037.t002
	,	,	.	
d001.s036.t003	patients	patient	NOUN	d001.s037.t003
	whose	whose	PRON	
d001.s036.t004	cancer	cancer	NOUN	d001.s037.t004
	was	be	VERB	
d001.s036.t005	not	not	ADV	d001.s037.t005
d001.s036.t006	affecting	affect	VERB	d001.s037.t006
d001.s036.t007	squamous cells	squamous_cell	NOUN	d001.s037.t007
d001.s036.t008	had	have	VERB	d001.s037.t008
d001.s036.t009	longer	long	ADJ	d001.s037.t009
d001.s036.t010	survival	survival	NOUN	d001.s037.t010
d001.s036.t011	times	time	NOUN	d001.s037.t011
	if	if	ADP	
	they	they	PRON	
	received	receive	VERB	
	Alimta	alimta	NOUN	
	than	than	ADP	
	if	if	ADP	
	they	they	PRON	
	received	receive	VERB	
	the	the	DET	
	comparator	comparator	NOUN	
	.	.	.	
	In	in	ADP	
d001.s037.t001	contrast	contrast	NOUN	d001.s038.t001
	,	,	.	
d001.s037.t002	patients	patient	NOUN	d001.s038.t002
	whose	whose	PRON	
d001.s037.t003	cancer	cancer	NOUN	d001.s038.t003
	was	be	VERB	
d001.s037.t004	affecting	affect	VERB	d001.s038.t004
d001.s037.t005	squamous cells	squamous_cell	NOUN	d001.s038.t005
d001.s037.t006	had	have	VERB	d001.s038.t006
d001.s037.t007	shorter	short	ADJ	d001.s038.t007
d001.s037.t008	survival	survival	NOUN	d001.s038.t008
d001.s037.t009	times	time	NOUN	d001.s038.t009
	if	if	ADP	
	they	they	PRON	
	received	receive	VERB	
	Alimta	alimta	NOUN	
	.	.	.	
	kalgebra	kalgebra	NOUN	
	is	be	VERB	
	a	a	DET	
d001.s037.t010	mathematical	mathematical	ADJ	d002.s001.t001
	calculator	calculator	NOUN	
d001.s037.t011	based	base	VERB	d002.s001.t002
	on	on	ADP	
	content	content	NOUN	
d001.s037.t012	markup	markup	NOUN	d002.s001.t003
	MathML	mathml	NOUN	
	language	language	NOUN	
	.	.	.	
d001.s038.t001	Nowadays	nowadays	ADV	d002.s002.t001
	it	it	PRON	
	is	be	VERB	
d001.s038.t002	capable	capable	ADJ	d002.s002.t002
	to	to	PRT	
d001.s038.t003	make	make	VERB	d002.s002.t003
d001.s038.t004	simple	simple	ADJ	d002.s002.t004
	MathML	mathml	NOUN	
d001.s038.t005	operations	operation	NOUN	d002.s002.t005
	(	(	.	
d001.s038.t006	arithmetic	arithmetic	ADJ	d002.s002.t006
	and	and	CONJ	
	logical	logical	ADJ	
	)	)	.	
	and	and	CONJ	
	to	to	PRT	
	representate	representate	VERB	
	2D	2d	NOUN	
	and	and	CONJ	
d001.s038.t007	3D	3d	NOUN	d002.s002.t007
d001.s038.t008	graphs	graph	NOUN	d002.s002.t008
	.	.	.	
	It	it	PRON	
	is	be	VERB	
d001.s039.t001	actually	actually	ADV	d002.s003.t001
d001.s039.t002	not	not	ADV	d002.s003.t002
d001.s039.t003	necessary	necessary	ADJ	d002.s003.t003
	to	to	PRT	
d001.s039.t004	know	know	VERB	d002.s003.t004
	MathML	mathml	NOUN	
	to	to	PRT	
d001.s039.t005	use	use	VERB	d002.s003.t005
	kalgebra	kalgebra	NOUN	
	.	.	.	
	kalgebra	kalgebra	NOUN	
	is	be	VERB	
	a	a	DET	
	MathML	mathml	NOUN	
d001.s039.t006	based	base	VERB	d002.s004.t001
d001.s039.t007	graph	graph	NOUN	d002.s004.t002
	calculator	calculator	NOUN	
	.	.	.	
	Although	although	ADP	
	it	it	PRON	
	was	be	VERB	
d001.s040.t001	initially	initially	ADV	d002.s005.t001
	MathML	mathml	NOUN	
d001.s040.t002	oriented	orient	VERB	d002.s005.t002
	it	it	PRON	
	can	can	VERB	
d001.s040.t003	now	now	ADV	d002.s005.t003
	be	be	VERB	
d001.s040.t004	used	use	VERB	d002.s005.t004
	by	by	ADP	
	everyone	everyone	NOUN	
	with	with	ADP	
d001.s040.t005	little	little	ADJ	d002.s005.t005
d001.s040.t006	mathematical	mathematical	ADJ	d002.s005.t006
d001.s040.t007	knowledge	knowledge	NOUN	d002.s005.t007
	.	.	.	
d001.s041.t001	Here	here	ADV	d002.s006.t001
	's	'	VERB	
	a	a	DET	
	screenshot	screenshot	NOUN	
	of	of	ADP	
	kalgebra	kalgebra	NOUN	
d001.s041.t002	main	main	ADJ	d002.s006.t002
d001.s041.t003	window	window	NOUN	d002.s006.t003
	kalgebra	kalgebra	NOUN	
d001.s041.t004	main	main	ADJ	d002.s007.t001
d001.s041.t005	window	window	NOUN	d002.s007.t002
	kalgebra	kalgebra	NOUN	
d001.s041.t006	main	main	ADJ	d002.s008.t001
d001.s041.t007	window	window	NOUN	d002.s008.t002
d001.s041.t008	consists	consist	VERB	d002.s008.t003
	in	in	ADP	
	a	a	DET	
d001.s041.t009	Console	console	NOUN	d002.s008.t004
	tab	tab	NOUN	
	,	,	.	
	a	a	DET	
	2D	2d	NOUN	
d001.s041.t010	Graph	graph	NOUN	d002.s008.t005
	tab	tab	NOUN	
	,	,	.	
	a	a	DET	
d001.s041.t011	3D	3d	NOUN	d002.s008.t006
d001.s041.t012	Graph	graph	NOUN	d002.s008.t007
	tab	tab	NOUN	
	and	and	CONJ	
	a	a	DET	
d001.s041.t013	Dictionary	dictionary	NOUN	d002.s008.t008
	tab	tab	NOUN	
	.	.	.	
d001.s042.t001	Below	below	ADV	d002.s009.t001
	these	these	DET	
	tabs	tab	NOUN	
	you	you	PRON	
	will	will	VERB	
d001.s042.t002	find	find	VERB	d002.s009.t002
	an	a	DET	
d001.s042.t003	input	input	NOUN	d002.s009.t003
d001.s042.t004	field	field	NOUN	d002.s009.t004
	to	to	PRT	
d001.s042.t005	type	type	VERB	d002.s009.t005
	your	you	PRON	
d001.s042.t006	functions	function	NOUN	d002.s009.t006
	or	or	CONJ	
d001.s042.t007	do	do	VERB	d002.s009.t007
	your	you	PRON	
d001.s042.t008	calculations	calculation	NOUN	d002.s009.t008
	.	.	.	
	If	if	ADP	
	we	we	PRON	
d001.s043.t001	want	want	VERB	d002.s010.t001
	to	to	PRT	
d001.s043.t002	understand	understand	VERB	d002.s010.t002
	how	how	ADV	
	it	it	PRON	
d001.s043.t003	works	work	VERB	d002.s010.t003
	,	,	.	
	the	the	DET	
d001.s043.t004	best	best	ADJ	d002.s010.t004
d001.s043.t005	thing	thing	NOUN	d002.s010.t005
	we	we	PRON	
	can	can	VERB	
d001.s043.t006	do	do	VERB	d002.s010.t006
	is	be	VERB	
	to	to	PRT	
d001.s043.t007	realize	realize	VERB	d002.s010.t007
	that	that	DET	
	our	we	PRON	
d001.s043.t008	input	input	NOUN	d002.s010.t008
	is	be	VERB	
	being	be	VERB	
d001.s043.t009	converted	convert	VERB	d002.s010.t009
	into	into	ADP	
	MathML	mathml	NOUN	
	although	although	ADP	
	it	it	PRON	
	is	be	VERB	
d001.s043.t010	not	not	ADV	d002.s010.t010
d001.s043.t011	necessary	necessary	ADJ	d002.s010.t011
	to	to	PRT	
d001.s043.t012	know	know	VERB	d002.s010.t012
	MathML	mathml	NOUN	
	.	.	.	
	I	I	PRON	
	have	have	VERB	
d001.s044.t001	based	base	VERB	d002.s011.t001
	the	the	DET	
	syntax	syntax	NOUN	
d001.s044.t002	basically	basically	ADV	d002.s011.t002
	on	on	ADP	
d001.s044.t003	common sense	common_sense	NOUN	d002.s011.t003
	,	,	.	
	it	it	PRON	
	should	should	VERB	
d001.s044.t004	not	not	ADV	d002.s011.t004
	be	be	VERB	
d001.s044.t005	hard	hard	ADJ	d002.s011.t005
	for	for	ADP	
	anyone	anyone	NOUN	
	.	.	.	
	I	I	PRON	
	ve	ve	VERB	
d001.s045.t001	looked	look	VERB	d002.s012.t001
d001.s045.t002	closely	closely	ADV	d002.s012.t002
	to	to	PRT	
	maxima	maximum	NOUN	
	and	and	CONJ	
	maple	maple	VERB	
	s	s	NOUN	
	syntax	syntax	NOUN	
	so	so	ADP	
	they	they	PRON	
d001.s045.t003	look	look	VERB	d002.s012.t003
d001.s045.t004	very	very	ADV	d002.s012.t004
d001.s045.t005	similar	similar	ADJ	d002.s012.t005
	.	.	.	
	+	+	.	
	-	-	.	
	*	*	.	
	/	/	.	
	:	:	.	
d001.s045.t006	Addition	addition	NOUN	d002.s013.t001
	,	,	.	
d001.s045.t007	subtraction	subtraction	NOUN	d002.s013.t002
	,	,	.	
d001.s045.t008	multiplication	multiplication	NOUN	d002.s013.t003
	and	and	CONJ	
d001.s045.t009	division	division	NOUN	d002.s013.t004
	.	.	.	
	^	^	.	
	,	,	.	
	**	**	.	
	:	:	.	
d001.s045.t010	Power	power	NOUN	d002.s014.t001
	,	,	.	
	you	you	PRON	
	can	can	VERB	
d001.s045.t011	use	use	VERB	d002.s014.t002
	them	they	PRON	
	both	both	DET	
	.	.	.	
d001.s046.t001	Also	also	ADV	d002.s015.t001
	it	it	PRON	
	is	be	VERB	
d001.s046.t002	possible	possible	ADJ	d002.s015.t002
	to	to	PRT	
d001.s046.t003	use	use	VERB	d002.s015.t003
	the	the	DET	
	unicode	unicode	X	
	²	²	X	
	characters	character	NOUN	
	.	.	.	
d001.s047.t001	Powers	power	NOUN	d002.s016.t001
	are	be	VERB	
	one	one	NUM	
d001.s047.t002	way	way	NOUN	d002.s016.t002
	to	to	PRT	
d001.s047.t003	make	make	VERB	d002.s016.t003
d001.s047.t004	roots	root	NOUN	d002.s016.t004
d001.s047.t005	too	too	ADV	d002.s016.t005
	.	.	.	
	-gt	-gt	NOUN	
	:	:	.	
	It	it	PRON	
	s	s	VERB	
	the	the	DET	
d001.s047.t006	way	way	NOUN	d002.s017.t001
	to	to	PRT	
d001.s047.t007	specify	specify	VERB	d002.s017.t002
	the	the	DET	
d001.s047.t008	bounded	bounded	ADJ	d002.s017.t003
d001.s047.t009	variable	variable	NOUN	d002.s017.t004
	in	in	ADP	
	a	a	DET	
d001.s047.t010	function	function	NOUN	d002.s017.t005
	.	.	.	
	(	(	.	
	)	)	.	
	:	:	.	
	It	it	PRON	
	is	be	VERB	
d001.s047.t011	used	use	VERB	d002.s018.t001
	to	to	PRT	
d001.s047.t012	specify	specify	VERB	d002.s018.t002
	a	a	DET	
d001.s047.t013	higher	high	ADJ	d002.s018.t003
d001.s047.t014	priority	priority	NOUN	d002.s018.t004
	.	.	.	
	abc(params)	abc(params)	NOUN	
	:	:	.	
	When	when	ADV	
	the	the	DET	
d001.s047.t015	parser	parser	NOUN	d002.s019.t001
d001.s047.t016	finds	find	VERB	d002.s019.t002
	a	a	DET	
d001.s047.t017	function	function	NOUN	d002.s019.t003
	,	,	.	
	it	it	PRON	
d001.s047.t018	checks	check	VERB	d002.s019.t004
	if	if	ADP	
	abc	abc	NOUN	
	is	be	VERB	
	an	a	DET	
d001.s047.t019	operator	operator	NOUN	d002.s019.t005
	.	.	.	
	If	if	ADP	
	it	it	PRON	
	is	be	VERB	
	,	,	.	
	it	it	PRON	
	will	will	VERB	
	be	be	VERB	
d001.s048.t001	treated	treat	VERB	d002.s020.t001
	as	as	ADP	
	an	a	DET	
d001.s048.t002	operator	operator	NOUN	d002.s020.t002
	,	,	.	
	if	if	ADP	
	it	it	PRON	
	is	be	VERB	
d001.s048.t003	not	not	ADV	d002.s020.t003
	,	,	.	
	it	it	PRON	
	will	will	VERB	
	be	be	VERB	
d001.s048.t004	treated	treat	VERB	d002.s020.t004
	as	as	ADP	
	a	a	DET	
d001.s048.t005	user	user	NOUN	d002.s020.t005
d001.s048.t006	function	function	NOUN	d002.s020.t006
	.	.	.	
	:	:	.	
	=	=	.	
	:	:	.	
	It	it	PRON	
	is	be	VERB	
d001.s048.t007	used	use	VERB	d002.s021.t001
	to	to	PRT	
d001.s048.t008	define	define	VERB	d002.s021.t002
	a	a	DET	
	variable	variable	ADJ	
d001.s048.t009	value	value	NOUN	d002.s021.t003
	.	.	.	
	?	?	.	
	:	:	.	
	Piecewise	piecewise	ADJ	
d001.s048.t010	condition	condition	NOUN	d002.s022.t001
d001.s048.t011	definition	definition	NOUN	d002.s022.t002
	.	.	.	
	Piecewise	piecewise	NOUN	
	is	be	VERB	
	the	the	DET	
d001.s049.t001	way	way	NOUN	d002.s023.t001
	we	we	PRON	
	can	can	VERB	
d001.s049.t002	define	define	VERB	d002.s023.t002
d001.s049.t003	conditional	conditional	ADJ	d002.s023.t003
d001.s049.t004	operations	operation	NOUN	d002.s023.t004
	in	in	ADP	
	kalgebra	kalgebra	NOUN	
	.	.	.	
	If	if	ADP	
	we	we	PRON	
d001.s050.t001	introduce	introduce	VERB	d002.s024.t001
	the	the	DET	
d001.s050.t002	condition	condition	NOUN	d002.s024.t002
	before	before	ADP	
	the	the	DET	
	?	?	.	
	it	it	PRON	
	will	will	VERB	
d001.s050.t003	use	use	VERB	d002.s024.t003
	this	this	DET	
d001.s050.t004	condition	condition	NOUN	d002.s024.t004
d001.s050.t005	only if	only_if	ADV	d002.s024.t005
	it	it	PRON	
	is	be	VERB	
d001.s050.t006	true	true	ADJ	d002.s024.t006
	,	,	.	
	if	if	ADP	
	it	it	PRON	
d001.s050.t007	finds	find	VERB	d002.s024.t007
	a	a	DET	
	?	?	.	
	without	without	ADP	
	any	any	DET	
d001.s050.t008	condition	condition	NOUN	d002.s024.t008
	,	,	.	
	it	it	PRON	
	will	will	VERB	
d001.s050.t009	enter	enter	VERB	d002.s024.t009
	in	in	ADP	
	the	the	DET	
d001.s050.t010	last	last	ADJ	d002.s024.t010
d001.s050.t011	wf	wf	NOUN	d002.s024.t011
	.	.	.	
	{	{	.	
	}	}	.	
	:	:	.	
	MathML	mathml	NOUN	
	container	container	NOUN	
	.	.	.	
	It	it	PRON	
	can	can	VERB	
	be	be	VERB	
d001.s050.t012	used	use	VERB	d002.s026.t001
	to	to	PRT	
d001.s050.t013	define	define	VERB	d002.s026.t002
	a	a	DET	
	container	container	NOUN	
	.	.	.	
d001.s051.t001	Mainly	mainly	ADV	d002.s027.t001
d001.s051.t002	useful	useful	ADJ	d002.s027.t002
	for	for	ADP	
d001.s051.t003	working	work	VERB	d002.s027.t003
	with	with	ADP	
	piecewise	piecewise	NOUN	
	.	.	.	
d001.s052.t001	Now	now	ADV	d002.s028.t001
	you	you	PRON	
	could	could	VERB	
d001.s052.t002	ask	ask	VERB	d002.s028.t002
	me	I	PRON	
	,	,	.	
	why	why	ADV	
	should	should	VERB	
	the	the	DET	
d001.s052.t003	user	user	NOUN	d002.s028.t003
	mind	mind	NOUN	
	about	about	ADP	
	MathML	mathml	NOUN	
	?	?	.	
	That	that	DET	
	s	s	VERB	
d001.s052.t004	easy	easy	ADJ	d002.s029.t001
	.	.	.	
	With	with	ADP	
	this	this	DET	
	,	,	.	
	we	we	PRON	
	can	can	VERB	
d001.s052.t005	operate	operate	VERB	d002.s029.t002
	with	with	ADP	
d001.s052.t006	functions	function	NOUN	d002.s029.t003
	like	like	ADP	
d001.s052.t007	cos()	cos	NOUN	d002.s029.t004
	,	,	.	
d001.s052.t008	sin()	sin	NOUN	d002.s029.t005
	,	,	.	
	any	any	DET	
d001.s052.t009	other	other	ADJ	d002.s029.t006
d001.s052.t010	trigonometric	trigonometric	ADJ	d002.s029.t007
d001.s052.t011	functions	function	NOUN	d002.s029.t008
	,	,	.	
d001.s052.t012	sum	sum	NOUN	d002.s029.t009
	()	()	.	
	or	or	CONJ	
d001.s052.t013	product	product	NOUN	d002.s029.t010
	()	()	.	
	.	.	.	
	It	it	PRON	
	does	do	VERB	
d001.s053.t001	not	not	ADV	d002.s030.t001
d001.s053.t002	matter	matter	VERB	d002.s030.t002
	what	what	DET	
d001.s053.t003	kind	kind	NOUN	d002.s030.t003
	it	it	PRON	
	is	be	VERB	
	.	.	.	
	We	we	PRON	
	can	can	VERB	
d001.s054.t001	use	use	VERB	d002.s031.t001
d001.s054.t002	plus()	plus	NOUN	d002.s031.t002
	,	,	.	
d001.s054.t003	times()	times	NOUN	d002.s031.t003
	and	and	CONJ	
	everything	everything	NOUN	
	which	which	DET	
d001.s054.t004	has	have	VERB	d002.s031.t004
	its	its	PRON	
d001.s054.t005	operator	operator	NOUN	d002.s031.t005
	.	.	.	
	kalgebra	kalgebra	NOUN	
	's	's	PRT	
	console	console	NOUN	
	is	be	VERB	
d001.s054.t006	useful	useful	ADJ	d002.s032.t001
	as	as	ADP	
	a	a	DET	
	calculator	calculator	NOUN	
	.	.	.	
d001.s055.t001	There	there	ADV	d002.s033.t001
	you	you	PRON	
d001.s055.t002	have	have	VERB	d002.s033.t002
	a	a	DET	
d001.s055.t003	list	list	NOUN	d002.s033.t003
	of	of	ADP	
	the	the	DET	
	declared	declare	VERB	
d001.s055.t004	variables	variable	NOUN	d002.s033.t004
	.	.	.	
	By	by	ADP	
	double	double	ADV	
	clicking	click	VERB	
	on	on	ADP	
	them	they	PRON	
	you	you	PRON	
	will	will	VERB	
d001.s056.t001	see	see	VERB	d002.s034.t001
	a	a	DET	
	dialog	dialog	NOUN	
	that	that	DET	
d001.s056.t002	lets	let	VERB	d002.s034.t002
	you	you	PRON	
d001.s056.t003	change	change	VERB	d002.s034.t003
	their	they	PRON	
d001.s056.t004	values	value	NOUN	d002.s034.t004
	(	(	.	
d001.s056.t005	just	just	ADV	d002.s034.t005
	a	a	DET	
d001.s056.t006	way	way	NOUN	d002.s034.t006
	to	to	PRT	
d001.s056.t007	trick	trick	VERB	d002.s034.t007
	the	the	DET	
d001.s056.t008	log	log	NOUN	d002.s034.t008
	)	)	.	
	.	.	.	
	Every	every	DET	
d001.s057.t001	time	time	NOUN	d002.s035.t001
	you	you	PRON	
d001.s057.t002	enter	enter	VERB	d002.s035.t002
	an	a	DET	
d001.s057.t003	expression	expression	NOUN	d002.s035.t003
	,	,	.	
	the	the	DET	
	""""	""""	.	
	ans	an	NOUN	
	""""	""""	.	
d001.s057.t004	variable	variable	NOUN	d002.s035.t004
d001.s057.t005	value	value	NOUN	d002.s035.t005
	will	will	VERB	
	be	be	VERB	
d001.s057.t006	changed	change	VERB	d002.s035.t006
	to	to	PRT	
	the	the	DET	
d001.s057.t007	last	last	ADJ	d002.s035.t007
d001.s057.t008	result	result	NOUN	d002.s035.t008
	.	.	.	
	Ctrl	ctrl	NOUN	
	N	n	NOUN	
d001.s058.t001	New	new	ADJ	d002.s036.t001
d001.s058.t002	Window	window	NOUN	d002.s036.t002
	Flushes	flush	VERB	
	the	the	DET	
d001.s059.t001	log	log	NOUN	d002.s037.t001
	.	.	.	
	Ctrl	ctrl	NOUN	
	L	l	NOUN	
d001.s060.t001	Load	load	VERB	d002.s038.t001
	Script	script	NOUN	
d001.s061.t001	Executes	execute	VERB	d002.s039.t001
	the	the	DET	
d001.s061.t002	instructions	instruction	NOUN	d002.s039.t002
	in	in	ADP	
	a	a	DET	
d001.s061.t003	file	file	NOUN	d002.s039.t003
d001.s061.t004	sequentially	sequentially	ADV	d002.s039.t004
	.	.	.	
d001.s062.t001	Nice	nice	ADJ	d002.s040.t001
	if	if	ADP	
	you	you	PRON	
d001.s062.t002	want	want	VERB	d002.s040.t002
	to	to	PRT	
d001.s062.t003	define	define	VERB	d002.s040.t003
	some	some	DET	
d001.s062.t004	libraries	library	NOUN	d002.s040.t004
	or	or	CONJ	
d001.s062.t005	resume	resume	VERB	d002.s040.t005
	some	some	DET	
d001.s062.t006	previous	previous	ADJ	d002.s040.t006
d001.s062.t007	work	work	NOUN	d002.s040.t007
	.	.	.	
	Ctrl	ctrl	NOUN	
	G	g	NOUN	
d001.s063.t001	Save	save	VERB	d002.s041.t001
	Script	script	NOUN	
d001.s064.t001	Saves	save	VERB	d002.s042.t001
	the	the	DET	
d001.s064.t002	instructions	instruction	NOUN	d002.s042.t002
	you	you	PRON	
	have	have	VERB	
d001.s064.t003	typed	type	VERB	d002.s042.t003
	since	since	ADP	
	the	the	DET	
	session	session	NOUN	
d001.s064.t004	began	begin	VERB	d002.s042.t004
	to	to	PRT	
	be	be	VERB	
d001.s064.t005	able	able	ADJ	d002.s042.t005
	to	to	PRT	
d001.s064.t006	reuse	reuse	VERB	d002.s042.t006
	.	.	.	
d001.s065.t001	Generates	generate	VERB	d002.s043.t001
d001.s065.t002	text files	text_file	NOUN	d002.s043.t002
	so	so	ADP	
	it	it	PRON	
	should	should	VERB	
	be	be	VERB	
d001.s065.t003	easy	easy	ADJ	d002.s043.t003
	to	to	PRT	
d001.s065.t004	fix	fix	VERB	d002.s043.t004
d001.s065.t005	using	use	VERB	d002.s043.t005
	any	any	DET	
d001.s065.t006	text editor	text_editor	NOUN	d002.s043.t006
	,	,	.	
	like	like	ADP	
	Kate	kate	NOUN	
	.	.	.	
	Ctrl	ctrl	NOUN	
	S	s	NOUN	
d001.s066.t001	Save	save	VERB	d002.s044.t001
d001.s066.t002	Log	log	NOUN	d002.s044.t002
d001.s067.t001	Saves	save	VERB	d002.s045.t001
	the	the	DET	
d001.s067.t002	log	log	NOUN	d002.s045.t002
	with	with	ADP	
	all	all	DET	
d001.s067.t003	results	result	NOUN	d002.s045.t003
	into	into	ADP	
	an	a	DET	
d001.s067.t004	HTML	html	NOUN	d002.s045.t004
	file	file	NOUN	
	to	to	PRT	
	be	be	VERB	
d001.s067.t005	able	able	ADJ	d002.s045.t005
	to	to	PRT	
d001.s067.t006	print	print	VERB	d002.s045.t006
	or	or	CONJ	
d001.s067.t007	publish	publish	VERB	d002.s045.t007
	.	.	.	
	Ctrl	ctrl	NOUN	
	Q	q	NOUN	
d001.s068.t001	Quit	quit	VERB	d002.s046.t001
	Shuts	shut	VERB	
	the	the	DET	
d001.s069.t001	program	program	NOUN	d002.s047.t001
d001.s069.t002	down	down	ADV	d002.s047.t002
	.	.	.	
	To	to	PRT	
d001.s070.t001	add	add	VERB	d002.s048.t001
	a	a	DET	
d001.s070.t002	new	new	ADJ	d002.s048.t002
	2D	2d	NOUN	
d001.s070.t003	graph	graph	NOUN	d002.s048.t003
	on	on	ADP	
	kalgebra	kalgebra	NOUN	
	,	,	.	
	what	what	PRON	
	you	you	PRON	
	have	have	VERB	
	to	to	PRT	
d001.s070.t004	do	do	VERB	d002.s048.t004
	is	be	VERB	
	to	to	PRT	
d001.s070.t005	go	go	VERB	d002.s048.t005
	to	to	PRT	
	the	the	DET	
	2D	2d	NOUN	
d001.s070.t006	Graph	graph	NOUN	d002.s048.t006
	tab	tab	NOUN	
	and	and	CONJ	
	click	click	VERB	
	in	in	ADP	
	the	the	DET	
d001.s070.t007	Add	add	VERB	d002.s048.t007
	tab	tab	NOUN	
	to	to	PRT	
d001.s070.t008	add	add	VERB	d002.s048.t008
	the	the	DET	
d001.s070.t009	new	new	ADJ	d002.s048.t009
d001.s070.t010	function	function	NOUN	d002.s048.t010
	.	.	.	
d001.s071.t001	Then	then	ADV	d002.s049.t001
	your	you	PRON	
d001.s071.t002	focus	focus	NOUN	d002.s049.t002
	will	will	VERB	
	go	go	VERB	
	to	to	PRT	
	an	a	DET	
d001.s071.t003	input	input	NOUN	d002.s049.t003
d001.s071.t004	text	text	NOUN	d002.s049.t004
d001.s071.t005	box	box	NOUN	d002.s049.t005
	where	where	ADV	
	you	you	PRON	
	can	can	VERB	
d001.s071.t006	type	type	VERB	d002.s049.t006
	your	you	PRON	
d001.s071.t007	function	function	NOUN	d002.s049.t007
	.	.	.	
	If	if	ADP	
	you	you	PRON	
d001.s072.t001	want	want	VERB	d002.s050.t001
	to	to	PRT	
d001.s072.t002	use	use	VERB	d002.s050.t002
	a	a	DET	
d001.s072.t003	typical	typical	ADJ	d002.s050.t003
	f(x)	f(x)	NOUN	
	function	function	NOUN	
	it	it	PRON	
	is	be	VERB	
d001.s072.t004	not	not	ADV	d002.s050.t004
d001.s072.t005	necessary	necessary	ADJ	d002.s050.t005
	to	to	PRT	
d001.s072.t006	specify	specify	VERB	d002.s050.t006
	it	it	PRON	
	.	.	.	
	If	if	ADP	
	you	you	PRON	
	have	have	VERB	
d001.s073.t001	entered	enter	VERB	d002.s051.t001
	the	the	DET	
d001.s073.t002	function	function	NOUN	d002.s051.t002
	click	click	VERB	
	on	on	ADP	
	the	the	DET	
d001.s073.t003	OK	ok	ADJ	d002.s051.t003
	button	button	NOUN	
	to	to	PRT	
d001.s073.t004	display	display	VERB	d002.s051.t004
	the	the	DET	
d001.s073.t005	graph	graph	NOUN	d002.s051.t005
	in	in	ADP	
	the	the	DET	
d001.s073.t006	main	main	ADJ	d002.s051.t006
d001.s073.t007	window	window	NOUN	d002.s051.t007
	.	.	.	
	You	you	PRON	
	can	can	VERB	
d001.s074.t001	set	set	VERB	d002.s052.t001
d001.s074.t002	several	several	ADJ	d002.s052.t002
d001.s074.t003	graphs	graph	NOUN	d002.s052.t003
	on	on	ADP	
	the	the	DET	
d001.s074.t004	same	same	ADJ	d002.s052.t004
d001.s074.t005	view	view	NOUN	d002.s052.t005
	.	.	.	
d001.s075.t001	Just	just	ADV	d002.s053.t001
d001.s075.t002	use	use	VERB	d002.s053.t002
	the	the	DET	
d001.s075.t003	Add	add	VERB	d002.s053.t003
	button	button	NOUN	
	when	when	ADV	
	you	you	PRON	
	are	be	VERB	
	in	in	ADP	
d001.s075.t004	List	list	NOUN	d002.s053.t004
d001.s075.t005	mode	mode	NOUN	d002.s053.t005
	.	.	.	
	You	you	PRON	
	can	can	VERB	
d001.s076.t001	set	set	VERB	d002.s054.t001
	each	each	DET	
d001.s076.t002	graph	graph	NOUN	d002.s054.t002
	its	its	PRON	
	own	own	ADJ	
d001.s076.t003	color	color	NOUN	d002.s054.t003
	.	.	.	
	The	the	DET	
d001.s077.t001	Foundation	foundation	NOUN	d003.s002.t001
	has	have	VERB	
d001.s077.t002	recently	recently	ADV	d003.s002.t002
	been	be	VERB	
d001.s077.t003	involved	involve	VERB	d003.s002.t003
	in	in	ADP	
d001.s077.t004	organising	organise	VERB	d003.s002.t004
	a	a	DET	
d001.s077.t005	conference	conference	NOUN	d003.s002.t005
	which	which	DET	
d001.s077.t006	dealt	deal	VERB	d003.s002.t006
	with	with	ADP	
	this	this	DET	
d001.s077.t007	critical	critical	ADJ	d003.s002.t007
d001.s077.t008	challenge	challenge	NOUN	d003.s002.t008
	.	.	.	
	Over	over	ADP	
	100	100	NUM	
d001.s078.t001	participants	participant	NOUN	d003.s003.t001
	from	from	ADP	
	the	the	DET	
d001.s078.t002	main	main	ADJ	d003.s003.t002
d001.s078.t003	interest groups	interest_group	NOUN	d003.s003.t003
d001.s078.t004	attended	attend	VERB	d003.s003.t004
	and	and	CONJ	
d001.s078.t005	debated	debate	VERB	d003.s003.t005
d001.s078.t006	issues	issue	NOUN	d003.s003.t006
	such	such	ADJ	
	as	as	ADP	
	the	the	DET	
d001.s078.t007	role	role	NOUN	d003.s003.t007
	of	of	ADP	
d001.s078.t008	key	key	ADJ	d003.s003.t008
d001.s078.t009	actors	actor	NOUN	d003.s003.t009
d001.s078.t010	including	include	VERB	d003.s003.t010
d001.s078.t011	public	public	ADJ	d003.s003.t011
d001.s078.t012	authorities	authority	NOUN	d003.s003.t012
	,	,	.	
d001.s078.t013	social	social	ADJ	d003.s003.t013
	partners	partner	NOUN	
	,	,	.	
d001.s078.t014	voluntary	voluntary	ADJ	d003.s003.t014
	and	and	CONJ	
d001.s078.t015	community	community	NOUN	d003.s003.t015
