d001.s001.t001	document%1:10:00::
d001.s086.t015	worker%1:18:00::
d001.s086.t016	work%1:04:01::
d001.s086.t017	place%1:15:04::
d001.s086.t018	community%1:14:00::
d001.s087.t001	country%1:15:00::
d001.s087.t002	initiative%1:04:00::
d001.s087.t003	select%2:31:00::
d001.s087.t004	further%5:00:00:far:00
d001.s087.t005	depth%1:07:01::
d001.s087.t006	case_study%1:10:00::
d001.s088.t001	case_study%1:10:00::
d001.s088.t002	analyse%2:31:04::
d001.s088.t003	background%1:26:00::
d001.s088.t004	initiative%1:04:00::
d001.s088.t005	impact%1:19:00::
d001.s088.t006	employment%1:04:02::
d001.s088.t007	pattern%1:09:01::
d001.s088.t008	work%1:04:00::
d001.s088.t009	organisation%1:14:01::
d001.s088.t010	assess%2:31:00::
d001.s088.t011	benefit%1:07:00::
d001.s088.t012	problem%1:26:00::
d001.s088.t013	initiative%1:04:00::
d001.s089.t001	visit%1:04:01::
d001.s089.t002	interview%1:10:01::
d001.s089.t003	key%5:00:00:important:00
d001.s089.t004	personnel%1:14:00::
d001.s089.t005	also%4:02:00::
d001.s089.t006	undertake%2:41:01::
d001.s090.t001	national%3:00:00::
d001.s090.t002	study%1:04:00::
d001.s090.t003	form%2:42:00::
d001.s090.t004	basis%1:24:01::
d001.s090.t005	european%3:01:00::
d001.s090.t006	report%1:10:03::
d001.s090.t007	synthesise%2:31:00::
d001.s090.t008	overall%5:00:00:general:00
d001.s090.t009	practice%1:04:00::
d001.s091.t001	report%1:10:03::
d001.s091.t002	casebook%1:10:00::
d001.s091.t003	initiative%1:04:00::
d001.s091.t004	publish%2:36:01::
d001.s091.t005	provide%2:34:00::
d001.s091.t006	conference%1:14:00::
d001.s091.t007	stage%2:36:01::
d001.s091.t008	autumn%1:28:00::
d001.s092.t001	foundation%1:14:00::
d001.s092.t002	aim%2:31:01::
d001.s092.t003	document%2:32:00::
d001.s092.t004	characteristic%1:07:00::
d001.s092.t005	age%1:07:00::
d001.s092.t006	barrier%1:09:00::
d001.s092.t007	job%1:04:00::
d001.s092.t008	recruitment%1:04:00::
d001.s092.t009	training%1:04:00::
d001.s092.t010	analyse%2:31:04::
d001.s092.t011	cause%1:11:00::
d001.s093.t001	perspective%1:09:00::
d001.s093.t002	social%3:01:00::
d001.s093.t003	also%4:02:00::
d001.s093.t004	examine%2:31:00::
d001.s093.t005	particular%5:00:00:uncommon:00
d001.s093.t006	attention%1:09:00::
d001.s093.t007	pay%2:32:00::pay%2:31:00::
d001.s093.t008	proposal%1:10:00::
d001.s093.t009	remove%2:40:00::
d001.s093.t010	age%1:07:00::
d001.s093.t011	barrier%1:09:00::
d001.s094.t001	thirdly%4:02:00::
d001.s094.t002	project%1:09:00::
d001.s094.t003	assess%2:31:00::
d001.s094.t004	initiative%1:04:00::
d001.s094.t005	public%5:00:00:common:02
d001.s094.t006	private%5:00:00:personal:00
d001.s094.t007	sector%1:14:00::
d001.s094.t008	age%1:07:00::
d001.s094.t009	barrier%1:09:00::
d001.s094.t010	especially%4:02:00::
d001.s094.t011	old%3:00:02::
d001.s094.t012	worker%1:18:00::
d001.s095.t001	seek%2:35:00::
d001.s095.t002	alternative%1:09:00::
d001.s095.t003	early%3:00:00::
d001.s095.t004	retirement%1:26:00::
d001.s095.t005	redundancy%1:07:00::
d001.s095.t006	project%1:09:00::
d001.s095.t007	primarily%4:02:01::
d001.s095.t008	concern%2:42:00::
d001.s095.t009	retention%1:04:00::
d001.s095.t010	reintegrate%2:30:00::
d001.s095.t011	retrain%2:31:00::
d001.s095.t012	old%3:00:02::
d001.s095.t013	worker%1:18:00::
d001.s096.t001	gender%1:07:00::
d001.s096.t002	ethnic%5:00:00:social:00
d001.s096.t003	background%1:07:00::
d001.s096.t004	worker%1:18:00::
d001.s096.t005	relate%2:31:00::
d001.s096.t006	age%1:07:00::
d001.s096.t007	discrimination%1:04:00::
d001.s096.t008	examine%2:31:00::
d001.s097.t001	project%1:09:00::
d001.s097.t002	also%4:02:00::
d001.s097.t003	consider%2:32:02::
d001.s097.t004	initiative%1:04:00::
d001.s097.t005	age%1:07:00::
d001.s097.t006	discrimination%1:04:00::
d001.s097.t007	rural_area%1:15:00::
d001.s097.t008	small%5:00:00:limited:00
d001.s097.t009	enterprise%1:14:00::
d001.s098.t001	member%1:14:00::
d001.s098.t002	state%1:14:00::
d001.s098.t003	cover%2:42:02::
d001.s098.t004	project%1:09:00::
d001.s098.t005	united%3:00:00::
d001.s098.t006	kingdom%1:15:01::
d001.s099.t001	document%1:10:00::
d001.s099.t002	summary%1:10:00::
d001.s099.t003	european%3:01:00::
d001.s099.t004	public%3:00:00::
d001.s099.t005	assessment%1:09:00::
d001.s099.t006	report%1:10:03::
d001.s099.t007	explain%2:32:01::
d001.s099.t008	committee%1:14:00::
d001.s099.t009	medicinal%5:00:00:healthful:00
d001.s099.t010	product%1:06:00::
d001.s099.t011	veterinary%1:18:00::
d001.s099.t012	use%1:04:00::
d001.s099.t013	assess%2:31:00::
d001.s099.t014	study%1:04:00::
d001.s099.t015	perform%2:36:00::
d001.s099.t016	reach%2:38:06::
d001.s099.t017	recommendation%1:10:00::
d001.s099.t018	use%2:34:01::
d001.s099.t019	medicine%1:06:00::
d001.s101.t001	contain%2:42:00::
d001.s101.t002	active%3:00:07::
d001.s101.t003	substance%1:03:00::
d001.s101.t004	available%3:00:00::
d001.s101.t005	tablet%1:06:00::
d001.s101.t006	solution%1:27:00::
d001.s101.t007	injection%1:04:01::
d001.s102.t001	tablet%1:06:00::
d001.s102.t002	have%2:40:00::
d001.s102.t003	score%1:25:00::
d001.s102.t004	line%1:25:01::
d001.s102.t005	side%1:08:00::
d001.s102.t006	so%4:02:03::
d001.s102.t007	halve%2:31:00::
d001.s103.t001	tablet%1:06:00::
d001.s103.t002	mark%2:35:01::
d001.s103.t003	logo%1:10:00::
d001.s103.t004	side%1:08:00::
d001.s103.t005	letter%1:10:01::
d001.s103.t006	quantity%1:03:00::
d001.s103.t007	other%3:00:00::
d001.s103.t008	side%1:08:00::
d001.s104.t001	use%2:34:01::
d001.s105.t001	antiemetic%1:06:00::
d001.s105.t002	mean%2:32:01::
d001.s105.t003	stop%2:38:01::
d001.s105.t004	vomit%2:29:00::
d001.s106.t001	use%2:34:01::
d001.s106.t002	dog%1:05:00::
d001.s106.t003	prevent%2:41:01::
d001.s106.t004	vomit%2:29:00::
d001.s106.t005	vomit%2:29:00::
d001.s106.t006	cause%2:36:00::
d001.s106.t007	chemotherapy%1:04:00::
d001.s106.t008	medicine%1:06:00::
d001.s106.t009	use%2:34:01::
d001.s106.t010	treatment%1:04:00::
d001.s106.t011	cancer%1:26:00::
d001.s106.t012	know%2:31:02::
d001.s106.t013	cause%2:36:00::
d001.s106.t014	vomit%2:29:00::
d001.s107.t001	combination%1:14:00::
d001.s107.t002	supportive%3:00:00::
d001.s107.t003	measure%1:04:01::
d001.s107.t004	other%3:00:00::
d001.s107.t005	veterinary%3:01:00::
d001.s107.t006	treatment%1:04:00::
d001.s107.t007	special%5:00:00:specialized:00
d001.s107.t008	diet%1:13:00::
d001.s107.t009	also%4:02:00::
d001.s107.t010	use%2:34:01::
d001.s107.t011	treatment%1:04:00::
d001.s107.t012	vomiting%1:04:00::
d001.s107.t013	injection%1:04:01::
d001.s107.t014	injection%1:04:01::
d001.s107.t015	follow%2:42:03::
d001.s107.t016	tablet%1:06:00::
d001.s108.t001	purpose%1:09:00::
d001.s108.t002	give%2:40:13::
d001.s108.t003	day%1:28:02::
d001.s110.t001	block%2:41:00::
d001.s110.t002	receptor%1:08:01::
d001.s110.t003	act%2:41:00::
d001.s110.t004	central_nervous_system%1:08:00::
d001.s111.t001	study%2:31:02::
d001.s112.t001	large_number%1:23:00::
d001.s112.t002	study%1:04:00::
d001.s112.t003	carry_out%2:36:00::
d001.s112.t004	laboratory%1:06:00::
d001.s112.t005	dog%1:05:00::
d001.s112.t006	patient%1:18:00::
d001.s112.t007	veterinary%3:01:00::
d001.s112.t008	several%5:00:00:some:00
d001.s112.t009	european_country%1:15:00::
d001.s113.t001	benefit%1:07:00::
d001.s113.t002	show%2:32:00::
d001.s113.t003	study%1:04:00::
d001.s114.t001	result%1:11:00::
d001.s114.t002	study%1:04:00::
d001.s114.t003	show%2:32:00::
d001.s114.t004	more%4:02:00::
d001.s114.t005	effective%3:00:00::
d001.s114.t006	placebo%1:06:00::
d001.s114.t007	less%3:00:00::
d001.s114.t008	vomiting%1:04:00::
d001.s114.t009	see%2:32:00::
d001.s114.t010	dog%1:05:00::
d001.s114.t011	receive%2:39:03::
d001.s114.t012	medicine%1:06:00::
d001.s114.t013	dog%1:05:00::
d001.s114.t014	receive%2:39:03::
d001.s114.t015	placebo%1:06:00::
d001.s114.t016	treatment%1:04:00::
d001.s114.t017	prevention%1:04:00::
d001.s114.t018	vomiting%1:04:00::
d001.s115.t001	treatment%1:04:00::
d001.s115.t002	vomiting%1:04:00::
d001.s115.t003	dog%1:05:00::
d001.s115.t004	start%2:41:04::
d001.s115.t005	injection%1:04:01::
d001.s115.t006	vomiting%1:04:00::
d001.s115.t007	animal%1:03:00::
d001.s115.t008	not%4:02:00::
d001.s115.t009	able%5:00:00:capable:00
d001.s115.t010	tablet%1:06:00::
d001.s115.t011	intact%5:00:00:undamaged:00
d001.s115.t012	tablet%1:06:00::
d001.s115.t013	again%4:02:00::
d001.s116.t001	follow-up%1:04:01::
d001.s116.t002	treatment%1:04:00::
d001.s116.t003	owner%1:18:02::
d001.s116.t004	administer%2:29:00::
d001.s116.t005	tablet%1:06:00::
d001.s116.t006	dog%1:05:00::
d001.s117.t001	also%4:02:00::
d001.s117.t002	treatment%1:04:00::
d001.s117.t003	vomiting%1:04:00::
d001.s117.t004	only%4:02:01::
d001.s117.t005	together_with%4:02:00::
d001.s117.t006	other%3:00:00::
d001.s117.t007	supportive%3:00:00::
d001.s117.t008	measure%1:04:01::
d001.s117.t009	other%3:00:00::
d001.s117.t010	veterinary%3:01:00::
d001.s117.t011	therapy%1:04:00::
d001.s117.t012	address%2:34:00::
d001.s117.t013	underlie%2:42:00::
d001.s117.t014	cause%1:11:00::
d001.s117.t015	vomiting%1:04:00::
d001.s118.t001	risk%1:26:00::
d001.s118.t002	associate%2:31:00::
d001.s119.t001	generally%4:02:01::
d001.s119.t002	well%4:02:00::
d001.s119.t003	tolerate%2:39:00::
d001.s119.t004	administer%2:29:00::
d001.s119.t005	daily%4:02:00::
d001.s119.t006	dosage%1:06:00::
d001.s119.t007	time%1:11:00::
d001.s119.t008	recommend%2:32:01::
d001.s119.t009	dose%1:06:00::
d001.s119.t010	extended%5:00:00:long:02
d001.s119.t011	period_of_time%1:28:00::
d001.s119.t012	time%1:11:00::
d001.s119.t013	maximum%3:00:00::
d001.s119.t014	duration%1:28:02::
d001.s119.t015	treatment%1:04:00::
d001.s120.t001	precaution%1:04:00::
d001.s120.t002	person%1:03:00::
d001.s120.t003	give%2:40:13::
d001.s120.t004	medicine%1:06:00::
d001.s120.t005	come_into%2:40:00::
d001.s120.t006	contact%1:04:00::
d001.s120.t007	animal%1:03:00::
d001.s121.t001	not%4:02:00::
d001.s121.t002	represent%2:42:00::
d001.s121.t003	particular%5:00:00:uncommon:00
d001.s121.t004	risk%1:26:00::
d001.s121.t005	people%1:14:03::
