d001.s001.t001	document%1:10:00::
d003.s011.t001	case_study%1:10:00::;case_study%1:04:00::
d003.s011.t002	national%3:00:00::;national%3:00:01::;national%3:01:00::
d003.s011.t003	report%1:10:03::
d003.s011.t004	contain%2:42:00::
d003.s011.t005	portfolio%1:14:00::
d003.s011.t006	initiative%1:04:00::
d003.s011.t007	present%2:32:00::
d003.s011.t008	policy%1:09:00::
d003.s011.t009	practice%1:04:00::
d003.s011.t010	improve%2:30:01::
d003.s011.t011	recruitment%1:04:00::
d003.s011.t012	training%1:04:00::
d003.s011.t013	development%1:04:01::
d003.s011.t014	age%2:30:01::
d003.s011.t015	worker%1:18:00::
d003.s011.t016	work%1:04:01::
d003.s011.t017	place%1:15:04::;place%1:15:00::
d003.s011.t018	community%1:14:00::
d003.s012.t001	country%1:15:00::;country%1:14:00::
d003.s012.t002	initiative%1:04:00::
d003.s012.t003	select%2:31:00::
d003.s012.t004	further%5:00:00:far:00
d003.s012.t005	depth%1:07:01::;depth%1:07:02::
d003.s012.t006	case_study%1:10:00::;case_study%1:04:00::
d003.s013.t001	case_study%1:10:00::;case_study%1:04:00::
d003.s013.t002	analyse%2:31:04::;analyse%2:31:00::
d003.s013.t003	background%1:26:00::;background%1:09:01::
d003.s013.t004	initiative%1:04:00::
d003.s013.t005	impact%1:19:00::;impact%1:04:00::
d003.s013.t006	employment%1:04:02::
d003.s013.t007	pattern%1:09:01::;pattern%1:04:00::
d003.s013.t008	work%1:04:00::
d003.s013.t009	organisation%1:14:01::
d003.s013.t010	assess%2:31:00::
d003.s013.t011	benefit%1:07:00::
d003.s013.t012	problem%1:26:00::
d003.s013.t013	initiative%1:04:00::
d003.s014.t001	visit%1:04:01::
d003.s014.t002	interview%1:10:01::
d003.s014.t003	key%5:00:00:important:00
d003.s014.t004	personnel%1:14:00::
d003.s014.t005	also%4:02:00::
d003.s014.t006	undertake%2:41:01::;undertake%2:36:00::
d003.s015.t001	national%3:00:00::;national%3:00:01::;national%3:01:00::
d003.s015.t002	study%1:04:00::
d003.s015.t003	form%2:42:00::
d003.s015.t004	basis%1:24:01::
d003.s015.t005	european%3:01:00::
d003.s015.t006	report%1:10:03::
d003.s015.t007	synthesise%2:31:00::
d003.s015.t008	overall%5:00:00:general:00;overall%5:00:00:gross:00
d003.s015.t009	practice%1:04:00::
d003.s016.t001	report%1:10:03::
d003.s016.t002	casebook%1:10:00::
d003.s016.t003	initiative%1:04:00::
d003.s016.t004	publish%2:36:01::;publish%2:32:00::
d003.s016.t005	provide%2:34:00::
d003.s016.t006	conference%1:14:00::
d003.s016.t007	stage%2:36:01::
d003.s016.t008	autumn%1:28:00::
d003.s017.t001	foundation%1:14:00::
d003.s017.t002	aim%2:31:01::
d003.s017.t003	document%2:32:00::
d003.s017.t004	characteristic%1:07:00::;characteristic%1:09:00::
d003.s017.t005	age%1:07:00::
d003.s017.t006	barrier%1:09:00::
d003.s017.t007	job%1:04:00::
d003.s017.t008	recruitment%1:04:00::
d003.s017.t009	training%1:04:00::
d003.s017.t010	analyse%2:31:04::;analyse%2:31:00::
d003.s017.t011	cause%1:11:00::
d003.s018.t001	perspective%1:09:00::
d003.s018.t002	social%3:01:00::
d003.s018.t003	also%4:02:00::
d003.s018.t004	examine%2:31:00::;examine%2:32:01::
d003.s018.t005	particular%5:00:00:uncommon:00
d003.s018.t006	attention%1:09:00::
d003.s018.t007	pay%2:32:00::pay%2:31:00::
d003.s018.t008	proposal%1:10:00::
d003.s018.t009	remove%2:40:00::;remove%2:30:00::
d003.s018.t010	age%1:07:00::
d003.s018.t011	barrier%1:09:00::
d003.s019.t001	thirdly%4:02:00::
d003.s019.t002	project%1:09:00::
d003.s019.t003	assess%2:31:00::
d003.s019.t004	initiative%1:04:00::
d003.s019.t005	public%5:00:00:common:02;public%3:00:00::
d003.s019.t006	private%5:00:00:personal:00
d003.s019.t007	sector%1:14:00::
d003.s019.t008	age%1:07:00::
d003.s019.t009	barrier%1:09:00::
d003.s019.t010	especially%4:02:00::
d003.s019.t011	old%3:00:02::;old%5:00:00:experienced:00
d003.s019.t012	worker%1:18:00::
d003.s020.t001	seek%2:35:00::
d003.s020.t002	alternative%1:09:00::
d003.s020.t003	early%3:00:00::
d003.s020.t004	retirement%1:26:00::
d003.s020.t005	redundancy%1:07:00::
d003.s020.t006	project%1:09:00::
d003.s020.t007	primarily%4:02:01::;primarily%4:02:00::
d003.s020.t008	concern%2:42:00::
d003.s020.t009	retention%1:04:00::
d003.s020.t010	reintegrate%2:30:00::
d003.s020.t011	retrain%2:31:00::;retrain%2:31:01::
d003.s020.t012	old%3:00:02::;old%5:00:00:experienced:00
d003.s020.t013	worker%1:18:00::
d003.s021.t001	gender%1:07:00::
d003.s021.t002	ethnic%5:00:00:social:00
d003.s021.t003	background%1:07:00::
d003.s021.t004	worker%1:18:00::
d003.s021.t005	relate%2:31:00::
d003.s021.t006	age%1:07:00::;age%1:28:00::
d003.s021.t007	discrimination%1:04:00::
d003.s021.t008	examine%2:31:00::;examine%2:32:01::
d003.s022.t001	project%1:09:00::
d003.s022.t002	also%4:02:00::
d003.s022.t003	consider%2:32:02::;consider%2:39:00::;consider%2:31:01::
d003.s022.t004	initiative%1:04:00::
d003.s022.t005	age%1:07:00::
d003.s022.t006	discrimination%1:04:00::
d003.s022.t007	rural_area%1:15:00::
d003.s022.t008	small%5:00:00:limited:00
d003.s022.t009	enterprise%1:14:00::
d003.s023.t001	member%1:14:00::
d003.s023.t002	state%1:14:00::
d003.s023.t003	cover%2:42:02::
d003.s023.t004	project%1:09:00::
d003.s023.t005	united%3:00:00::
d003.s023.t006	kingdom%1:15:01::;kingdom%1:14:01::
d004.s001.t001	document%1:10:00::
d004.s001.t002	summary%1:10:00::
d004.s001.t003	european%3:01:00::
d004.s001.t004	public%3:00:00::
d004.s001.t005	assessment%1:09:00::
d004.s001.t006	report%1:10:03::
d004.s002.t001	explain%2:32:01::;explain%2:32:00::
d004.s002.t002	committee%1:14:00::
d004.s002.t003	medicinal%5:00:00:healthful:00
d004.s002.t004	product%1:06:00::
d004.s002.t005	veterinary%1:18:00::
d004.s002.t006	use%1:04:00::
d004.s002.t007	assess%2:31:00::
d004.s002.t008	study%1:04:00::
d004.s002.t009	perform%2:36:00::
d004.s002.t010	reach%2:38:06::
d004.s002.t011	recommendation%1:10:00::
d004.s002.t012	use%2:34:01::;use%2:34:02::
d004.s002.t013	medicine%1:06:00::
d004.s004.t001	contain%2:42:00::
d004.s004.t002	active%3:00:07::
d004.s004.t003	substance%1:03:00::;substance%1:03:01::;substance%1:27:00::
d004.s004.t004	available%3:00:00::
d004.s004.t005	tablet%1:06:00::
d004.s004.t006	solution%1:27:00::
d004.s004.t007	injection%1:04:01::
d004.s005.t001	tablet%1:06:00::
d004.s005.t002	have%2:40:00::;have%2:42:00::
d004.s005.t003	score%1:25:00::
d004.s005.t004	line%1:25:01::;line%1:10:01::
d004.s005.t005	side%1:08:00::;side%1:06:00::;side%1:15:00::
d004.s005.t006	so%4:02:03::
d004.s005.t007	halve%2:31:00::
d004.s006.t001	tablet%1:06:00::
d004.s006.t002	mark%2:35:01::
d004.s006.t003	logo%1:10:00::
d004.s006.t004	side%1:08:00::;side%1:06:00::;side%1:15:00::
d004.s006.t005	letter%1:10:01::
d004.s006.t006	quantity%1:03:00::
d004.s006.t007	other%3:00:00::
d004.s006.t008	side%1:08:00::;side%1:06:00::;side%1:15:00::
d004.s007.t001	use%2:34:01::;use%2:34:02::
d004.s008.t001	antiemetic%1:06:00::
d004.s008.t002	mean%2:32:01::;mean%2:32:03::
d004.s008.t003	stop%2:38:01::;stop%2:41:00::
d004.s008.t004	vomit%2:29:00::
d004.s009.t001	use%2:34:01::;use%2:34:02::
d004.s009.t002	dog%1:05:00::
d004.s009.t003	prevent%2:41:01::;prevent%2:41:00::
d004.s009.t004	vomit%2:29:00::
d004.s009.t005	vomit%2:29:00::
d004.s009.t006	cause%2:36:00::
d004.s009.t007	chemotherapy%1:04:00::
d004.s009.t008	medicine%1:06:00::
d004.s009.t009	use%2:34:01::;use%2:34:02::
d004.s009.t010	treatment%1:04:00::
d004.s009.t011	cancer%1:26:00::
d004.s009.t012	know%2:31:02::
d004.s009.t013	cause%2:36:00::
d004.s009.t014	vomit%2:29:00::
d004.s010.t001	combination%1:14:00::
d004.s010.t002	supportive%3:00:00::
d004.s010.t003	measure%1:04:01::
d004.s010.t004	other%3:00:00::
d004.s010.t005	veterinary%3:01:00::
d004.s010.t006	treatment%1:04:00::
d004.s010.t007	special%5:00:00:specialized:00;special%5:00:01:specific:00
d004.s010.t008	diet%1:13:00::
d004.s010.t009	also%4:02:00::
d004.s010.t010	use%2:34:01::;use%2:34:02::
d004.s010.t011	treatment%1:04:00::
d004.s010.t012	vomiting%1:04:00::
d004.s010.t013	injection%1:04:01::
d004.s010.t014	injection%1:04:01::
d004.s010.t015	follow%2:42:03::
d004.s010.t016	tablet%1:06:00::
d004.s011.t001	purpose%1:09:00::
d004.s011.t002	give%2:40:13::
d004.s011.t003	day%1:28:02::
d004.s013.t001	block%2:41:00::;block%2:41:01::
d004.s013.t002	receptor%1:08:01::
d004.s013.t003	act%2:41:00::
d004.s013.t004	central_nervous_system%1:08:00::
d004.s014.t001	study%2:31:02::
d004.s015.t001	large_number%1:23:00::
d004.s015.t002	study%1:04:00::
d004.s015.t003	carry_out%2:36:00::;carry_out%2:30:00::
d004.s015.t004	laboratory%1:06:00::
d004.s015.t005	dog%1:05:00::
d004.s015.t006	patient%1:18:00::
d004.s015.t007	veterinary%3:01:00::
d004.s015.t008	several%5:00:00:some:00
d004.s015.t009	european_country%1:15:00::
d004.s016.t001	benefit%1:07:00::
d004.s016.t002	show%2:32:00::;show%2:31:00::
d004.s016.t003	study%1:04:00::
d004.s017.t001	result%1:11:00::;result%1:19:00::
d004.s017.t002	study%1:04:00::
d004.s017.t003	show%2:32:00::;show%2:31:00::
d004.s017.t004	more%4:02:00::
d004.s017.t005	effective%3:00:00::;effective%5:00:00:efficacious:00
d004.s017.t006	placebo%1:06:00::
d004.s017.t007	less%3:00:00::
d004.s017.t008	vomiting%1:04:00::
d004.s017.t009	see%2:32:00::;see%2:31:03::
d004.s017.t010	dog%1:05:00::
d004.s017.t011	receive%2:39:03::
d004.s017.t012	medicine%1:06:00::
d004.s017.t013	dog%1:05:00::
d004.s017.t014	receive%2:39:03::
d004.s017.t015	placebo%1:06:00::
d004.s017.t016	treatment%1:04:00::
d004.s017.t017	prevention%1:04:00::
d004.s017.t018	vomiting%1:04:00::
d004.s018.t001	treatment%1:04:00::
d004.s018.t002	vomiting%1:04:00::
d004.s018.t003	dog%1:05:00::
d004.s018.t004	start%2:41:04::
d004.s018.t005	injection%1:04:01::
d004.s018.t006	vomiting%1:04:00::
d004.s018.t007	animal%1:03:00::
d004.s018.t008	not%4:02:00::
d004.s018.t009	able%5:00:00:capable:00;able%3:00:00::
d004.s018.t010	tablet%1:06:00::
d004.s018.t011	intact%5:00:00:undamaged:00;intact%5:00:00:whole:00
d004.s018.t012	tablet%1:06:00::
d004.s018.t013	again%4:02:00::
d004.s019.t001	follow-up%1:04:01::;follow-up%1:04:00::
d004.s019.t002	treatment%1:04:00::
d004.s019.t003	owner%1:18:02::
d004.s019.t004	administer%2:29:00::
d004.s019.t005	tablet%1:06:00::
d004.s019.t006	dog%1:05:00::
d004.s020.t001	also%4:02:00::
d004.s020.t002	treatment%1:04:00::
d004.s020.t003	vomiting%1:04:00::
d004.s020.t004	only%4:02:01::
d004.s020.t005	together_with%4:02:00::
d004.s020.t006	other%3:00:00::
d004.s020.t007	supportive%3:00:00::
d004.s020.t008	measure%1:04:01::
d004.s020.t009	other%3:00:00::
d004.s020.t010	veterinary%3:01:00::
d004.s020.t011	therapy%1:04:00::
d004.s020.t012	address%2:34:00::
d004.s020.t013	underlie%2:42:00::
d004.s020.t014	cause%1:11:00::
d004.s020.t015	vomiting%1:04:00::
d004.s021.t001	risk%1:26:00::
d004.s021.t002	associate%2:31:00::
d004.s022.t001	generally%4:02:01::;generally%4:02:02::
d004.s022.t002	well%4:02:00::
d004.s022.t003	tolerate%2:39:00::
d004.s022.t004	administer%2:29:00::
d004.s022.t005	daily%4:02:00::
d004.s022.t006	dosage%1:06:00::
d004.s022.t007	time%1:11:00::
d004.s022.t008	recommend%2:32:01::
d004.s022.t009	dose%1:06:00::
d004.s022.t010	extended%5:00:00:long:02
d004.s022.t011	period_of_time%1:28:00::
d004.s022.t012	time%1:11:00::
d004.s022.t013	maximum%3:00:00::
d004.s022.t014	duration%1:28:02::;duration%1:07:00::
d004.s022.t015	treatment%1:04:00::
d004.s023.t001	precaution%1:04:00::
d004.s023.t002	person%1:03:00::
d004.s023.t003	give%2:40:13::
d004.s023.t004	medicine%1:06:00::
d004.s023.t005	come_into%2:40:00::
d004.s023.t006	contact%1:04:00::;contact%1:26:00::
d004.s023.t007	animal%1:03:00::
d004.s024.t001	not%4:02:00::
d004.s024.t002	represent%2:42:00::
d004.s024.t003	particular%5:00:00:uncommon:00;particular%5:00:02:specific:00
d004.s024.t004	risk%1:26:00::
d004.s024.t005	people%1:14:03::;people%1:14:00::
