ID	English	Spanish	English-Spanish Alignment
d003.s007	The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries.	El estudio se basa en 195 entrevistas personales con altos responsables de los interlocutores sociales , en su calidad de representantes de importantes organizaciones nacionales de 15 países europeos .	0-0 1-1 2-2 3-3 4-4 5-5 6-7 7-6 8-8 9-9 10-10 10-13 11-11 12-12 13-14 14-13 16-20 17-21 18-24 20-22 21-23 22-25 23-26 24-28 25-27 26-29
d003.s008	As important industrial sectors, the metal industry and the banking sector were also included.	La industria del metal y el sector bancario se incluyeron también en atención a su importancia .	1-15 3-14 5-0 6-3 7-1 8-4 9-5 10-2 10-7 11-6 12-9 13-10 14-9 15-16
d003.s009	Key speakers at the social exclusion conference were (left to right) Cristina Louro, Employment, Industrial Relations and Social Affairs Directorate, European Commission Fernando Gomes, a high degree of Committee of the Regions Barbara Weiler, Member of the European Parliament José Maria Gil-Robles, Vice-President, European Parliament and John Carroll, Economic and Social Committee.	Los principales oradores en la conferencia sobre exclusión socialfueron ( de izquierda a derecha ) Cristina Louro , Dirección General de Empleo , Relaciones Laborales y Asuntos Sociales de la Comisión Europea Fernando Gomes , Comité de las Regiones Barbara Weiler , diputada al Parlamento Europeo José María Gil-Robles Gil-Delgado , Vicepresidente , Parlamento Europeo , John Carroll Comité Económico y Social	0-1 1-2 2-3 3-4 4-8 5-6 5-7 6-5 7-8 8-9 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-21 17-22 18-24 19-23 20-25 21-27 22-26 23-18 23-19 24-22 25-31 26-30 27-32 28-33 29-34 34-35 35-36 36-37 37-38 38-39 39-40 40-41 41-42 42-28 43-29 44-45 45-44 46-46 47-47 48-48 48-49 49-50 50-49 50-51 51-52 52-54 53-53 55-56 56-57 57-55 58-59 59-60 60-61 61-58
d003.s010	Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment, training and development of ageing workers in both the work place and the community.	En cada informe nacional se incluyen las 25 o 30 iniciativas que mejor reflejan prácticas y políticas de mejora de la contratación , la formación y el desarrollo profesional de los trabajadores mayores en el lugar de trabajo y a nivel de la comunidad .	2-1 3-3 4-2 5-5 6-4 10-7 11-8 12-9 13-10 13-13 14-11 15-12 16-13 17-16 18-15 19-14 20-17 21-18 22-23 23-21 23-28 24-22 25-24 26-25 27-27 28-29 29-30 30-31 31-33 32-39 33-34 34-37 35-35 36-38 37-40 38-41 39-42
d003.s011	For each country, two or three initiatives have been selected for further in depth case study.	Se seleccionaron dos o tres iniciativas por cada país , para que fueran objeto de un estudio de caso detallado .	0-6 1-7 2-8 3-9 4-2 5-3 6-4 7-5 7-12 8-1 9-12 10-1 11-10 13-14 14-19 15-18 16-16 17-20
d003.s012	These case studies analysed the background of the initiatives, their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative.	En estos estudios de caso se han analizado el contexto de esas iniciativas y sus repercusiones en las pautas de empleo y en las organizaciones , y se han evaluado las ventajas y problemas derivados de las mismas .	0-1 1-4 2-2 3-7 4-8 5-9 6-10 8-12 9-13 9-38 10-14 11-15 12-16 13-20 14-18 15-21 17-24 18-26 19-29 20-30 21-31 22-32 23-33 24-35 25-23 27-25 27-38
d003.s013	Visits and interviews with key personnel were also undertaken.	Se han realizado además visitas y entrevistas a miembros clave del personal .	0-4 0-8 1-5 2-6 3-7 4-9 5-11 6-1 7-3 8-2 9-12
d003.s014	These national studies will form the basis of a European report which synthesises overall practices.	Estos estudios nacionales constituirán la liase de un informe europeo en el que se resumirán las prácticas generales .	0-0 1-2 2-1 3-3 4-3 5-15 6-4 7-6 8-7 9-9 10-8 11-12 12-14 13-17 14-16 14-17 15-18
d003.s015	The report and a case book of initiatives will be published in 1996 and provide the backdrop for a conference to be staged in Autumn, 1996.	El informe y un repertorio de iniciativas se publicarán en 1996 , y servirán de telón de fondo a una conferencia que se celebrará el próximo otoño .	0-0 1-1 2-2 3-3 4-4 5-4 6-5 7-6 8-8 9-7 10-8 11-9 12-10 13-12 14-13 15-15 16-15 16-17 17-18 18-19 19-20 20-21 21-22 22-23 23-24 24-26 25-11 27-27
d003.s016	The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes.	La Fundación se propone documentar las características de los obstáculos relacionados con la edad en materia de contratación y formación , y analizar sus causas .	0-0 1-1 2-3 3-2 4-4 5-5 6-6 6-8 7-7 8-13 9-9 10-14 12-17 13-18 14-19 15-21 17-22 18-23 19-24 20-25
d003.s017	The perspectives of the social partners is also being examined, with particular attention paid to proposals for removing age barriers.	Está examinando asimismo los puntos de vista de los interlocutores sociales , prestando especial atención a las propuestas para eliminar dichos obstáculos .	0-3 1-4 1-9 2-7 3-8 4-10 5-9 6-0 7-2 9-1 10-11 11-12 12-13 13-14 14-12 15-15 16-17 17-18 18-19 20-21 21-22
d003.s018	Thirdly, the project documents and assesses initiatives, in both the public and private sectors which combat age barriers, especially for older workers.	En tercer lugar , el proyecto documenta y evalúa las iniciativas de los sectores público y privado para combatir estas limitaciones , especialmente en relación con los trabajadores mayores .	0-1 0-2 1-3 2-4 3-5 4-6 5-7 6-8 7-9 7-10 8-21 9-23 11-12 12-14 13-15 14-16 15-13 16-17 17-18 19-20 20-21 21-22 22-23 23-26 24-25 25-27
d003.s019	Seeking alternatives to early retirement and redundancy, the project is primarily concerned with the retention, reintegration and retraining of older workers.	El proyecto , que busca alternativas a la jubilación anticipada y al despido , se ocupa ante todo de la retención , la reintegración y la reconversión profesional de los trabajadores mayores .	0-4 1-5 2-6 3-9 4-8 5-10 6-9 6-12 7-13 8-0 9-1 10-14 11-16 11-17 12-15 13-18 14-19 15-20 16-21 17-23 18-24 19-26 20-28 21-31 22-30 23-32
d003.s020	The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined.	Estudia asimismo liasta qué punto influyen el sexo y la raza de los trabajadores en la discriminación por razón de la edad .	0-6 1-7 2-8 3-10 4-10 5-11 6-13 8-3 9-12 10-5 11-14 12-21 13-16 15-0 16-22
d003.s021	The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises.	El proyecto tiene en cuenta , por otra paite , las iniciativas para luchar contra esta clase de discriminación en las zonas rurales y en las pequeñas y medianas empresas .	0-0 1-1 3-2 3-4 4-10 4-11 5-12 6-13 7-15 8-18 9-19 10-22 11-21 12-23 13-24 14-26 15-27 16-28 17-28 18-22 18-29 19-5 19-30
d004.s001	This document is a summary of the European Public Assessment Report.	Resumen del EPAR para el público general	0-0 1-7 2-4 3-3 4-4 5-5 6-6 7-9 8-1 10-2 11-22
d004.s002	It explains how the Committee for Medicinal Products for Veterinary Use (CVMP) assessed the studies performed, to reach their recommendations on how to use the medicine.	En el presente documento se resume el Informe Público Europeo de Evaluación , y se explica cómo la evaluación del Comité de Medicamentos de Uso Veterinario ( CVMP ) , efectuada a partir de los estudios existentes , ha llevado a las recomendaciones sobre las condiciones de uso del medicamento .	0-0 1-0 3-2 7-5 8-3 12-2 15-1
d004.s003	What is Cerenia?	¿Qué es Cerenia ?	0-0 1-6 2-7 2-11 3-48
d004.s004	Cerenia contains the active substance maropitant and is available as tablet or as solution for injection.	Cerenia contiene el principio activo maropitant y se presenta en forma de comprimidos o de solución inyectables .	0-2 1-1 2-0 16-3
d004.s005	The tablets are pale-orange and have a score line on both sides so that they can be halved.	Los comprimidos son de color naranja claro y tienen una ranura en ambas caras , lo que permite dividirlos por la mitad .	0-2 1-3 2-8 3-5 4-6 5-1 6-14 8-15 9-9 11-11 14-16 17-12 18-17
d004.s006	Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side.	Cada comprimido va marcado con el logo Pfizer en una cara y las letras MPT y la cantidad de maropitant en la otra .	0-0 1-1 2-2 3-4 6-5 7-6 8-11 9-12 10-13 11-7 12-8 13-9 15-5 16-14 18-10 18-18 20-1 20-18 21-19 22-20 24-21 25-22
d004.s007	What is Cerenia used for?	¿Para qué se utiliza Cerenia ?	1-2 2-1 2-7 3-1 5-23
d004.s008	Cerenia is an anti-emetic, this means that it stops vomiting.	Cerenia es un antiemético ( ataja los vómitos ) .	0-4 1-1 4-5 9-3
d004.s009	It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy (medicines used for the treatment of cancer, some of which are known to cause vomiting).	Se utiliza en perros para la prevención de los vómitos , por ejemplo los causados por la quimioterapia ( fármacos utilizados para el tratamiento del cáncer , algunos de los cuales producen vómitos ) .	1-1 4-2 5-5 6-3 7-7 10-7 13-3 14-4 18-6 31-8 32-9
d004.s010	In combination with supportive measures such as other veterinary treatment or a special diet, Cerenia can also be used in the treatment of vomiting (either as injection or as injection followed by tablets).	Combinado con otras medidas complementarias , como otros tratamientos veterinarios o una dieta especial , Cerenia se utiliza también como tratamiento del vómito ( como inyección o como inyección seguida de comprimidos ) .	0-0 2-4 4-13 6-11 9-16 11-15 14-10 14-25 15-16 17-11 19-1 20-2 21-5 22-22 23-7 24-9 25-17 28-18 31-31 33-14 35-32 36-33
d004.s011	For these purposes, Cerenia can be given for up to five days	A estos efectos , Cerenia se puede administrar durante un período de hasta cinco días .	1-2 2-8 3-5 3-14 4-15 5-17 6-16 7-3 9-30 10-7 11-31
d004.s012	How does Cerenia work?	¿Cómo actúa Cerenia ?	0-0 1-6 2-4 3-7 4-3
d004.s013	Cerenia blocks a neurokinin 1 (NK1) receptor, which acts in the central nervous system.	Cerenia bloquea los receptores de neurocinina 1 ( NK1 ) en el sistema nervioso central .	0-2 1-1 5-0 10-0 11-1 17-3
d004.s014	How has Cerenia been studied?	¿Qué tipo de estudios se han realizado sobre Cerenia ?	1-1 2-0 3-11 4-1 4-2 5-15
d004.s015	A large number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA.	Se han realizado una gran cantidad de estudios con Cerenia en perros de laboratorio y en perros pacientes de clínicas veterinarias de varios países europeos y de EE.UU.	0-0 2-1 3-2 4-3 5-7 6-8 7-5 8-6 29-9
d004.s016	What benefit has Cerenia shown during the studies?	¿Qué beneficios ha demostrado Cerenia durante dichos estudios ?	0-22 2-1 3-9 4-2 5-5 6-6 7-7 8-27
d004.s017	The results of the studies showed that Cerenia was more effective than the placebo: less vomiting was seen in dogs that received the medicine than in dogs that received a placebo, both in the treatment or in the prevention of vomiting.	Los resultados de los estudios demostraron que Cerenia fue más eficaz que el placebo : se observaron menos vómitos en los perros que recibieron el medicamento que en los perros que recibieron placebo , bien como tratamiento , bien como prevención del vómito .	0-0 1-5 3-6 4-7 5-3 7-4 8-2 10-1 43-8
d004.s018	The treatment of a vomiting dog should be started with the injection, since vomiting animals might not be able to keep a tablet down (as they might throw the intact tablet up again).	El tratamiento de un perro con vómitos debe iniciarse en forma inyectable puesto que los animales con vómitos podrían no retener el comprimido ( podrían vomitar el comprimido intacto ) .	0-0 1-36 2-2 4-42 6-5 7-8 8-10 10-12 11-13 12-33 14-18 15-4 20-22 23-25 25-14 26-39 27-23 28-31 30-24 32-25 35-37 36-43
d004.s019	For follow-up treatment, the animal owner can administer the tablets to the dog.	Para la continuación del tratamiento , el propietario puede administrar el medicamento al animal en forma de comprimidos .	2-1 3-22 3-28 4-0 5-14 6-11 7-23 8-8 9-20 12-13 13-4 14-29
d004.s020	Also, the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting.	El tratamiento del vómito debe realizarse siempre en asociación con otras medidas de apoyo u otros tratamientos veterinarios para combatir también la causa subyacente del vómito .	0-0 1-5 2-6 3-4 5-11 6-8 16-13 19-9 20-10 23-3 26-18
d004.s021	What is the risk associated with Cerenia?	¿Cuáles son los efectos secundarios de Cerenia ?	1-2 2-0 3-1 4-8 5-9 6-3 7-26
d004.s022	Cerenia was generally well tolerated when administered daily at dosages up to 5 times the recommended doses for an extended period of time (up to 3 times the recommended maximum duration of treatment).	En general , Cerenia fue bien tolerado cuando se administró diariamente a dosis de hasta 5 veces la dosis recomendada durante un período de tiempo prolongado ( hasta 3 veces la duración máxima recomendada del tratamiento ) .	0-6 1-1 2-3 4-4 19-0 23-0 28-2 32-5 34-7
d004.s023	What are the precautions for the person who gives the medicine or comes into contact with the animal?	¿Qué precauciones debe adoptar la persona que administre el medicamento o esté en contacto con el animal ?	2-29 3-5 6-3 7-6 10-34 12-8 16-16 18-36
d004.s024	Cerenia does not represent a particular risk for people.	Cerenia no presenta ningún riesgo especial para el ser humano .	0-1 0-7 1-2 2-9 3-3 4-8 6-1 7-4 8-5 9-17
